Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,195,31,69,12,1.0,12.0619,7.15,0.140018,0.5612,0.0,0,0.5612,2,12.342,0.292
Env. (realmap_a),CNN-DDQN+Duel,1,375,108,303,17,1.0,13.6025,8.6,0.202095,0.47581,0.0,0,0.47581,2,13.84,0.841
Env. (realmap_a),CNN-DDQN+Duel,2,211,21,328,35,1.0,11.2775,6.3,0.162559,0.27164,0.0,0,0.27164,3,11.413,0.841
Env. (realmap_a),CNN-DDQN+Duel,3,362,42,271,15,1.0,9.9319,6.05,0.146577,0.25376,0.0,0,0.25376,2,10.059,0.698
Env. (realmap_a),CNN-DDQN+Duel,4,207,36,333,21,1.0,12.9506,7.2,0.222688,0.31669,0.0,0,0.31669,5,13.109,0.333
Env. (realmap_a),CNN-DDQN+Duel,5,276,25,198,33,1.0,7.3162,4.3,0.186507,0.20047,0.0,0,0.20047,2,7.416,0.025
Env. (realmap_a),CNN-DDQN+Duel,6,58,15,180,24,1.0,11.46,6.4,0.0753,0.28641,0.0,0,0.28641,1,11.603,0.197
Env. (realmap_a),CNN-DDQN+Duel,7,389,121,376,53,1.0,5.9663,3.65,0.026516,0.18713,0.0,0,0.18713,1,6.06,0.071
Env. (realmap_a),CNN-DDQN+Duel,8,380,91,283,31,1.0,12.7894,7.05,0.244312,0.28513,0.0,0,0.28513,4,12.932,0.799
Env. (realmap_a),CNN-DDQN+Duel,9,246,38,151,20,1.0,8.9031,5.2,0.168538,0.23598,0.0,0,0.23598,1,9.021,0.364
Env. (realmap_a),CNN-DDQN+Duel,10,369,55,390,122,1.0,6.0863,3.7,0.008627,0.17712,0.0,0,0.17712,0,6.175,0.031
Env. (realmap_a),CNN-DDQN+Duel,11,234,40,103,45,1.0,12.3469,6.85,0.131439,0.27884,0.0,0,0.27884,2,12.486,0.0
Env. (realmap_a),CNN-DDQN+Duel,12,65,43,152,40,1.0,7.875,4.6,0.123669,0.21187,0.0,0,0.21187,4,7.981,0.192
Env. (realmap_a),CNN-DDQN+Duel,13,274,22,366,22,1.0,8.29,6.5,0.102173,0.28575,0.0,0,0.28575,1,8.433,0.922
Env. (realmap_a),CNN-DDQN+Duel,14,133,36,212,28,1.0,7.575,4.5,0.284012,0.22885,0.0,0,0.22885,4,7.689,0.481
Env. (realmap_a),CNN-DDQN+Duel,15,95,19,26,23,1.0,5.9163,3.6,0.0,0.16945,0.0,0,0.16945,0,6.001,0.059
Env. (realmap_a),CNN-DDQN+Duel,16,278,23,184,38,1.0,8.8163,5.05,0.171548,0.23041,0.0,0,0.23041,2,8.931,0.134
Env. (realmap_a),CNN-DDQN+Duel,17,304,43,386,22,1.0,8.0675,4.7,0.2015,0.20918,0.0,0,0.20918,5,8.172,0.0
Env. (realmap_a),CNN-DDQN+Duel,18,77,15,153,41,1.0,7.4775,4.4,0.145896,0.19967,0.0,0,0.19967,3,7.577,0.101
Env. (realmap_a),CNN-DDQN+Duel,19,83,19,177,26,1.0,8.7162,5.0,0.119552,0.2225,0.0,0,0.2225,2,8.828,0.333
Env. (realmap_a),CNN-DDQN+Duel,20,191,37,58,39,1.0,12.5456,6.95,0.144334,0.27171,0.0,0,0.27171,3,12.681,0.3
Env. (realmap_a),CNN-DDQN+Duel,21,273,24,182,16,1.0,8.3719,4.85,0.125209,0.21554,0.0,0,0.21554,1,8.48,0.0
Env. (realmap_a),CNN-DDQN+Duel,22,357,116,401,38,1.0,8.9125,5.1,0.281835,0.24539,0.0,0,0.24539,5,9.035,0.462
Env. (realmap_a),CNN-DDQN+Duel,23,242,37,321,20,1.0,8.4719,5.8,0.484408,0.34158,0.0,0,0.34158,4,8.643,0.892
Env. (realmap_a),CNN-DDQN+Duel,24,371,112,348,22,1.0,9.1162,5.2,0.16298,0.22594,0.0,0,0.22594,4,9.229,0.333
Env. (realmap_a),CNN-DDQN+Duel,25,129,40,31,52,1.0,9.4662,5.4,0.14291,0.22691,0.0,0,0.22691,5,9.58,0.128
Env. (realmap_a),CNN-DDQN+Duel,26,29,48,86,45,0.0,10.5313,7.75,0.371642,0.64952,0.0,0,0.64952,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,27,84,38,17,35,1.0,5.7825,3.55,0.05751,0.18336,0.0,0,0.18336,2,5.874,0.071
Env. (realmap_a),CNN-DDQN+Duel,28,140,33,30,55,1.0,11.0369,6.2,0.158925,0.26345,0.0,0,0.26345,4,11.169,0.823
Env. (realmap_a),CNN-DDQN+Duel,29,105,19,191,9,1.0,7.9425,4.65,0.067922,0.21117,0.0,0,0.21117,2,8.048,0.0
Env. (realmap_a),CNN-DDQN+Duel,30,256,21,360,60,0.0,5.2275,9.0,0.293329,0.6649,0.0,0,0.6649,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,31,145,38,74,11,1.0,6.9069,4.1,0.249436,0.19579,0.0,0,0.19579,4,7.005,0.333
Env. (realmap_a),CNN-DDQN+Duel,32,109,43,33,56,1.0,7.8744,4.6,0.223555,0.21296,0.0,0,0.21296,5,7.981,0.289
Env. (realmap_a),CNN-DDQN+Duel,33,229,15,357,41,1.0,12.3469,6.85,0.139135,0.27623,0.0,0,0.27623,3,12.485,0.316
Env. (realmap_a),CNN-DDQN+Duel,34,103,12,29,31,1.0,6.8162,4.05,0.197739,0.19262,0.0,0,0.19262,2,6.913,0.34
Env. (realmap_a),CNN-DDQN+Duel,35,299,36,361,30,1.0,5.7894,3.55,0.137221,0.1688,0.0,0,0.1688,4,5.874,0.29
Env. (realmap_a),CNN-DDQN+Duel,36,279,20,212,39,0.0,1.2956,5.85,0.276521,0.81803,0.0,0,0.81803,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,37,57,38,136,17,1.0,7.8375,4.6,0.301614,0.22443,0.0,0,0.22443,4,7.95,0.111
Env. (realmap_a),CNN-DDQN+Duel,38,284,40,382,86,0.0,0.495,5.4,0.413137,0.59028,0.0,0,0.59028,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,39,30,20,143,14,1.0,10.4162,5.85,0.069065,0.25426,0.0,0,0.25426,1,10.543,0.206
Env. (realmap_a),CNN-DDQN+Duel,40,364,93,355,23,1.0,6.3844,3.85,0.132447,0.19235,0.0,0,0.19235,2,6.481,0.221
Env. (realmap_a),CNN-DDQN+Duel,41,79,21,185,22,1.0,9.7106,5.6,0.091426,0.25331,0.0,0,0.25331,1,9.837,0.406
