Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,371,47,69,12,1.0,30.0025,15.75,0.114332,0.74928,0.0,0,0.74928,2,30.377,0.838
Env. (realmap_a),CNN-DDQN+Duel,1,54,14,328,35,1.0,27.2013,14.25,0.116417,0.48221,0.0,0,0.48221,3,27.442,0.392
Env. (realmap_a),CNN-DDQN+Duel,2,62,40,271,15,1.0,20.6962,11.05,0.140845,0.44045,0.0,0,0.44045,3,20.916,0.175
Env. (realmap_a),CNN-DDQN+Duel,3,24,22,333,21,1.0,30.1062,17.75,0.059435,0.61384,0.0,0,0.61384,1,30.413,0.618
Env. (realmap_a),CNN-DDQN+Duel,4,186,17,391,43,1.0,20.1163,10.7,0.126675,0.36859,0.0,0,0.36859,2,20.301,0.145
Env. (realmap_a),CNN-DDQN+Duel,5,380,65,198,33,1.0,18.7406,10.15,0.204428,0.359,0.0,0,0.359,3,18.92,0.062
Env. (realmap_a),CNN-DDQN+Duel,6,7,34,180,24,1.0,16.6894,9.0,0.094166,0.32769,0.0,0,0.32769,2,16.853,0.333
Env. (realmap_a),CNN-DDQN+Duel,7,52,55,376,53,0.0,0.6694,5.7,3.614348,0.60322,0.0,1,0.60322,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,8,53,52,356,74,0.0,0.39,3.1,5.830294,0.36829,0.0,1,0.36829,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,9,351,17,107,42,1.0,24.0225,14.4,0.158055,0.53535,0.0,0,0.53535,2,24.29,0.889
Env. (realmap_a),CNN-DDQN+Duel,10,388,95,151,20,1.0,26.5725,14.1,0.156422,0.47684,0.0,0,0.47684,3,26.811,0.793
