Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0,54,14,328,35,1.0,27.2013,14.25,0.116417,2.21733,0.0,0,2.21733,3,28.31,0.399
Env. (realmap_a),CNN-DDQN+Duel,1,62,40,271,15,1.0,20.6962,11.05,0.140845,1.79288,0.0,0,1.79288,3,21.593,0.187
Env. (realmap_a),CNN-DDQN+Duel,2,24,22,333,21,1.0,30.1062,17.75,0.059435,1.62843,0.0,0,1.62843,1,30.92,0.876
Env. (realmap_a),CNN-DDQN+Duel,3,186,17,391,43,1.0,20.1163,10.7,0.126675,0.82234,0.0,0,0.82234,2,20.527,0.145
Env. (realmap_a),CNN-DDQN+Duel,4,380,65,198,33,1.0,18.7406,10.15,0.204428,0.95483,0.0,0,0.95483,3,19.218,0.062
Env. (realmap_a),CNN-DDQN+Duel,5,7,34,180,24,1.0,16.6894,9.0,0.094166,0.8487,0.0,0,0.8487,2,17.114,0.333
Env. (realmap_a),CNN-DDQN+Duel,6,52,55,376,53,0.0,0.6694,5.7,3.614348,1.22028,0.0,1,1.22028,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,7,53,52,356,74,0.0,0.39,3.1,5.830294,1.20735,0.0,1,1.20735,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,8,351,17,107,42,1.0,24.0225,14.4,0.158055,1.66182,0.0,0,1.66182,2,24.853,0.889
Env. (realmap_a),CNN-DDQN+Duel,9,388,95,151,20,1.0,26.5725,14.1,0.156422,1.12573,0.0,0,1.12573,3,27.135,0.793
Env. (realmap_a),CNN-DDQN+Duel,10,176,39,390,122,1.0,26.6113,14.1,0.196681,1.70231,0.0,0,1.70231,4,27.462,0.889
Env. (realmap_a),CNN-DDQN+Duel,11,375,94,103,45,1.0,31.0012,16.3,0.201232,1.35558,0.0,0,1.35558,5,31.679,0.881
Env. (realmap_a),CNN-DDQN+Duel,12,373,111,152,40,1.0,27.4913,14.65,0.193946,1.25013,0.0,0,1.25013,4,28.116,0.883
Env. (realmap_a),CNN-DDQN+Duel,13,28,16,366,22,1.0,32.9781,18.0,0.07203,1.47085,0.0,0,1.47085,1,33.714,0.774
Env. (realmap_a),CNN-DDQN+Duel,14,389,92,212,28,1.0,20.4044,10.95,0.197955,0.98379,0.0,0,0.98379,3,20.896,0.88
Env. (realmap_a),CNN-DDQN+Duel,15,221,29,26,23,1.0,18.7013,10.05,0.056522,0.85065,0.0,0,0.85065,1,19.127,0.038
Env. (realmap_a),CNN-DDQN+Duel,16,341,25,153,41,1.0,18.5125,10.2,0.180397,0.92729,0.0,0,0.92729,3,18.976,0.044
Env. (realmap_a),CNN-DDQN+Duel,17,379,42,177,26,1.0,19.8,10.6,0.129412,0.91525,0.0,0,0.91525,3,20.258,0.214
Env. (realmap_a),CNN-DDQN+Duel,18,372,80,58,39,1.0,34.2025,17.95,0.20705,1.42472,0.0,0,1.42472,5,34.915,0.889
Env. (realmap_a),CNN-DDQN+Duel,19,375,62,182,16,0.0,10.1181,9.2,0.342668,1.11522,0.0,0,1.11522,5,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,20,35,38,275,34,1.0,24.4,12.9,0.169716,1.05875,0.0,0,1.05875,5,24.929,0.883
Env. (realmap_a),CNN-DDQN+Duel,21,214,44,401,38,0.0,4.755,7.05,0.336288,1.26107,0.0,2,1.26107,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,22,72,22,321,20,1.0,24.0425,15.2,0.065437,1.52412,0.0,0,1.52412,1,24.805,0.837
Env. (realmap_a),CNN-DDQN+Duel,23,95,24,283,25,1.0,18.1294,10.05,0.099745,0.841,0.0,0,0.841,2,18.55,0.491
Env. (realmap_a),CNN-DDQN+Duel,24,175,44,348,22,1.0,16.9688,9.55,0.110548,0.89756,0.0,0,0.89756,1,17.418,0.867
Env. (realmap_a),CNN-DDQN+Duel,25,18,42,191,9,1.0,17.7862,9.55,0.163982,0.80517,0.0,0,0.80517,3,18.189,0.509
Env. (realmap_a),CNN-DDQN+Duel,26,34,17,360,60,1.0,33.9144,17.6,0.107266,1.41523,0.0,0,1.41523,5,34.622,0.642
Env. (realmap_a),CNN-DDQN+Duel,27,203,30,384,50,1.0,17.595,9.55,0.13686,0.82685,0.0,0,0.82685,2,18.008,0.851
