Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0,362,42,271,15,1.0,9.9319,6.05,0.146577,0.90733,0.0,0,0.90733,2,10.386,0.865
Env. (realmap_a),CNN-DDQN+Duel,1,207,36,333,21,1.0,12.9506,7.2,0.222688,1.00764,0.0,0,1.00764,5,13.454,0.333
Env. (realmap_a),CNN-DDQN+Duel,2,276,25,198,33,1.0,7.3162,4.3,0.186507,0.99475,0.0,0,0.99475,2,7.814,0.404
Env. (realmap_a),CNN-DDQN+Duel,3,58,15,180,24,1.0,11.46,6.4,0.0753,0.58742,0.0,0,0.58742,1,11.754,0.17
Env. (realmap_a),CNN-DDQN+Duel,4,389,121,376,53,1.0,5.9663,3.65,0.026516,0.35417,0.0,0,0.35417,1,6.143,0.068
Env. (realmap_a),CNN-DDQN+Duel,5,380,91,283,31,1.0,12.7894,7.05,0.244312,1.13684,0.0,0,1.13684,4,13.358,0.817
Env. (realmap_a),CNN-DDQN+Duel,6,246,38,151,20,1.0,8.9031,5.2,0.168538,1.67998,0.0,0,1.67998,1,9.743,0.112
Env. (realmap_a),CNN-DDQN+Duel,7,369,55,390,122,1.0,6.0863,3.7,0.008627,0.37938,0.0,0,0.37938,0,6.276,0.032
Env. (realmap_a),CNN-DDQN+Duel,8,234,40,103,45,1.0,12.3469,6.85,0.131439,0.58227,0.0,0,0.58227,2,12.638,0.0
Env. (realmap_a),CNN-DDQN+Duel,9,65,43,152,40,1.0,7.875,4.6,0.123669,0.44332,0.0,0,0.44332,4,8.097,0.794
Env. (realmap_a),CNN-DDQN+Duel,10,274,22,366,22,1.0,8.29,6.5,0.102173,1.01045,0.0,0,1.01045,1,8.795,0.916
Env. (realmap_a),CNN-DDQN+Duel,11,133,36,212,28,1.0,7.575,4.5,0.284012,0.80225,0.0,0,0.80225,4,7.976,0.541
Env. (realmap_a),CNN-DDQN+Duel,12,95,19,26,23,1.0,5.9163,3.6,0.0,0.39306,0.0,0,0.39306,0,6.113,0.076
Env. (realmap_a),CNN-DDQN+Duel,13,278,23,184,38,1.0,8.8163,5.05,0.171548,0.51635,0.0,0,0.51635,2,9.074,0.141
Env. (realmap_a),CNN-DDQN+Duel,14,304,43,386,22,1.0,8.0675,4.7,0.2015,0.43067,0.0,0,0.43067,5,8.283,0.867
Env. (realmap_a),CNN-DDQN+Duel,15,77,15,153,41,1.0,7.4775,4.4,0.145896,0.43655,0.0,0,0.43655,3,7.696,0.153
Env. (realmap_a),CNN-DDQN+Duel,16,83,19,177,26,1.0,8.7162,5.0,0.119552,0.48203,0.0,0,0.48203,2,8.957,0.8
Env. (realmap_a),CNN-DDQN+Duel,17,191,37,58,39,1.0,12.5456,6.95,0.144334,0.58182,0.0,0,0.58182,3,12.837,0.387
Env. (realmap_a),CNN-DDQN+Duel,18,273,24,182,16,1.0,8.3719,4.85,0.125209,0.45198,0.0,0,0.45198,1,8.598,0.006
Env. (realmap_a),CNN-DDQN+Duel,19,357,116,401,38,1.0,8.9125,5.1,0.281835,0.5324,0.0,0,0.5324,5,9.179,0.485
Env. (realmap_a),CNN-DDQN+Duel,20,242,37,321,20,1.0,8.4719,5.8,0.484408,0.74617,0.0,0,0.74617,4,8.845,0.897
Env. (realmap_a),CNN-DDQN+Duel,21,371,112,348,22,1.0,9.1162,5.2,0.16298,0.50814,0.0,0,0.50814,4,9.37,0.768
Env. (realmap_a),CNN-DDQN+Duel,22,129,40,31,52,1.0,9.4662,5.4,0.14291,0.50989,0.0,0,0.50989,5,9.721,0.0
Env. (realmap_a),CNN-DDQN+Duel,23,29,48,86,45,0.0,10.5313,7.75,0.371642,1.41175,0.0,0,1.41175,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,24,84,38,17,35,1.0,5.7825,3.55,0.05751,0.39219,0.0,0,0.39219,2,5.979,0.078
Env. (realmap_a),CNN-DDQN+Duel,25,140,33,30,55,1.0,11.0369,6.2,0.158925,0.56656,0.0,0,0.56656,4,11.32,0.81
Env. (realmap_a),CNN-DDQN+Duel,26,105,19,191,9,1.0,7.9425,4.65,0.067922,0.47369,0.0,0,0.47369,2,8.179,0.0
Env. (realmap_a),CNN-DDQN+Duel,27,256,21,360,60,0.0,5.2275,9.0,0.293329,1.41172,0.0,0,1.41172,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,28,145,38,74,11,1.0,6.9069,4.1,0.249436,0.43729,0.0,0,0.43729,4,7.126,0.882
Env. (realmap_a),CNN-DDQN+Duel,29,109,43,33,56,1.0,7.8744,4.6,0.223555,0.45207,0.0,0,0.45207,5,8.1,0.108
Env. (realmap_a),CNN-DDQN+Duel,30,229,15,357,41,1.0,12.3469,6.85,0.139135,0.60003,0.0,0,0.60003,3,12.647,0.841
Env. (realmap_a),CNN-DDQN+Duel,31,103,12,29,31,1.0,6.8162,4.05,0.197739,0.39469,0.0,0,0.39469,2,7.014,0.333
Env. (realmap_a),CNN-DDQN+Duel,32,299,36,361,30,1.0,5.7894,3.55,0.137221,0.36334,0.0,0,0.36334,4,5.971,0.341
Env. (realmap_a),CNN-DDQN+Duel,33,279,20,212,39,0.0,1.2956,5.85,0.276521,1.72583,0.0,0,1.72583,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,34,57,38,136,17,1.0,7.8375,4.6,0.301614,0.44653,0.0,0,0.44653,4,8.061,0.089
Env. (realmap_a),CNN-DDQN+Duel,35,284,40,382,86,0.0,0.495,5.4,0.413137,1.24398,0.0,0,1.24398,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,36,30,20,143,14,1.0,10.4162,5.85,0.069065,0.52719,0.0,0,0.52719,1,10.68,0.248
Env. (realmap_a),CNN-DDQN+Duel,37,364,93,355,23,1.0,6.3844,3.85,0.132447,0.38931,0.0,0,0.38931,2,6.579,0.26
Env. (realmap_a),CNN-DDQN+Duel,38,79,21,185,22,1.0,9.7106,5.6,0.091426,0.54985,0.0,0,0.54985,1,9.986,0.374
Env. (realmap_a),CNN-DDQN+Duel,39,382,82,306,38,1.0,8.9875,5.15,0.217172,0.47698,0.0,0,0.47698,3,9.226,0.0
Env. (realmap_a),CNN-DDQN+Duel,40,316,39,223,42,1.0,8.6363,5.1,0.202933,0.52946,0.0,0,0.52946,3,8.901,0.672
Env. (realmap_a),CNN-DDQN+Duel,41,249,35,364,64,0.0,0.9206,5.15,0.054462,1.11564,0.0,0,1.11564,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,42,382,35,286,33,1.0,8.9025,5.1,0.170729,0.44913,0.0,0,0.44913,2,9.127,0.814
Env. (realmap_a),CNN-DDQN+Duel,43,381,66,302,22,1.0,9.1487,5.25,0.327247,0.52609,0.0,0,0.52609,4,9.412,0.854
Env. (realmap_a),CNN-DDQN+Duel,44,389,90,367,36,1.0,4.8731,3.2,0.018652,0.32137,0.0,0,0.32137,0,5.034,0.127
Env. (realmap_a),CNN-DDQN+Duel,45,236,21,142,31,1.0,9.1462,5.45,0.210008,0.53664,0.0,0,0.53664,3,9.415,0.562
Env. (realmap_a),CNN-DDQN+Duel,46,189,31,133,34,0.0,1.1081,4.2,2.30806,1.09685,0.0,1,1.09685,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,47,42,20,137,18,1.0,8.5706,4.95,0.067099,0.46548,0.0,0,0.46548,1,8.803,0.411
Env. (realmap_a),CNN-DDQN+Duel,48,104,41,50,23,1.0,5.4631,3.4,0.244358,0.36184,0.0,0,0.36184,5,5.644,0.0
Env. (realmap_a),CNN-DDQN+Duel,49,360,26,384,108,1.0,7.7162,4.5,0.113731,0.41426,0.0,0,0.41426,1,7.923,0.372
Env. (realmap_a),Expert (CTG),0,362,42,271,15,1.0,9.1956,5.25,0.151135,0.76113,0.0,0,0.76113,3,9.576,0.8
Env. (realmap_a),Expert (CTG),1,207,36,333,21,1.0,12.2906,7.5,0.185761,1.05183,0.0,0,1.05183,3,12.817,0.323
Env. (realmap_a),Expert (CTG),2,276,25,198,33,1.0,7.1713,4.25,0.187815,0.61702,0.0,0,0.61702,2,7.48,0.332
Env. (realmap_a),Expert (CTG),3,58,15,180,24,1.0,11.44,6.45,0.091231,0.91695,0.0,0,0.91695,3,11.898,0.477
Env. (realmap_a),Expert (CTG),4,389,121,376,53,1.0,6.1163,3.7,0.124808,0.55225,0.0,0,0.55225,1,6.392,0.423
Env. (realmap_a),Expert (CTG),5,380,91,283,31,1.0,12.3144,6.8,0.203014,0.9706,0.0,0,0.9706,4,12.8,0.742
Env. (realmap_a),Expert (CTG),6,246,38,151,20,1.0,8.9488,5.15,0.16104,0.73889,0.0,0,0.73889,2,9.318,0.032
Env. (realmap_a),Expert (CTG),7,369,55,390,122,1.0,6.1844,3.75,0.145669,0.55709,0.0,0,0.55709,3,6.463,0.278
Env. (realmap_a),Expert (CTG),8,234,40,103,45,1.0,12.4975,6.9,0.164074,0.98214,0.0,0,0.98214,2,12.989,0.175
Env. (realmap_a),Expert (CTG),9,65,43,152,40,1.0,7.9956,4.65,0.145647,0.69557,0.0,0,0.69557,4,8.343,0.853
Env. (realmap_a),Expert (CTG),10,274,22,366,22,1.0,8.3369,5.5,0.090287,0.77452,0.0,0,0.77452,1,8.724,0.319
Env. (realmap_a),Expert (CTG),11,133,36,212,28,1.0,7.2619,4.3,0.167065,0.63353,0.0,0,0.63353,2,7.579,0.051
Env. (realmap_a),Expert (CTG),12,95,19,26,23,1.0,6.0162,3.65,0.113738,0.55597,0.0,0,0.55597,1,6.294,0.475
Env. (realmap_a),Expert (CTG),13,278,23,184,38,1.0,9.0875,5.25,0.23406,0.76429,0.0,0,0.76429,4,9.47,0.473
Env. (realmap_a),Expert (CTG),14,304,43,386,22,1.0,8.045,4.7,0.215751,0.70448,0.0,0,0.70448,5,8.397,0.892
Env. (realmap_a),Expert (CTG),15,77,15,153,41,1.0,7.3862,4.35,0.171139,0.63591,0.0,0,0.63591,2,7.704,0.444
Env. (realmap_a),Expert (CTG),16,83,19,177,26,1.0,8.7144,5.0,0.055831,0.70095,0.0,0,0.70095,3,9.065,0.625
Env. (realmap_a),Expert (CTG),17,191,37,58,39,1.0,12.5162,6.9,0.138606,0.99653,0.0,0,0.99653,2,13.015,0.349
Env. (realmap_a),Expert (CTG),18,273,24,182,16,1.0,8.4163,4.85,0.178322,0.68435,0.0,0,0.68435,5,8.758,0.391
Env. (realmap_a),Expert (CTG),19,357,116,401,38,1.0,8.2731,4.8,0.081079,0.64134,0.0,0,0.64134,1,8.594,0.003
Env. (realmap_a),Expert (CTG),20,242,37,321,20,1.0,7.3562,5.15,0.227163,0.6915,0.0,0,0.6915,4,7.702,0.319
Env. (realmap_a),Expert (CTG),21,371,112,348,22,1.0,9.0113,5.2,0.117401,0.69179,0.0,0,0.69179,2,9.357,0.677
Env. (realmap_a),Expert (CTG),22,129,40,31,52,1.0,9.5106,5.4,0.1752,0.72132,0.0,0,0.72132,5,9.871,0.337
Env. (realmap_a),Expert (CTG),23,29,48,86,45,0.0,2.2781,3.5,1.390735,0.52707,0.0,1,0.52707,180,inf,inf
Env. (realmap_a),Expert (CTG),24,84,38,17,35,1.0,5.8031,3.55,0.088365,0.50401,0.0,0,0.50401,2,6.055,0.178
Env. (realmap_a),Expert (CTG),25,140,33,30,55,1.0,11.06,6.2,0.155866,0.8052,0.0,0,0.8052,4,11.463,0.807
Env. (realmap_a),Expert (CTG),26,105,19,191,9,1.0,7.9375,4.65,0.083392,0.62408,0.0,0,0.62408,2,8.25,0.138
Env. (realmap_a),Expert (CTG),27,256,21,360,60,1.0,11.6144,6.45,0.191346,0.84527,0.0,0,0.84527,5,12.037,0.339
