Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0,373,111,152,40,1.0,27.4913,14.65,0.193946,1.09806,0.0,0,1.09806,4,28.04,0.762
Env. (realmap_a),CNN-DDQN+Duel,1,28,16,366,22,1.0,32.9781,18.0,0.07203,0.82165,0.0,0,0.82165,1,33.389,0.537
Env. (realmap_a),CNN-DDQN+Duel,2,389,92,212,28,1.0,20.4044,10.95,0.197955,0.47757,0.0,0,0.47757,3,20.643,0.781
Env. (realmap_a),CNN-DDQN+Duel,3,221,29,26,23,1.0,18.7013,10.05,0.056522,0.4099,0.0,0,0.4099,1,18.906,0.0
Env. (realmap_a),CNN-DDQN+Duel,4,341,25,153,41,1.0,18.5125,10.2,0.180397,0.43555,0.0,0,0.43555,3,18.73,0.0
Env. (realmap_a),RRT*,0,373,111,152,40,1.0,27.9484,15.8,0.262091,3.13549,1.81444,0,4.94993,4,30.423,0.914
Env. (realmap_a),RRT*,1,28,16,366,22,1.0,33.0407,18.1,0.091618,3.363,1.5588,0,4.9218,1,35.502,0.999
Env. (realmap_a),RRT*,2,389,92,212,28,1.0,20.8872,12.4,0.226944,2.03493,1.27274,0,3.30766,4,22.541,0.907
Env. (realmap_a),RRT*,3,221,29,26,23,1.0,18.6322,11.15,0.087165,0.86258,0.98733,0,1.84991,1,19.557,0.565
Env. (realmap_a),RRT*,4,341,25,153,41,1.0,18.9533,11.25,0.228929,1.30338,0.96592,0,2.2693,3,20.088,0.944
Env. (realmap_a),LO-HA*,0,373,111,152,40,0.0,0.0,0.0,0.0,10.04156,0.0,0,10.04156,0,inf,inf
Env. (realmap_a),LO-HA*,1,28,16,366,22,1.0,32.92,17.75,0.057877,3.3945,1.42688,0,4.82138,1,35.331,0.111
Env. (realmap_a),LO-HA*,2,389,92,212,28,0.0,0.0,0.0,0.0,10.03448,0.0,0,10.03448,0,inf,inf
Env. (realmap_a),LO-HA*,3,221,29,26,23,1.0,19.8967,11.65,0.198538,0.55231,0.95964,0,1.51195,5,20.653,0.924
Env. (realmap_a),LO-HA*,4,341,25,153,41,1.0,18.646,10.65,0.216306,2.19306,0.84937,0,3.04243,3,20.167,0.596
