step,x_m,y_m,theta_rad,v_m_s,delta_rad,action,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck,reward
0,34.1,2.5,3.056690860140071,0.0,0.0,-1,0.0,0.0,0.5347234894347251,False,False,False,0.0
1,34.096263507472976,2.500317999364002,3.0563633115104203,0.07500000000000001,-0.05235987901687622,4,-1.0471975803375244,1.5,0.5310017757130484,False,False,False,-0.15878683417646655
2,34.08879073114032,2.5009564458238587,3.055049508532771,0.15000000000000002,-0.10471975803375244,4,-1.0471975803375244,1.5,0.5235888451591306,False,False,False,-0.11311895510847166
3,34.07758283450421,2.501928841316596,3.052079800192671,0.22500000000000003,-0.15707963705062866,4,-1.0471975803375244,1.5,0.5125195859089974,False,False,False,-0.06900236259346776
4,34.06451038176912,2.503102129213348,3.0474301252728875,0.26250000000000007,-0.20943951606750488,3,-1.0471975803375244,0.75,0.4996735641457485,False,False,False,-0.051149455651496284
5,34.04957683201151,2.5045124808138595,3.040731395266903,0.30000000000000004,-0.2617993950843811,3,-1.0471975803375244,0.75,0.4850863218446173,False,False,False,-0.030511510060195625
6,34.032787593901986,2.506211630219229,3.031593028538518,0.3375,-0.3141592741012573,3,-1.0471975803375244,0.75,0.4688077388648191,False,False,False,-0.012988903392952361
7,34.014150916293524,2.508269966372128,3.019597277077967,0.375,-0.36651915311813354,3,-1.0471975803375244,0.75,0.45090827407143075,False,False,False,0.003226539185725935
8,33.99554027025654,2.510551710022536,3.0056838802256065,0.375,-0.41887903213500977,2,-1.0471975803375244,0.0,0.4332476777054032,False,False,False,-0.009792013028196444
9,33.976963171319895,2.5130921617733373,2.989761209928906,0.375,-0.47123889803846897,2,-1.0471975803375244,0.0,0.4158827826587983,False,False,False,-0.016967552445608637
10,33.95472201734296,2.5164952588589924,2.9706540055728645,0.45,-0.47123889803846897,4,-1.0471975803375244,1.5,0.3952719011526836,False,False,False,0.013031774053881985
11,33.92885459717844,2.520960577888183,2.948362267157483,0.525,-0.47123889803846897,19,0.0,1.5,0.3715478594378966,False,False,False,0.08485910732020086
12,33.89941292642337,2.5267214826044513,2.922885994682762,0.6000000000000001,-0.47123889803846897,19,0.0,1.5,0.34487277026574903,False,False,False,0.13425221317467828
13,33.86646688927791,2.534044128056027,2.8942251881487007,0.675,-0.47123889803846897,19,0.0,1.5,0.31544115775309334,False,False,False,0.18391250909140167
14,33.830108375664054,2.5432260934116124,2.8623798475552995,0.75,-0.47123889803846897,19,0.0,1.5,0.28348339301732306,False,False,False,0.23369864920343486
15,33.79045587736587,2.5545945532330996,2.8273499729025575,0.825,-0.47123889803846897,19,0.0,1.5,0.2506319378654851,False,False,False,0.2834173387874891
16,33.75479222475716,2.566185665457772,2.7955046323091555,0.75,-0.47123889803846897,10,-0.3490658402442932,-1.5,0.22262116804559184,False,False,False,-0.01769176140996436
