step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,34.1,2.5,3.056690860140071,0.0,0.0,0.0,0.0,0.5347234894347251,False,False,False
1,34.09705733789645,2.5002504393279614,3.056475198280305,0.05906599736784366,-0.04378641367595715,-0.875728273519143,1.1813199473568732,0.5317905516592676,False,False,False
2,34.09038702283978,2.500819574694361,3.0555883972755025,0.13389102736266908,-0.07931292391314326,-0.7105302047437223,1.4965005998965086,0.5251604796977902,False,False,False
3,34.08027725787977,2.501691207650239,3.053718641352302,0.20294540305846726,-0.11011001026738537,-0.6159417270848422,1.381087513915963,0.515136926299257,False,False,False
4,34.06708252145952,2.5028536757530375,3.05043427820997,0.26491689360244663,-0.14768927678185,-0.7515853302892928,1.2394298108795878,0.5020981020168654,False,False,False
5,34.05114404546069,2.5043106392844816,3.0450289238289336,0.32009858474996816,-0.19993115348872234,-1.0448375341374467,1.1036338229504308,0.48642863994392815,False,False,False
6,34.033232896181346,2.5060456026047437,3.037737887149463,0.35989963391457863,-0.23847627819466388,-0.7709024941188307,0.7960209832922089,0.46890481124403116,False,False,False
7,34.01363460879344,2.5080883275999213,3.02833537596255,0.39408912390220346,-0.2788467556149097,-0.8074095484049156,0.6837897997524962,0.4498474477566503,False,False,False
8,33.99287376038623,2.5104497502386844,3.017390362916281,0.4178943136564016,-0.30451511623252153,-0.5133672123522373,0.4761037950839626,0.4297750050509077,False,False,False
9,33.97114868256301,2.513162015691351,3.0051976691229676,0.43787458949375324,-0.3224782484939104,-0.35926264522777707,0.39960551674703293,0.4088911271355802,False,False,False
10,33.94574815183143,2.5166481658502238,2.9888942498653535,0.5127729339098329,-0.36448799712538105,-0.8401949726294136,1.4979668883215926,0.38473758123798185,False,False,False
11,33.916766406114334,2.5211083519238895,2.967782854563401,0.5864588117241367,-0.4077653924553939,-0.8655479066002572,1.4737175562860756,0.3575777798610804,False,False,False
12,33.88432993903281,2.5268035943853877,2.9423044982220965,0.6586532269491315,-0.4345915147687528,-0.5365224462671775,1.4438883044998967,0.3276504472959205,False,False,False
13,33.84880760863943,2.5339780056025636,2.9115295063248166,0.7247918688532592,-0.47123889803846897,-1.0350914426996416,1.3227728380825527,0.2956092148008631,False,False,False
14,33.80987166112848,2.543097192799576,2.8775699803681967,0.7997918688532593,-0.47123889803846897,0.0,1.5,0.26108267727025214,False,False,False
15,33.76764773160237,2.5545117365882564,2.840425920352236,0.8747918688532592,-0.47123889803846897,0.0,1.5,0.22526836204357603,False,False,False
16,33.722295595099624,2.5685987944778605,2.8000973262769353,0.9497918688532592,-0.47123889803846897,0.0,1.5,0.18949240885093188,False,False,False
17,33.6740148350877,2.5857587521946197,2.756584198142294,1.0247918688532591,-0.47123889803846897,0.0,1.5,0.15299836828808222,False,False,False
18,33.62320416897142,2.6063488533356,2.7101466558652145,1.0964809266332824,-0.4701997685365087,0.020782590039205573,1.4337811556004656,0.12152552442826392,False,False,False
19,33.57078455124504,2.6304813946356305,2.6616801350418005,1.1541569862331662,-0.46677555315698666,0.06848430759044088,1.1535211919976733,0.09514356198039964,False,False,False
20,33.51823287546537,2.657834523864786,2.6125705556262595,1.1848835058144784,-0.4615342540460609,0.10482598221851447,0.6145303916262463,0.07800574955228423,False,False,False
21,33.465931334266344,2.68841022189231,2.562768111249701,1.2116640659298634,-0.458217132133768,0.06634243824585728,0.5356112023077007,0.07084375598416781,False,False,False
22,33.41234272077536,2.7234298300791155,2.5161602974926183,1.280330028304178,-0.4118526642410845,0.9272893578536701,1.3733192474862927,0.07322642244939237,False,False,False
23,33.35740699845871,2.7631012258055834,2.473421821516781,1.3552495305792818,-0.3617709324834919,1.0016346351518524,1.4983900455020756,0.0848029240405318,False,False,False
24,33.301926705338545,2.8068907783609705,2.4350653787540164,1.4135894506822182,-0.31478253421729,0.9397679653240376,1.166798402058729,0.10574652457215983,False,False,False
25,33.24560391232544,2.854962748166327,2.4018844338821266,1.4809687766815351,-0.2626477758129796,1.0426951680862089,1.3475865199863373,0.13780609547934752,False,False,False
26,33.18841412241847,2.907151555664058,2.3738982735364367,1.5484629408078652,-0.21357442475385938,0.9814670211824044,1.3498832825265996,0.16196839399971763,False,False,False
27,33.130653453983044,2.9629024303560216,2.3520442604705885,1.6055472396695505,-0.1619090144954395,1.033308205168397,1.141685977233705,0.13899028102321387,False,False,False
28,33.07226278738551,3.021779788991617,2.3367970462971037,1.6584345999295211,-0.10988049461241146,1.040570397660561,1.0577472051994143,0.12959997343628615,False,False,False
29,33.01284236266592,3.083551322811684,2.32855538589975,1.714235603916807,-0.0576294256800856,1.0450213786465172,1.116020079745717,0.1328955586018301,False,False,False
30,32.952246151027374,3.147593299819551,2.3277664547482058,1.763323644033592,-0.005368885562690155,1.0452108023479088,0.9817608023357005,0.14782837031760987,False,False,False
31,32.89085132121002,3.212581931321101,2.334601249286246,1.788054512898937,0.045837575938037486,1.0241292300145528,0.4946173773069007,0.1785111408101383,False,False,False
32,32.82706462324119,3.2791845958853916,2.3496056766241784,1.8444140277963559,0.09731243415306348,1.0294971643005197,1.1271902979483786,0.21832733490561185,False,False,False
33,32.76089628544321,3.346230671318364,2.3731312129666247,1.883977192846167,0.14873932759845407,1.0285378689078117,0.7912633009962233,0.2675541623905041,False,False,False
34,32.691027322772854,3.41377212923445,2.4059494022712595,1.9435555543449186,0.1999209524325953,1.0236324966828245,1.1915672299750293,0.3265088847694444,False,False,False
35,32.617299143746735,3.480505865367927,2.448530541772655,1.9888927493296744,0.2514749582675901,1.031080116699896,0.906743899695118,0.38840051668141495,False,False,False
36,32.54036981832543,3.5443954489494742,2.498508440512107,2.0,0.2913351317231382,0.7972034691109624,0.27800045169297727,0.449583285938263,False,False,False
37,32.4603448115353,3.6043620920791315,2.5530117651883,2.0,0.31605778683825586,0.49445310230235395,0.0920107941433308,0.4646475122457393,False,False,False
38,32.37717187348436,3.6598802186323067,2.6083560921516122,2.0,0.3206094866465345,0.09103399616557284,0.14105267014211664,0.43401100286414274,False,False,False
39,32.29105523702805,3.710712540293353,2.6637004191149245,2.0,0.3206094866465345,0.0,0.0,0.4088868505244324,False,False,False
40,32.202258609631,3.7567033976773,2.718322101381867,2.0,0.3166991903291993,-0.07820592634670387,0.7963998024320693,0.39166611841639265,False,False,False
41,32.11108356388992,3.7977778548753207,2.771990402594316,2.0,0.3115249993477015,-0.10348381962995545,0.393095301580217,0.3420838738970332,False,False,False
42,32.017836453486794,3.833902311984979,2.82385223703312,2.0,0.30167365516796146,-0.19702688359480103,0.49485052049459766,0.29651950701495033,False,False,False
43,31.9228420751261,3.8651444002612947,2.873500858214669,2.0,0.2895214785780596,-0.24304353179803773,0.17384027576758498,0.2674638300318335,False,False,False
44,31.826414263170527,3.8916335882719,2.9208210949740128,2.0,0.2766413205767811,-0.25760316002557004,0.9032932520119319,0.256495213615924,False,False,False
45,31.728841384978104,3.9135318402853976,2.9656565542725177,2.0,0.26279144181959646,-0.2769975751436926,0.5759086833542191,0.2573381137057351,False,False,False
46,31.630385072481005,3.9310348265869814,3.007439670160597,2.0,0.24563615054517124,-0.34310582548850466,0.35531871528371717,0.261754227053799,False,False,False
47,31.53128357488501,3.944409921884992,3.046059808953565,2.0,0.22770214675431275,-0.35868007581716976,0.5636262591529912,0.2687500741564459,False,False,False
48,31.431739554154756,3.9539486815975913,3.0814485318245595,2.0,0.20922496862627032,-0.3695435625608484,0.3257445049014436,0.27794485265324087,False,False,False
49,31.331920365409765,3.9599594684255974,3.1137795142666693,2.0,0.191606135045211,-0.35237667162118635,0.0751613485335052,0.29589109264801183,False,False,False
50,31.2319590414524,3.9627404237812764,-3.1406901797461124,2.0,0.1706185625243991,-0.4197514504162382,0.06182140781494794,0.30113266474143296,False,False,False
51,31.13195908217535,3.962650176409159,-3.1155455068346765,2.0,0.1497387757150704,-0.41759573618657386,0.476633290453905,0.30295769176935494,False,False,False
52,31.03199300295018,3.9600457562534412,-3.092444737319997,2.0,0.13772712092061418,-0.24023309588912467,0.3635261606388298,0.3071549041527226,False,False,False
53,30.932113754524465,3.955132943015178,-3.071387210015643,2.0,0.1256792435297382,-0.24095754781751966,0.5198514965031071,0.3159666288447298,False,False,False
54,30.832360093535165,3.948118164384884,-3.052120276803481,2.0,0.11509073312818685,-0.21177020803102675,1.0074236391362241,0.33552541429205907,False,False,False
55,30.732760091896267,3.9391828594918596,-3.034586998745406,2.0,0.10481414454481694,-0.20553177166739833,0.11844497213444671,0.36880314428781635,False,False,False
56,30.633332056332687,3.9285027029402078,-3.018750510380284,2.0,0.09473450682888071,-0.20159275431872448,0.02382908104322623,0.40407813850787844,False,False,False
57,30.534085617609318,3.9162493605093265,-3.004508278491262,2.0,0.08524629634960555,-0.1897642095855031,1.1157486149836489,0.37313838867597326,False,False,False
58,30.435023753392212,3.9025838177893366,-2.9919508711343172,2.0,0.07520235637957184,-0.2008787994006741,0.5405441699837135,0.3379367989896137,False,False,False
59,30.33614129880658,3.8876754250147765,-2.980828717480517,2.0,0.06663412557694795,-0.17136461605247777,0.35918261341993407,0.2976653224443604,False,False,False
60,30.237430770168135,3.871668191152596,-2.9710426304373785,2.0,0.05864918388444748,-0.15969883385000938,0.10234621363816387,0.25571815374942863,False,False,False
61,30.138881613805832,3.8546957493636813,-2.9624618255933237,2.0,0.05143941120919864,-0.14419545350497676,0.7059994379674022,0.22513639443222067,False,False,False
62,30.040481720942402,3.8368783117121774,-2.9554445603810064,2.0,0.0420787385165427,-0.18721345385311872,0.5536218245943236,0.20241436301676463,False,False,False
63,29.942209279432625,3.8183708202639237,-2.9494749357229932,2.0,0.03580244273239841,-0.12552591568288585,0.21342023330440263,0.18717663011727637,False,False,False
64,29.84404907107768,3.7992770124793487,-2.9447133606973024,2.0,0.02856168103508173,-0.14481523394633355,0.84959226319318,0.18626990135969446,False,False,False
65,29.745980891748786,3.77971602571703,-2.9408632343392616,2.0,0.023096650261888493,-0.10930061546386471,0.09574491469545166,0.2014304352398869,False,False,False
