Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,52,55,376,53,0.0,0.6694,5.7,3.614348,0.91421,0.0,1,0.91421,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,1,53,52,356,74,0.0,0.39,3.1,5.830294,0.40434,0.0,1,0.40434,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,2,351,17,107,42,1.0,24.0225,14.4,0.158055,0.61516,0.0,0,0.61516,2,24.33,0.889
Env. (realmap_a),CNN-DDQN+Duel,3,388,95,151,20,1.0,26.5725,14.1,0.156422,0.51105,0.0,0,0.51105,3,26.828,0.889
Env. (realmap_a),CNN-DDQN+Duel,4,176,39,390,122,1.0,26.6113,14.1,0.196681,0.51023,0.0,0,0.51023,4,26.866,0.889
Env. (realmap_a),RRT*,0,52,55,376,53,0.0,0.0,0.0,0.0,9.60176,0.0,0,9.60176,0,inf,inf
Env. (realmap_a),RRT*,1,53,52,356,74,0.0,0.0,0.0,0.0,10.00051,0.0,0,10.00051,0,inf,inf
Env. (realmap_a),RRT*,2,351,17,107,42,1.0,23.878,13.55,0.147824,2.22464,1.24336,0,3.468,2,25.612,0.321
Env. (realmap_a),RRT*,3,388,95,151,20,0.0,0.0,0.0,0.0,7.17674,0.0,0,7.17674,0,inf,inf
Env. (realmap_a),RRT*,4,176,39,390,122,0.0,0.0,0.0,0.0,9.91941,0.0,0,9.91941,0,inf,inf
Env. (realmap_a),LO-HA*,0,52,55,376,53,0.0,0.5505,2.8,0.748908,7.8829,0.23366,1,8.11656,180,inf,inf
Env. (realmap_a),LO-HA*,1,53,52,356,74,0.0,0.0,0.0,0.0,10.0462,0.0,0,10.0462,0,inf,inf
Env. (realmap_a),LO-HA*,2,351,17,107,42,1.0,23.8792,13.5,0.103643,9.74706,1.13333,0,10.88039,2,29.319,0.111
Env. (realmap_a),LO-HA*,3,388,95,151,20,0.0,0.0,0.0,0.0,10.05844,0.0,0,10.05844,0,inf,inf
Env. (realmap_a),LO-HA*,4,176,39,390,122,0.0,0.0,0.0,0.0,10.03717,0.0,0,10.03717,0,inf,inf
