step,x_m,y_m,theta_rad,v_m_s,delta_rad,action,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck,reward
0,17.6,3.9000000000000004,0.3699889655745805,0.0,0.0,-1,0.0,0.0,0.6182382345345838,False,False,False,0.0
1,17.60349624250913,3.9013560192909242,0.36966141694492993,0.07500000000000001,-0.05235987901687622,4,-1.0471975803375244,1.5,0.6216903021094768,False,False,False,-0.16987688357734398
2,17.61048961547679,3.9040657673484427,0.36834761396728055,0.15000000000000002,-0.10471975803375244,4,-1.0471975803375244,1.5,0.6285625051842596,False,False,False,-0.13505743088600328
3,17.62098500598601,3.9081166040594146,0.36537790562718087,0.22500000000000003,-0.15707963705062866,4,-1.0471975803375244,1.5,0.6388055259730179,False,False,False,-0.10148674924866646
4,17.633243609003316,3.912806196479242,0.36072823070739757,0.26250000000000007,-0.20943951606750488,3,-1.0471975803375244,0.75,0.6506597744899487,False,False,False,-0.08843480497355802
5,17.6490325346551,3.918762323724566,0.3531921594506642,0.3375000000000001,-0.2617993950843811,4,-1.0471975803375244,1.5,0.6350820350647968,False,False,False,-0.057212845938360256
6,17.666625159858572,3.925247849027127,0.34303841864134776,0.3750000000000001,-0.3141592741012573,3,-1.0471975803375244,0.75,0.6157841057462705,False,False,False,-0.04416720217834121
7,17.686048486348657,3.9321850684311475,0.32984309203474194,0.4125000000000001,-0.36651915311813354,3,-1.0471975803375244,0.75,0.5943739291553829,False,False,False,-0.027107012220475374
8,17.709109507533512,3.940079998887563,0.31175567612667354,0.4875000000000001,-0.41887903213500977,4,-1.0471975803375244,1.5,0.5689688785375397,False,False,False,-0.002343547356947237
9,17.73587878460958,3.948706784489674,0.2878716706816222,0.5625000000000001,-0.47123889803846897,4,-1.0471975803375244,1.5,0.5396906351629848,False,False,False,0.03598204009179353
10,17.76644213808906,3.9577564833293124,0.26080313117723053,0.6375000000000002,-0.47123889803846897,19,0.0,1.5,0.5072337782560334,False,False,False,0.08485998362177083
11,17.800862414485042,3.966942624947222,0.2305500576134989,0.7125000000000001,-0.47123889803846897,19,0.0,1.5,0.47162313891294905,False,False,False,0.13161146635376253
12,17.839195585333353,3.975940326749019,0.19711244999042687,0.7875000000000001,-0.47123889803846897,19,0.0,1.5,0.4331806953548971,False,False,False,0.18042773534452505
13,17.88148551968179,3.9843858627181032,0.16049030830801492,0.8625,-0.47123889803846897,19,0.0,1.5,0.3921879994414911,False,False,False,0.23133047866223178
14,17.927758131385193,3.9918765923985826,0.12068363256626258,0.9375,-0.47123889803846897,19,0.0,1.5,0.34947690816977384,False,False,False,0.2842518766354253
15,17.978014913723154,3.9979713814872,0.0795311953529878,1.0125,-0.4537856060262543,24,0.3490658402442932,1.5,0.30510888249339974,False,False,False,0.34220329386249715
16,18.03221803767284,4.002291332771029,0.037272063720654725,1.0875,-0.4363323140140396,24,0.3490658402442932,1.5,0.260271414328339,False,False,False,0.4015313546578773
17,18.090302668525883,4.004457269904426,-0.005859465345418702,1.1624999999999999,-0.4188790220018249,24,0.3490658402442932,1.5,0.2154172532929377,False,False,False,0.4615003639131271
18,18.152176606341396,4.004094717560792,-0.04963343101420836,1.2374999999999998,-0.40142572998961024,24,0.3490658402442932,1.5,0.17469937248307232,False,False,False,-0.6496868650858195
19,18.217720790079568,4.000838860823074,-0.09382379978791766,1.3124999999999998,-0.38397243797739555,24,0.3490658402442932,1.5,0.13826726485888297,False,False,False,-52.39119341826351
20,18.286790663230395,3.9943393802339253,-0.1359078585903295,1.3874999999999997,-0.34906585395296624,29,0.6981316804885864,1.5,0.10602668778150548,False,False,False,-26.741365850488684
21,18.359241358146637,3.9844316846817964,-0.17550744718442468,1.4624999999999997,-0.31415926992853693,29,0.6981316804885864,1.5,0.08233770797002926,False,False,False,-110.70621096014227
22,18.433089212754613,3.9713360987919146,-0.21372378306074058,1.4999999999999998,-0.29670597791632225,23,0.3490658402442932,0.75,0.07242960876048332,False,False,False,28.473290906390098
23,18.510047482999045,3.9546331906324097,-0.24889211542441192,1.5749999999999997,-0.26179939389189294,29,0.6981316804885864,1.5,0.07313469899819292,False,False,False,71.71848110355369
24,18.590005321568952,3.9343109355599886,-0.2806364927336489,1.6499999999999997,-0.22689280986746363,29,0.6981316804885864,1.5,0.08623652609655741,False,False,False,40.61077839204139
25,18.67288116510001,3.910422506163817,-0.30857866338409456,1.7249999999999996,-0.19198622584303432,29,0.6981316804885864,1.5,0.10980649504644402,False,False,False,-92.21705789143786
26,18.7586301229919,3.883089079367039,-0.3323363308380314,1.7999999999999996,-0.157079641818605,29,0.6981316804885864,1.5,0.11122858200835617,False,False,False,46.85193652071343
27,18.847250375229994,3.8525029159388424,-0.35152142008968257,1.8749999999999996,-0.12217305779417569,29,0.6981316804885864,1.5,0.11737369800767228,False,False,False,-38.4615101709082
28,18.938788243818774,3.818931073358741,-0.36573832974166853,1.9499999999999995,-0.08726647376974636,29,0.6981316804885864,1.5,0.10681055028481823,False,False,False,42.72131299774328
29,19.03159057737343,3.78339070881629,-0.3744183702091868,1.9874999999999996,-0.05235988974531704,28,0.6981316804885864,0.75,0.115998373846948,False,False,False,13.195429514567586
30,19.124080927013484,3.747046165230488,-0.3773093675249952,1.9874999999999996,-0.017453305720887713,27,0.6981316804885864,0.0,0.13151203357875274,False,False,False,-49.04816282338251
31,19.21646581831127,3.7104343845459034,-0.3744183747515679,1.9874999999999996,0.01745327830354161,27,0.6981316804885864,0.0,0.12466377818627117,False,False,False,41.36314939782738
32,19.308956167786235,3.6740898405399753,-0.3628367486470254,1.9874999999999996,0.06981315732041783,32,1.0471975803375244,0.0,0.13029361857494548,False,False,False,-3.5652708211370543
33,19.401861233786875,3.6388188987263934,-0.3425005576476483,1.9874999999999996,0.12217303633729405,32,1.0471975803375244,0.0,0.150992740567221,False,False,False,-27.176336985998375
34,19.495464316680074,3.6054444549424334,-0.3192234838947372,1.9874999999999996,0.13962632834950872,22,0.3490658402442932,0.0,0.184951756429096,False,False,False,25.53823979596785
35,19.589818831843875,3.5742576613720094,-0.29299106305729383,1.9874999999999996,0.15707962036172338,22,0.3490658402442932,0.0,0.2298988841424745,False,False,False,0.7868903478142081
36,19.684958895584135,3.545556461109661,-0.2637869090677216,1.9874999999999996,0.17453291237393803,22,0.3490658402442932,0.0,0.2834745054796658,False,False,False,0.8086221765397602
37,19.780896465685274,3.51964558949003,-0.23159267265854044,1.9874999999999996,0.1919862043861527,22,0.3490658402442932,0.0,0.3434907109342652,False,False,False,0.8316872563188079
38,19.87761835856225,3.4968362479104265,-0.19638799452792233,1.9874999999999996,0.20943949639836734,22,0.3490658402442932,0.0,0.40878387504651825,False,False,False,0.8557773774482939
39,19.97508315022492,3.4774453992659686,-0.158150452875919,1.9874999999999996,0.226892788410582,22,0.3490658402442932,0.0,0.4777764447513202,False,False,False,0.8805613852681762
40,20.073217976179013,3.4617946305960516,-0.11991291122391567,1.9874999999999996,0.226892788410582,17,0.0,0.0,0.5494287047180795,False,False,False,0.9065384439090357
41,20.171879370035814,3.449906822251661,-0.08167536957191235,1.9874999999999996,0.226892788410582,17,0.0,0.0,0.623107959935238,False,False,False,0.9304240869890995
42,20.270923095600423,3.4417993533937254,-0.04343782791990902,1.9874999999999996,0.226892788410582,17,0.0,0.0,0.696983955618212,False,False,False,0.9526372000400235
43,20.37020435773519,3.4374840765859744,-0.005200286267905696,1.9874999999999996,0.226892788410582,17,0.0,0.0,0.7684586035464513,False,False,False,0.9731463210595669
44,20.469578014040284,3.4369673004673027,0.03000439186271242,1.9874999999999996,0.20943949639836734,12,-0.3490658402442932,0.0,0.8383704222078041,False,False,False,0.9921269820197578
45,20.568908285551856,3.4399485395448703,0.0621986282718936,1.9874999999999996,0.1919862043861527,12,-0.3490658402442932,0.0,0.909812373052671,False,False,False,1.0085653089193365
46,20.668091123006185,3.4461255436333,0.09140278226146581,1.9874999999999996,0.17453291237393803,12,-0.3490658402442932,0.0,0.9826572842081855,False,False,False,1.0223581326528721
47,20.767051299270705,3.4551960529186436,0.11763520309890918,1.9874999999999996,0.15707962036172338,12,-0.3490658402442932,0.0,1.0567967459707577,False,False,False,1.0338203631263105
48,20.865739514136457,3.46685910876224,0.14091227685182028,1.9874999999999996,0.13962632834950872,12,-0.3490658402442932,0.0,0.9983786772452434,False,False,False,1.0432546101284845
49,20.96412953718245,3.480815970515828,0.1612484678511974,1.9874999999999996,0.12217303633729407,12,-0.3490658402442932,0.0,0.9303230753468235,False,False,False,1.0509322882558025
50,21.060364729195143,3.4964696543723646,0.17832790430837298,1.9499999999999995,0.10471974432507941,11,-0.3490658402442932,-0.75,0.8713514647126466,False,False,False,0.9264063768056171
51,21.15447327656686,3.513432022620501,0.19227140840580104,1.9124999999999994,0.08726645231286476,11,-0.3490658402442932,-0.75,0.7930536356880391,False,False,False,1.0142059492931472
52,21.246495719683768,3.5313466106089453,0.203197471236515,1.8749999999999993,0.0698131603006501,11,-0.3490658402442932,-0.75,0.7254264680799061,False,False,False,0.9937810106148368
53,21.336480513701424,3.549887173453693,0.21122241101564931,1.8374999999999992,0.05235986828843544,11,-0.3490658402442932,-0.75,0.6634083223343537,False,False,False,0.9722864815262122
54,21.429980282537716,3.5699354614743606,0.21957489935719732,1.9124999999999992,0.05235986828843544,19,0.0,1.5,0.5982702413405789,False,False,False,0.09657306359176893
55,21.526969301776365,3.5915808021306113,0.22825493626115856,1.9874999999999992,0.05235986828843544,19,0.0,1.5,0.5369700474699343,False,False,False,1.0722209873201773
56,21.62376678731771,3.6140671850739157,0.2340386872549769,1.9874999999999992,0.03490657627622078,12,-0.3490658402442932,0.0,0.48229686948511796,False,False,False,0.6290798155702693
57,21.72043259892509,3.6371130413454114,0.23692968101590672,1.9874999999999992,0.017453284264006115,12,-0.3490658402442932,0.0,0.43163541080951706,False,False,False,1.074428380571161
58,21.817031381239932,3.660438261179099,0.2369296797326097,1.9874999999999992,-7.748208546987101e-09,12,-0.3490658402442932,0.0,0.37953666511042805,False,False,False,1.0746640103295189
59,21.913630163584706,3.6837634808888216,0.23403868340430378,1.9874999999999992,-0.01745329976042321,12,-0.3490658402442932,0.0,0.3259747522419192,False,False,False,1.0742063873950354
60,22.01029597528083,3.7068093367880888,0.22825492984076146,1.9874999999999992,-0.03490659177263787,12,-0.3490658402442932,0.0,0.2751210558895695,False,False,False,1.073007927987028
61,22.107093460966546,3.7292957191099148,0.2195748903631567,1.9874999999999992,-0.05235988378485253,12,-0.3490658402442932,0.0,0.2447820280459745,False,False,False,1.071016967277057
62,22.204082480399872,3.7509410588938423,0.20799326118345585,1.9874999999999992,-0.0698131757970672,12,-0.3490658402442932,0.0,0.23493970773356088,False,False,False,1.068178220598947
63,22.301315677831397,3.771461681258731,0.1935029504175363,1.9874999999999992,-0.08726646780928185,12,-0.3490658402442932,0.0,0.23907975655275737,False,False,False,1.0643378697453154
64,22.39883600724732,3.7905712593705028,0.17609506066431413,1.9874999999999992,-0.1047197598214965,12,-0.3490658402442932,0.0,0.2474060357340413,False,False,False,1.0329134942865115
65,22.49667420164625,3.807980404718763,0.15575886705964903,1.9874999999999992,-0.12217305183371116,12,-0.3490658402442932,0.0,0.25569902469755923,False,False,False,0.8937042003496226
66,22.59484617707113,3.823396430995885,0.13542267345498393,1.9874999999999992,-0.12217305183371116,17,0.0,0.0,0.22871288651533572,False,False,False,0.9077612967599888
67,22.693311334843372,3.836812962957883,0.11508647985031883,1.9874999999999992,-0.12217305183371116,17,0.0,0.0,0.21821807795224535,False,False,False,0.9209034169124406
68,22.792028955039857,3.848224452244683,0.09475028624565374,1.9874999999999992,-0.12217305183371116,17,0.0,0.0,0.22003425327105508,False,False,False,0.9335781853327516
69,22.890958213332503,3.8576261796746274,0.07441409264098864,1.9874999999999992,-0.12217305183371116,17,0.0,0.0,0.22656683689012946,False,False,False,0.9457801653046713
70,22.990058197871033,3.8650142571960764,0.05407789903632354,1.9874999999999992,-0.12217305183371116,17,0.0,0.0,0.23696011603198186,False,False,False,0.9575028471579996
71,23.089287926201926,3.8703856294952974,0.03374170543165844,1.9874999999999992,-0.12217305183371116,17,0.0,0.0,0.2566470507738595,False,False,False,0.9687423128373096
72,23.18860636221657,3.87373807525998,0.013405511826993344,1.9874999999999992,-0.12217305183371116,17,0.0,0.0,0.28764552054529413,False,False,False,0.9795094746772746
73,23.287972433121595,3.8750702080978523,-0.004002377926228817,1.9874999999999992,-0.1047197598214965,22,0.3490658402442932,0.0,0.328759181727416,False,False,False,0.9891476233530132
74,23.387346637177153,3.874672472853324,-0.018492688692148818,1.9874999999999992,-0.08726646780928185,22,0.3490658402442932,0.0,0.3787029844481722,False,False,False,0.9973186986272818
75,23.486704645553246,3.872834866656006,-0.030074317871849665,1.9874999999999992,-0.0698131757970672,22,0.3490658402442932,0.0,0.4361869388493347,False,False,False,1.0037342496067174
