Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0,176,39,390,122,1.0,26.6113,14.1,0.196681,1.08779,0.0,0,1.08779,4,27.155,0.594
Env. (realmap_a),CNN-DDQN+Duel,1,375,94,103,45,1.0,31.0012,16.3,0.201232,0.91417,0.0,0,0.91417,5,31.458,0.79
Env. (realmap_a),CNN-DDQN+Duel,2,373,111,152,40,1.0,27.4913,14.65,0.193946,0.54908,0.0,0,0.54908,4,27.766,0.762
Env. (realmap_a),CNN-DDQN+Duel,3,28,16,366,22,1.0,32.9781,18.0,0.07203,0.72199,0.0,0,0.72199,1,33.339,0.537
Env. (realmap_a),CNN-DDQN+Duel,4,389,92,212,28,1.0,20.4044,10.95,0.197955,0.4591,0.0,0,0.4591,3,20.634,0.781
Env. (realmap_a),RRT*,0,176,39,390,122,0.0,37.1534,30.0,0.168583,2.79033,2.56075,8,5.35108,180,inf,inf
Env. (realmap_a),RRT*,1,375,94,103,45,1.0,31.7668,17.45,0.247845,6.9074,1.51206,0,8.41946,4,35.977,0.962
Env. (realmap_a),RRT*,2,373,111,152,40,1.0,27.9484,15.8,0.262091,2.60354,1.36503,0,3.96857,4,29.933,0.913
Env. (realmap_a),RRT*,3,28,16,366,22,1.0,33.0407,18.1,0.091618,4.20791,1.55219,0,5.76009,1,35.921,1.0
Env. (realmap_a),RRT*,4,389,92,212,28,1.0,20.8872,12.4,0.226944,2.11363,1.06411,0,3.17774,4,22.476,0.908
Env. (realmap_a),LO-HA*,0,176,39,390,122,0.0,0.0,0.0,0.0,10.03447,0.0,0,10.03447,0,inf,inf
Env. (realmap_a),LO-HA*,1,375,94,103,45,0.0,0.0,0.0,0.0,10.0444,0.0,0,10.0444,0,inf,inf
Env. (realmap_a),LO-HA*,2,373,111,152,40,0.0,0.0,0.0,0.0,10.06737,0.0,0,10.06737,0,inf,inf
Env. (realmap_a),LO-HA*,3,28,16,366,22,1.0,32.92,17.75,0.057877,3.64434,1.44844,0,5.09278,1,35.466,0.093
Env. (realmap_a),LO-HA*,4,389,92,212,28,0.0,0.0,0.0,0.0,10.05891,0.0,0,10.05891,0,inf,inf
