step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,2.8000000000000003,1.6,0.017749615056497525,0.0,0.0,0.0,0.0,0.4869808267005923,False,False,False
1,2.803039228261293,1.6000539507975378,0.017943070662294947,0.06079414153615368,0.0381671629750749,0.763343259501498,1.2158828307230736,0.48456081152492936,False,False,False
2,2.808232165085942,1.6001471380308028,0.0187015122001708,0.10387545759271197,0.08739422869315644,0.9845413143616308,0.8616263211311659,0.48056424820423804,False,False,False
3,2.8155415633014,1.6002838507693466,0.020389687367558196,0.14621353240383683,0.13767498972784903,1.0056152206938516,0.8467614962224972,0.4751467700745631,False,False,False
4,2.8250076728330265,1.6004768885351568,0.023391340948590855,0.18936155179315348,0.1879716662636898,1.0059335307168153,0.862960387786333,0.4684191972777233,False,False,False
5,2.8361468738982616,1.6007374969179478,0.027895596600359784,0.22284498387975474,0.23795477310797966,0.999662136885797,0.669668641732025,0.46087108940805965,False,False,False
6,2.8486182866962784,1.6010854846869682,0.03388309803739986,0.24952533552000647,0.2803624450791048,0.8481534394225023,0.5336070328050346,0.4528181936886947,False,False,False
7,2.862925597034439,1.601570446289053,0.04203880437222152,0.2863105425009272,0.3293746591412622,0.9802442812431476,0.7357041396184143,0.444148492818522,False,False,False
8,2.8809722550286385,1.6023295534469149,0.05317865299068325,0.3612523264626649,0.35441600909665766,0.5008269991079093,1.4988356792347544,0.43421179575608004,False,False,False
9,2.9026842702590514,1.6034852588090596,0.06829865677871627,0.4348550380298124,0.3952817530156481,0.8173148783798092,1.4720542313429492,0.4236067896405913,False,False,False
10,2.928067050673043,1.6052215692494762,0.08830385154702824,0.5088419461838466,0.44081924952726514,0.9107499302323405,1.4797381630806843,0.4127379201497525,False,False,False
11,2.9570067767389494,1.607783721508957,0.10959737222232535,0.5810584717463304,0.41429997928336226,-0.5303854048780572,1.4443305112496758,0.4007407338752358,False,False,False
12,2.9893949328370293,1.6113476592607066,0.13218966056349624,0.6516730185397976,0.394237960933865,-0.40124036698994503,1.4122909358693452,0.3889114419511228,False,False,False
13,3.0254035471523744,1.61613554632237,0.15561895796940117,0.7265106103634046,0.36923987012365495,-0.4999618162042012,1.496751836472138,0.3774904128820995,False,False,False
