step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,22.1,2.9000000000000004,-3.110833127519324,0.0,0.0,0.0,0.0,0.33968423802184544,False,False,False
1,22.096272597202113,2.899885310683142,-3.110639235139375,0.07458333662987822,0.03118597697130883,0.6237195394261765,1.4916667325975643,0.3434008440011358,False,False,False
2,22.08881076491125,2.8996542676725996,-3.109763946398082,0.1493081672376546,0.07023185612357025,0.7809175830452284,1.4944966121555279,0.35084590442894703,False,False,False
3,22.07760254774224,2.8992974040931885,-3.107847197039101,0.2242779380340553,0.10219845321009188,0.6393319417304326,1.4993954159280136,0.36203495919767725,False,False,False
4,22.06268448464211,2.898793796066315,-3.1046044464712823,0.29853122295953305,0.12961739956354587,0.5483789270690795,1.4850656985095547,0.37694844072174705,False,False,False
5,22.044105180013762,2.8981062673276856,-3.0994782333708635,0.3718404261181339,0.16394779934364415,0.6866079956019653,1.466184063172017,0.3955587368227801,False,False,False
6,22.021883814607094,2.8971698737381377,-3.0927849744767695,0.44482172316165397,0.17863987472551238,0.2938415076373646,1.459625940870401,0.417829568782645,False,False,False
7,21.99592368015067,2.895901812745365,-3.0849631861271245,0.519821723161654,0.17863987472551238,0.0,1.5,0.4438575568734806,False,False,False
8,21.966230269543484,2.8942184909177033,-3.076012868321928,0.5948217231616539,0.17863987472551238,0.0,1.5,0.4736433997862818,False,False,False
9,21.932811175273542,2.8920237266422313,-3.0659340210611803,0.6698217231616539,0.17863987472551238,0.0,1.5,0.5072321081357921,False,False,False
10,21.895676626527194,2.889208804327364,-3.054726644344881,0.7448217231616538,0.17863987472551238,0.0,1.5,0.5445681206681121,False,False,False
11,21.85506804877886,2.885672399872928,-3.043175126410592,0.8152454215039571,0.16842174182037142,-0.20436265810281906,1.4084739668460653,0.5854245722696225,False,False,False
12,21.81095973053475,2.881317297988839,-3.0324125566750166,0.8864560114849384,0.14467552764289882,-0.4749242835494524,1.4242117996196257,0.6298506022924346,False,False,False
13,21.763394480815005,2.876103385811082,-3.0235439240208746,0.9570032102556814,0.11075001557707527,-0.6785102413164709,1.4109439754148605,0.6777572043949411,False,False,False
14,21.712199075599038,2.8700316025776167,-3.0162493852348344,1.0310841026533941,0.0846924857904563,-0.5211505957323795,1.4816178479542543,0.7293642001122813,False,False,False
15,21.657550266917482,2.863145642836586,-3.010215398544528,1.1016185786139214,0.06563418398212688,-0.3811660361665883,1.4106895192105453,0.7844316480454143,False,False,False
16,21.59956976312216,2.855484193771068,-3.004684439047912,1.169689979805369,0.056682043287162726,-0.17904281389928312,1.3614280238289522,0.8399036853846544,False,False,False
17,21.537917611003298,2.8469903722705685,-2.9987988368943457,1.244689979805369,0.056682043287162726,0.0,1.5,0.798394299159515,False,False,False
18,21.47268728033254,2.8376120560540725,-2.9935970301354997,1.3180210703130881,0.04732479240087489,-0.18714501772575665,1.4666218101543844,0.7572814164110775,False,False,False
19,21.403797608823677,2.8273415928103147,-2.9880992224130116,1.393021070313088,0.04732479240087489,0.0,1.5,0.7152231023485272,False,False,False
20,21.331259531959454,2.8161192017082457,-2.9823054137268814,1.468021070313088,0.04732479240087489,0.0,1.5,0.6734374574436204,False,False,False
21,21.25508516539614,2.8038819251626554,-2.976215604077109,1.543021070313088,0.04732479240087489,0.0,1.5,0.6338730199963973,False,False,False
22,21.175287897218208,2.7905636500760513,-2.9698297934636946,1.618021070313088,0.04732479240087489,0.0,1.5,0.5960493374194205,False,False,False
23,21.091882484733127,2.776095131509734,-2.9631479818866375,1.693021070313088,0.04732479240087489,0.0,1.5,0.5612126486613944,False,False,False
24,21.005343711813527,2.760486725600068,-2.9557970666338766,1.758701970598851,0.050114871555360055,0.05580158308970318,1.3136180057152602,0.5305434526323827,False,False,False
25,20.91545941597725,2.743591766568504,-2.947130313925604,1.8291666166494276,0.056795908864425884,0.13362074618131659,1.4092929210115326,0.5047926801195444,False,False,False
26,20.823162994951407,2.725413872848522,-2.9373670567404915,1.8813893966188595,0.06219233232420982,0.10792846919567878,1.0444555993886366,0.4815331913751443,False,False,False
27,20.728552633123567,2.705818830774088,-2.9285987088541257,1.932365000624244,0.05439778085315717,-0.15589102942105304,1.0195120801076913,0.45738311893342676,False,False,False
28,20.63258827672749,2.685064196106479,-2.920848399558461,1.9636611274554447,0.047327037137308764,-0.1414148743169681,0.6259225366240111,0.43260947397300575,False,False,False
29,20.535014800648767,2.663168608288037,-2.9139592705906794,2.0,0.04131125688112661,-0.12031560512364314,0.9772927490063306,0.41202523391276513,False,False,False
30,20.437594480319405,2.6406013491074405,-2.908216701537732,2.0,0.03444178914620864,-0.13738935469835922,0.5399844405473102,0.4019707378696342,False,False,False
31,20.340305359637327,2.6174750221853396,-2.903600232624708,2.0,0.027691733003280303,-0.1350011228585668,0.03171069287217154,0.40375607379571876,False,False,False
32,20.243124037245924,2.5938998110885527,-2.9048564279527267,2.0,-0.007537029246674133,-0.7045752449990887,0.002122215098113056,0.4200541143563642,False,False,False
33,20.145913176469623,2.570446697283971,-2.912992164494537,2.0,-0.048775702150579095,-0.8247734580780992,1.3342878536803378,0.4198665056271421,False,False,False
34,20.04851472662911,2.547785232885895,-2.9252524745062853,2.0,-0.07342959964001361,-0.49307794978869024,0.1912730778662044,0.4061331804499909,False,False,False
35,19.950845767312334,2.5263195769216007,-2.9414692545863823,2.0,-0.09699535080929102,-0.4713150233855482,0.35095911188695705,0.4056305236473843,False,False,False
36,19.852841561834136,2.5064405500694873,-2.9610990728700077,2.0,-0.11723879344260314,-0.4048688526662425,0.30072641177075,0.4187522916559949,False,False,False
37,19.75446604109383,2.488489034281849,-2.9844068581023095,2.0,-0.1389455964139061,-0.4341360594260595,0.03330891650784307,0.445412976272344,False,False,False
38,19.655698868343112,2.4728351022892343,-3.0135072846342594,2.0,-0.17286000958215664,-0.6782882633650102,0.39114363828340926,0.4847304614128315,False,False,False
39,19.55651804057533,2.4600615591904083,-3.045293480508062,2.0,-0.18845404266358168,-0.3118806616285009,0.24398073291936284,0.5354089266109937,False,False,False
40,19.456981358896336,2.450446518871473,-3.0776075285296987,2.0,-0.19150821150698497,-0.061083376868065975,0.7298255840834678,0.5958163414568658,False,False,False
