Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,389,121,376,53,1.0,5.9663,3.65,0.026516,0.33086,0.0,0,0.33086,1,6.132,0.111
Env. (realmap_a),CNN-DDQN+Duel,1,380,91,283,31,1.0,12.7894,7.05,0.244312,0.47723,0.0,0,0.47723,4,13.028,0.817
Env. (realmap_a),CNN-DDQN+Duel,2,246,38,151,20,1.0,8.9031,5.2,0.168538,0.29242,0.0,0,0.29242,1,9.049,0.068
Env. (realmap_a),CNN-DDQN+Duel,3,369,55,390,122,1.0,6.0863,3.7,0.008627,0.17359,0.0,0,0.17359,0,6.173,0.024
Env. (realmap_a),CNN-DDQN+Duel,4,234,40,103,45,1.0,12.3469,6.85,0.131439,0.29848,0.0,0,0.29848,2,12.496,0.0
Env. (realmap_a),RRT*,0,389,121,376,53,1.0,5.9657,4.55,0.111025,0.01824,0.37234,0,0.39058,1,6.161,0.889
Env. (realmap_a),RRT*,1,380,91,283,31,1.0,12.8654,8.05,0.246177,5.22149,0.68433,0,5.90581,4,15.818,0.944
Env. (realmap_a),RRT*,2,246,38,151,20,1.0,8.8454,6.05,0.181871,0.46028,0.48579,0,0.94607,2,9.318,0.894
Env. (realmap_a),RRT*,3,369,55,390,122,1.0,6.3111,4.95,0.205628,0.04848,0.40768,0,0.45616,3,6.539,0.878
Env. (realmap_a),RRT*,4,234,40,103,45,1.0,12.5441,7.8,0.201664,1.17504,0.63368,0,1.80872,3,13.448,0.919
Env. (realmap_a),LO-HA*,0,389,121,376,53,1.0,5.9553,4.45,0.07429,0.09822,0.35822,0,0.45644,1,6.183,0.711
Env. (realmap_a),LO-HA*,1,380,91,283,31,0.0,0.0,0.0,0.0,10.01873,0.0,0,10.01873,0,inf,inf
Env. (realmap_a),LO-HA*,2,246,38,151,20,1.0,8.8407,5.55,0.165151,3.77017,0.43952,0,4.20969,2,10.946,0.34
Env. (realmap_a),LO-HA*,3,369,55,390,122,1.0,6.3208,4.75,0.212142,0.62285,0.39355,0,1.0164,3,6.829,0.911
Env. (realmap_a),LO-HA*,4,234,40,103,45,1.0,12.4833,7.3,0.156887,3.51331,0.58024,0,4.09355,2,14.53,0.495
