step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,24.6,3.8000000000000003,-2.9543387338563103,0.0,0.0,0.0,0.0,0.576655969065178,False,False,False
1,24.59638826948797,3.79931567211351,-2.9546231733036583,0.07351979855184564,-0.04639327428764406,-0.9278654857528811,1.4703959710369126,0.5773210133537159,False,False,False
2,24.589102264405323,3.7979373125996596,-2.955765610190516,0.1483047470768022,-0.09217771503327064,-0.9156888149125316,1.4956989704991308,0.5786219104912214,False,False,False
3,24.578169742074227,3.795882042337876,-2.958387390268531,0.22248072309202344,-0.14048016286553366,-0.96604895664526,1.4835195203044247,0.5804993492267598,False,False,False
4,24.563570554954534,3.793177063021756,-2.962627525539437,0.2969533146179107,-0.16969760271907028,-0.5843487970707322,1.489451830517745,0.5831286440513246,False,False,False
5,24.545552789051843,3.7899176385325384,-2.96852051172649,0.3662041704432787,-0.19075698898694432,-0.42118772535748095,1.3850171165073593,0.5868714411568379,False,False,False
6,24.52402386928163,3.786153927661613,-2.9758809296445876,0.43710863912402886,-0.19938179194609953,-0.1724960591831044,1.418089373615004,0.591184673686024,False,False,False
7,24.498945311345647,3.78195965401384,-2.984726622933779,0.5085375107426645,-0.20577794653485654,-0.12792309177513994,1.4285774323727134,0.5959923188331155,False,False,False
8,24.470345833096385,3.777436203598199,-2.9952351029416504,0.5790999084071189,-0.21440770915699928,-0.172595252442855,1.411247953289088,0.600577537137756,False,False,False
9,24.43799049206918,3.7726666509505415,-3.007104550183584,0.6540999084071188,-0.21440770915699928,0.0,1.5,0.5743146735778317,False,False,False
10,24.40186468169595,3.767778653817194,-3.0203349646595794,0.7290999084071188,-0.21440770915699928,0.0,1.5,0.5463956511617889,False,False,False
11,24.36195489989862,3.762915427147561,-3.034926346369637,0.8040999084071188,-0.21440770915699928,0.0,1.5,0.516511644382189,False,False,False
12,24.3182509091053,3.7582359230296163,-3.049680054794288,0.879076008102307,-0.19873981247090364,0.31335793372191256,1.4995219939037643,0.4845628965942175,False,False,False
13,24.270779014983876,3.753860329362571,-3.06415175906267,0.9534624379417815,-0.18016175653033165,0.3715611188114396,1.4877285967894913,0.45181266912660767,False,False,False
14,24.21960843433099,3.7498896932244965,-3.0793462412458306,1.0264880468265944,-0.1757951573665498,0.08733198327563674,1.4605121776962573,0.41761830890247964,False,False,False
15,24.164835824666053,3.746475884573119,-3.094585344961611,1.0975778530957743,-0.16509513610997176,0.2140004251315606,1.4217961253835942,0.38304035237374934,False,False,False
16,24.106796719215613,3.7437456111177507,-3.1096691971398704,1.1620657734617708,-0.15452078789766174,0.21148696424620028,1.289758407319931,0.34564547972196114,False,False,False
17,24.04507859746304,3.741774685772333,-3.1242987261493766,1.2349916759853448,-0.14120420942249692,0.2663315695032964,1.4585180504714792,0.30517839179707185,False,False,False
18,23.97968158676134,3.7406436018506906,-3.1374388489945275,1.3081358277419959,-0.11996030818587294,0.4248780247324797,1.4628830351330215,0.26641243363878353,False,False,False
19,23.910542186212087,3.7403564086392205,3.1344925525940734,1.382799940447046,-0.09735316838267892,0.4521427960638804,1.4932822541010027,0.2287037512151724,False,False,False
20,23.83790103562817,3.740872176811712,3.1258215723056555,1.4528596318932894,-0.07149651977163578,0.5171329722208629,1.4011938289248693,0.19385610308223666,False,False,False
21,23.76190789201662,3.7420707702324787,3.120409924421555,1.520051907291869,-0.042696113646852066,0.5760081224956741,1.3438455079715923,0.16521717174208506,False,False,False
22,23.682210224420604,3.743759236890901,3.11893913867764,1.5943110286141307,-0.011069802366608608,0.6325262256048692,1.4851824264452338,0.14201515478655236,False,False,False
23,23.5998437531188,3.7456254462225695,3.1209860820473434,1.6477522061257457,0.01490606480180141,0.5195173433682003,1.0688235502323011,0.12657151522220755,False,False,False
24,23.51476743991425,3.7473788255438287,3.126765030257662,1.7018875882410889,0.04072480285979864,0.5163747611599445,1.0827076423068638,0.11906283906009119,False,False,False
25,23.426062624313438,3.74869420353769,3.1356826961597655,1.7742913548840664,0.06023955274818476,0.39029499776772236,1.4480753328595517,0.11608965865723819,False,False,False
26,23.333966584823507,3.749238493547478,-3.135552953160361,1.8419529572000921,0.07769321890029043,0.34907332304211347,1.353232046320513,0.11872345489327518,False,False,False
27,23.23828605058708,3.748660604757006,-3.12072023665035,1.9136455875863618,0.09274546904412423,0.301045002876676,1.4338526077253961,0.13563325133970672,False,False,False
28,23.141393741462796,3.7466379343435,-3.10366548235976,1.9382683780155472,0.10519778654449263,0.24904635000736808,0.4924558085837085,0.11448728343940884,False,False,False
29,23.041496452183956,3.7428472949992195,-3.084159961161466,1.9993836402149987,0.11653874193037603,0.226819107717668,1.222305243989028,0.10269744758165089,False,False,False
30,22.94166133256277,3.737107182611515,-3.063131567156039,2.0,0.12550718650162312,0.17936889142494183,0.3292017703142569,0.09805600153245442,False,False,False
31,22.8419689817907,3.729269121783835,-3.040701063284596,2.0,0.13377919194458637,0.1654401088592652,0.7278904172119249,0.10303961425465602,False,False,False
32,22.742477505860453,3.7191970704922115,-3.0176933749979566,2.0,0.13717911898468174,0.06799854080190726,0.2574901688050628,0.1237657245815994,False,False,False
33,22.643244076032197,3.7068388180056973,-2.9938960318709906,2.0,0.14182543145801366,0.09292624946663808,0.5017114823091244,0.15852840746405183,False,False,False
34,22.544332809312834,3.6921227955821134,-2.969644539956883,2.0,0.14449485677072268,0.053388506254180346,0.12536575411588835,0.20559549217262574,False,False,False
35,22.44580747826698,3.675012589788362,-2.9453930480427752,2.0,0.14449485677072268,0.0,0.0,0.26080898955107856,False,False,False
36,22.347726026236458,3.6555182632397365,-2.9211415561286675,2.0,0.14449485677072268,0.0,0.0,0.3147853027069263,False,False,False
37,22.25014613551517,3.633651280667337,-2.8970816334173213,2.0,0.14336908946284538,-0.022515346157546023,0.92746189426548,0.36941943755263806,False,False,False
38,22.153120554101445,3.6094430888445497,-2.873444111557752,2.0,0.14088553733769255,-0.04967104250305676,0.08565683618889852,0.4304853131516304,False,False,False
39,22.056694245473995,3.5829484289206346,-2.850397194327481,2.0,0.13741008370447,-0.06950907266445094,0.5420395267440252,0.4974067443057203,False,False,False
40,21.960904110810596,3.554238672718823,-2.8281889122858033,2.0,0.13246935129272602,-0.09881464823487973,0.6339732679668901,0.5677306488600704,False,False,False
41,21.865775139349978,3.523408836701665,-2.8080744843940835,2.0,0.12010569207516304,-0.24727318435125956,0.5656568495923557,0.6406483209430667,False,False,False
42,21.771285494064053,3.49067190138786,-2.7912482191262993,2.0,0.10061667282601126,-0.38978038498303547,0.08560195406027615,0.7181707342846786,False,False,False
43,21.677360038933443,3.4563497674433035,-2.7783104639048997,2.0,0.07747116997732333,-0.46291005697375875,0.2771577286153746,0.7972973891839177,False,False,False
44,21.58388648355309,3.420815355325521,-2.7690944235915618,2.0,0.055239985751327034,-0.44462368451992573,0.717213444129237,0.8780777220029903,False,False,False
45,21.49074437969025,3.3844210084018123,-2.762995367082055,2.0,0.03657801711950588,-0.37323937263642293,0.7888486408883657,0.9622370058398526,False,False,False
46,21.39782597799721,3.347459262950452,-2.7591528699364667,2.0,0.023050899353570006,-0.2705423553187175,0.17779176340965153,1.047242733353689,False,False,False
47,21.305050287315307,3.3101407525501765,-2.75675087791394,2.0,0.01441095445103929,-0.17279889805061432,0.016891545537630392,1.0341564857772456,False,False,False
48,21.21236450294907,3.2725995035510334,-2.7558901613873776,2.0,0.005164253249513253,-0.18493402403052073,0.1132740779953636,0.9741078238049732,False,False,False
49,21.119711065284626,3.234978492281255,-2.7556556062131246,2.0,0.001407330116408308,-0.07513846266209889,0.08629481454624521,0.9189349105828029,False,False,False
50,21.02706645437167,3.19733574970334,-2.7554210510388715,2.0,0.001407330116408308,0.0,0.0,0.8690344921373512,False,False,False
51,20.93443067530715,3.1596712778882474,-2.7551864958646184,2.0,0.001407330116408308,0.0,0.0,0.8250587039115551,False,False,False
52,20.841803733187533,3.1219850789081303,-2.7544321194997172,2.0,0.004526227279950119,0.062377943270836234,0.44503016870988477,0.7853112536601197,False,False,False
53,20.749205246999253,3.0842290150820526,-2.7594743810123403,2.0,-0.0302443439947997,-0.6954114254949963,0.2904588857588837,0.7500369892225776,False,False,False
54,20.656417562798207,3.046940335022185,-2.769463363792539,2.0,-0.059862288660514684,-0.5923588933142996,0.2137338064209544,0.7176796956807727,False,False,False
55,20.563262037937108,3.0105803544411573,-2.783554523401302,2.0,-0.08434636476032768,-0.48968152199626,0.20804416626200162,0.689822701375437,False,False,False
56,20.469603424105443,2.9755366095623472,-2.8019283450680605,2.0,-0.10979954612185175,-0.5090636272304812,0.6850128079311584,0.6711740448875323,False,False,False
57,20.37531676798722,2.9422195496974153,-2.823997116297619,2.0,-0.13164679966193496,-0.4369450708016641,0.045159126140127626,0.6652523073853034,False,False,False
58,20.280317864292734,2.9109912244646057,-2.84378900436766,2.0,-0.11819779882816081,0.268980016675483,0.8399901803796541,0.6695031551320683,False,False,False
59,20.18471953925378,2.881649100312681,-2.861594924493999,2.0,-0.10643181443631367,0.2353196878369428,0.6452278278365045,0.6836721609708452,False,False,False
60,20.08861393266523,2.8540137537028247,-2.8860463960563836,2.0,-0.14566965516091118,-0.7847568144919506,0.34741850563824705,0.7038202751150247,False,False,False
61,19.991861396628565,2.8287363572689754,-2.913760372216265,2.0,-0.16477619080983832,-0.3821307129785426,0.034932824722341715,0.6915108893012305,False,False,False
62,19.89444556681734,2.806149721791545,-2.942006278706902,2.0,-0.16788028594656063,-0.06208190273444625,0.46623222321614866,0.6907666993114034,False,False,False
63,19.796430699954698,2.786323328425661,-2.968748098193122,2.0,-0.15909489281273242,0.1757078626765638,0.5669530431745429,0.7015952722448173,False,False,False
64,19.69792074679771,2.7691248072971484,-2.9924332601580335,2.0,-0.1411657306912262,0.3585832424301243,0.3539976191768126,0.7233694378915865,False,False,False
65,19.599031112072254,2.7542641160660537,-3.011909279099974,2.0,-0.11632852582952309,0.4967440972340622,0.4527067092767805,0.7550999003563224,False,False,False
66,19.499870823123477,2.741332097832409,-3.0267987896159907,2.0,-0.08910052510105816,0.5445600145692986,0.8102856993543623,0.7955920307333559,False,False,False
67,19.400528981460006,2.729877906682017,-3.036277482608845,2.0,-0.05681096010576007,0.6457912999059618,1.0490905309321525,0.8435547354369239,False,False,False
68,19.301083033342206,2.719365846800532,-3.040116161247535,2.0,-0.023028000471583432,0.6756591926835327,0.23715610056470893,0.897712851760406,False,False,False
69,19.201597465593473,2.7092356044681614,-3.0382060621320335,2.0,0.011460092967730831,0.6897618687862852,0.05512326490440289,0.9564487514292139,False,False,False
70,19.102131429085322,2.698915353436361,-3.0317289790645003,2.0,0.0388429515185007,0.5476571710153975,0.37731357058968307,1.0203778553668794,False,False,False
