step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,36.9,5.5,1.2670618409523096,0.0,0.0,0.0,0.0,0.8711531038818676,False,False,False
1,36.9009128460981,5.502912413741577,1.2670583674460882,0.061042417386450824,-0.000682837770240996,-0.01365675540481992,1.2208483477290164,0.8730151347084321,False,False,False
2,36.90266288555189,5.5084958049965875,1.2670130770818648,0.11702460595334507,-0.0046441554656846415,-0.07922635390887289,1.119643771337885,0.8765833923921442,False,False,False
3,36.90511879542842,5.516329988381943,1.266706384357402,0.16420222000571819,-0.02240954235378456,-0.3553077377619984,0.9435522810474621,0.8815957477040834,False,False,False
4,36.90813672617754,5.525946645819118,1.2662871014322628,0.20158175142652565,-0.024954395108593357,-0.050897055096175925,0.7475906284161491,0.8877411604312475,False,False,False
5,36.91166396636398,5.537169747824818,1.2660842750795256,0.23528658437165328,-0.010344106225226484,0.29220577766733746,0.6740966589025525,0.8950778081858599,False,False,False
6,36.91558914827335,5.5496501848693205,1.2659239884350022,0.26166265445675063,-0.007350705415552843,0.05986801619347282,0.5275214017019465,0.9038019072911239,False,False,False
7,36.92006122676461,5.563861564777645,1.2656629419686585,0.2979683237733497,-0.010512668447976492,-0.06323926064847296,0.7261133863319817,0.9137101139570805,False,False,False
8,36.924945555759344,5.579368855982099,1.2654246157660554,0.32516626530346315,-0.008795010417068826,0.0343531606181533,0.5439588306022696,0.9244842358659184,False,False,False
9,36.93094567728233,5.598402852579748,1.264473790634705,0.3991463314474553,-0.02857797842443905,-0.39565936014740444,1.479601322879843,0.9376911075895078,False,False,False
10,36.93809472312754,5.621006569145078,1.2633443044980215,0.4741463314474553,-0.02857797842443905,0.0,1.5,0.9533154274127296,False,False,False
11,36.94640416170711,5.647176350646801,1.2620361573560057,0.5491463314474554,-0.02857797842443905,0.0,1.5,0.9720760434564495,False,False,False
12,36.95588517753022,5.676901037634723,1.2600700492074743,0.6240021402425097,-0.03779164067809142,-0.18427324507304732,1.4971161759010845,0.9941696634295498,False,False,False
13,36.96657118024437,5.710177445586185,1.257867630793914,0.6990021402425097,-0.03779164067809142,0.0,1.5,1.0187699404103379,False,False,False
