step,x_m,y_m,theta_rad,v_m_s,delta_rad,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck
0,24.6,3.8000000000000003,-2.9543387338563103,0.0,0.0,0.0,0.0,0.576655969065178,False,False,False
1,24.596955820061893,3.7994232080117274,-2.9545567324814384,0.06196683142879962,-0.042190814832012064,-0.8438162966402412,1.2393366285759924,0.5772179819224399,False,False,False
2,24.591328047331015,3.798358164016891,-2.9553642085926306,0.11455329697809286,-0.08438606732750925,-0.8439050499099436,1.0517293109858645,0.5782282778300498,False,False,False
3,24.58349017444071,3.79688141784003,-2.9570826029943924,0.15951555499759695,-0.12855803735851515,-0.8834394006201177,0.8992451603900822,0.5795884864285583,False,False,False
4,24.57417891725204,3.7951436320326755,-2.959958442792745,0.18944066083681063,-0.18019236491381274,-1.032686551105952,0.5985021167842737,0.581131155728172,False,False,False
5,24.563140230492902,3.7931162849586926,-2.964012597760899,0.224466248264456,-0.21343462241543676,-0.6648451500324802,0.7005117485529069,0.583117296185993,False,False,False
6,24.55074902002714,3.7908924276131355,-2.9695977510622775,0.25178374713247376,-0.26015555267131424,-0.9344186051175495,0.5463499773603555,0.5855708520452645,False,False,False
7,24.536620243071898,3.7884381006321197,-2.9771404990460555,0.28680729361765217,-0.3056957697455455,-0.9108043414846254,0.7004709297035685,0.588204926453902,False,False,False
8,24.521114433162104,3.785864897849281,-2.9864349026397377,0.3143574484692761,-0.34094123945215826,-0.7049093941322554,0.5510030970324786,0.5909032140081418,False,False,False
9,24.504483636587292,3.783263592733332,-2.997584551977084,0.3366601746682073,-0.3782810458734424,-0.7467961284256828,0.4460545239786238,0.5935549296303417,False,False,False
10,24.486976949137986,3.780724914277287,-3.0109886093058775,0.3537959828776075,-0.42670322844815517,-0.9684436514942553,0.34271616418800344,0.5960297393223399,False,False,False
11,24.46575482913825,3.777937351987345,-3.0265769589192484,0.4280882529589649,-0.4119625044334212,0.29481448029467994,1.4858454016271483,0.5990465299098173,False,False,False
12,24.443723285934478,3.775392145650122,-3.044041642781456,0.4435614822045322,-0.4413944324924973,-0.5886385611815221,0.30946458491134554,0.5902196454350987,False,False,False
13,24.418160193735662,3.7728904997404986,-3.062970653728916,0.5137041619540865,-0.4163292490245393,0.5013036693591597,1.4028535949910865,0.5748953147310529,False,False,False
14,24.388852546746644,3.7705815143593395,-3.08288253681454,0.5879692459723466,-0.38599958357642206,0.6065933089623459,1.4853016803652004,0.5572833469210037,False,False,False
15,24.3559649626232,3.768648458942519,-3.103332830233096,0.6588869076620281,-0.35653463754466624,0.5892989206351162,1.41835323379363,0.537809312999702,False,False,False
16,24.31944080771421,3.7672503689796075,-3.1240763740130917,0.7310180701899137,-0.32819995552806397,0.5666936403320457,1.4426232505577126,0.5171017835009668,False,False,False
17,24.27951060193374,3.7665508687899103,3.138586869870063,0.79872664515115,-0.2990737910487386,0.5825232895865069,1.3541714992247247,0.496202468329777,False,False,False
18,24.23589478970557,3.766681968883047,3.118328290824402,0.8723201851516907,-0.27178931120411204,0.5456895968925317,1.4718708000108154,0.4738541635927813,False,False,False
19,24.188583780138266,3.7677828279857857,3.0992694381880472,0.9464763107529713,-0.2370947798084665,0.6938906279129107,1.483122512025611,0.4480526978026469,False,False,False
20,24.13784406108411,3.7699315791847714,3.0816786114647066,1.0157039374561818,-0.20490933135980863,0.6437089689731572,1.384552534064209,0.4193245344704417,False,False,False
21,24.083595699092378,3.7731857125418187,3.066185719625034,1.0869175061045928,-0.1694082190374641,0.7100222464468908,1.4242713729682195,0.39139217875542187,False,False,False
22,24.02570531868662,3.7775593415632103,3.053973994815271,1.1611071913204605,-0.12554396239518553,0.8772851328455709,1.4837937043173524,0.3619600749213684,False,False,False
