step,x_m,y_m,theta_rad,v_m_s,delta_rad,action,delta_dot_rad_s,a_m_s2,od_m,collision,reached,stuck,reward
0,27.8,2.3000000000000003,2.9833523291389143,0.0,0.0,-1,0.0,0.0,0.5746838959695055,False,False,False,0.0
1,27.79629685211326,2.300590927854267,2.9834614232915415,0.07500000000000001,0.017453292012214662,24,0.3490658402442932,1.5,0.5752673904494332,False,False,False,-0.1537982622890093
2,27.788890427450312,2.3017719755722075,2.983897932897479,0.15000000000000002,0.034906584024429324,24,0.3490658402442932,1.5,0.5764186940329363,False,False,False,-0.10604404780827911
3,27.777780018206318,2.3035386975172276,2.9848805787303974,0.22500000000000003,0.052359876036643986,24,0.3490658402442932,1.5,0.5781184498987357,False,False,False,-0.05910492794439066
4,27.762963831617512,2.305879768845847,2.9866287489779637,0.30000000000000004,0.06981316804885865,24,0.3490658402442932,1.5,0.5805962927587922,False,False,False,-0.012371925830866175
5,27.74443851094488,2.308773727030801,2.9893627696332086,0.37500000000000006,0.0872664600610733,24,0.3490658402442932,1.5,0.5842124785512752,False,False,False,0.03411938164716814
6,27.722198714664366,2.31218568561806,2.9933041783401704,0.45000000000000007,0.10471975207328796,24,0.3490658402442932,1.5,0.5884409175673864,False,False,False,0.08032154884031277
7,27.69623679800199,2.316064007834667,2.9986760027218367,0.5250000000000001,0.12217304408550261,24,0.3490658402442932,1.5,0.5932123470864923,False,False,False,0.1261697643147172
8,27.66654265440892,2.3203369267754175,3.005703044249854,0.6000000000000001,0.13962633609771727,24,0.3490658402442932,1.5,0.5986115739465945,False,False,False,0.17158224171060396
9,27.6331037886956,2.3249090991044667,3.014612168754624,0.675,0.15707962810993192,24,0.3490658402442932,1.5,0.6073731233559099,False,False,False,0.21645667983458652
10,27.59590570850382,2.3296580811054812,3.0256326047217073,0.75,0.17453292012214658,24,0.3490658402442932,1.5,0.6166706335232306,False,False,False,0.2606609843047918
11,27.5549327367347,2.3344307202503023,3.0389962505764476,0.825,0.19198621213436123,24,0.3490658402442932,1.5,0.6275792593708283,False,False,False,0.304036023300544
12,27.510169364555946,2.339039463157709,3.0535747733270737,0.8999999999999999,0.19198621213436123,19,0.0,1.5,0.6415584817430959,False,False,False,0.3486851029027149
13,27.461608079389393,2.3433247966304465,3.0693681729735847,0.9749999999999999,0.19198621213436123,19,0.0,1.5,0.6565690304573435,False,False,False,0.39212823643452444
14,27.409244949736117,2.3471132861598347,3.0863764495159813,1.0499999999999998,0.19198621213436123,19,0.0,1.5,0.6313931786590712,False,False,False,0.43470643145173105
15,27.353080676273365,2.350217619647293,3.1045996029542637,1.1249999999999998,0.19198621213436123,19,0.0,1.5,0.5825967041199929,False,False,False,0.41742053088594977
16,27.293121726165555,2.3524366964754195,3.124037633288432,1.1999999999999997,0.19198621213436123,19,0.0,1.5,0.5322126124161317,False,False,False,0.28952326604264433
17,27.22938154911055,2.3535557715383746,-3.1384947666611005,1.2749999999999997,0.19198621213436123,19,0.0,1.5,0.4804016486533603,False,False,False,0.4055380247620888
18,27.16188187300578,2.3533466645051515,-3.1166269825351613,1.3499999999999996,0.19198621213436123,19,0.0,1.5,0.428838895813771,False,False,False,0.5169402122448062
19,27.09065407637104,2.351568045220319,-3.093544321513337,1.4249999999999996,0.19198621213436123,19,0.0,1.5,0.37788348312137365,False,False,False,0.663234261243106
20,27.015740633799684,2.3479658067346354,-3.0692467835956267,1.4999999999999996,0.19198621213436123,19,0.0,1.5,0.3287496188271526,False,False,False,0.7164179645864067
21,26.93719662972204,2.34227353799084,-3.0461038680647534,1.5749999999999995,0.17453292012214658,14,-0.3490658402442932,1.5,0.28341507037849667,False,False,False,0.7704491538004702
22,26.85507246597714,2.334407679537972,-3.0243260081642056,1.6499999999999995,0.15707962810993192,14,-0.3490658402442932,1.5,0.24169977594415604,False,False,False,0.8246236918214584
23,26.76941481867714,2.3243165963934764,-3.0041232637711577,1.7249999999999994,0.13962633609771727,14,-0.3490658402442932,1.5,0.1964113388907096,False,False,False,0.7160353373019834
24,26.68026388278128,2.31198328260958,-2.98835762894331,1.7999999999999994,0.10471975207328794,9,-0.6981316804885864,1.5,0.15440268502567234,False,False,False,-27.304583135469876
