Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0,133,36,212,28,1.0,7.575,4.5,0.284012,0.50488,0.0,0,0.50488,4,7.827,0.444
Env. (realmap_a),CNN-DDQN+Duel,1,95,19,26,23,1.0,5.9163,3.6,0.0,0.17211,0.0,0,0.17211,0,6.002,0.111
Env. (realmap_a),CNN-DDQN+Duel,2,278,23,184,38,1.0,8.8163,5.05,0.171548,0.22955,0.0,0,0.22955,2,8.931,0.116
Env. (realmap_a),CNN-DDQN+Duel,3,304,43,386,22,1.0,8.0675,4.7,0.2015,0.21138,0.0,0,0.21138,5,8.173,0.836
Env. (realmap_a),CNN-DDQN+Duel,4,77,15,153,41,1.0,7.4775,4.4,0.145896,0.19816,0.0,0,0.19816,3,7.577,0.138
Env. (realmap_a),RRT*,0,133,36,212,28,1.0,7.211,5.15,0.230946,0.44156,0.43304,0,0.8746,3,7.648,0.83
Env. (realmap_a),RRT*,1,95,19,26,23,1.0,5.9253,4.45,0.103764,0.02087,0.36633,0,0.38719,1,6.119,0.889
Env. (realmap_a),RRT*,2,278,23,184,38,1.0,9.0897,6.3,0.233879,0.14281,0.57522,0,0.71803,3,9.449,0.889
Env. (realmap_a),RRT*,3,304,43,386,22,0.0,0.0,0.0,0.0,9.99204,0.0,0,9.99204,0,inf,inf
Env. (realmap_a),RRT*,4,77,15,153,41,1.0,7.3671,5.15,0.172518,0.13008,0.41512,0,0.5452,2,7.64,0.889
Env. (realmap_a),LO-HA*,0,133,36,212,28,1.0,7.1129,4.95,0.14866,0.32415,0.39796,0,0.72211,1,7.474,0.385
Env. (realmap_a),LO-HA*,1,95,19,26,23,1.0,5.935,4.0,0.027171,0.09392,0.3104,0,0.40432,1,6.137,0.402
Env. (realmap_a),LO-HA*,2,278,23,184,38,1.0,8.7743,5.55,0.142662,1.02673,0.45208,0,1.4788,2,9.514,0.333
Env. (realmap_a),LO-HA*,3,304,43,386,22,1.0,7.9703,5.1,0.207387,5.47916,0.40354,0,5.8827,3,10.912,0.949
Env. (realmap_a),LO-HA*,4,77,15,153,41,1.0,7.271,5.1,0.139158,0.23692,0.42631,0,0.66323,2,7.603,0.63
