Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN+Duel,0,389,121,376,53,1.0,6.7613,4.05,0.030274,0.3686,0.0,0,0.3686,1,6.946,0.333
Env. (realmap_a),CNN-DDQN+Duel,1,380,91,283,31,1.0,13.5894,7.45,0.273005,0.31894,0.0,0,0.31894,5,13.749,0.667
Env. (realmap_a),CNN-DDQN+Duel,2,246,38,151,20,1.0,9.6031,5.55,0.173104,0.29909,0.0,0,0.29909,2,9.753,0.667
Env. (realmap_a),CNN-DDQN+Duel,3,369,55,390,122,0.0,6.6188,5.5,0.08289,0.39213,0.0,0,0.39213,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,4,234,40,103,45,1.0,13.0856,7.25,0.119474,0.28982,0.0,0,0.28982,2,13.231,0.667
Env. (realmap_a),CNN-DDQN+Duel,5,65,43,152,40,1.0,8.5706,4.95,0.176717,0.21416,0.0,0,0.21416,5,8.678,0.344
Env. (realmap_a),CNN-DDQN+Duel,6,274,22,366,22,1.0,8.99,6.85,0.099057,0.29877,0.0,0,0.29877,1,9.139,0.667
Env. (realmap_a),CNN-DDQN+Duel,7,133,36,212,28,1.0,8.2706,4.85,0.324579,0.23145,0.0,0,0.23145,5,8.386,0.667
Env. (realmap_a),CNN-DDQN+Duel,8,95,19,26,23,1.0,6.6163,3.95,0.0,0.17697,0.0,0,0.17697,0,6.705,0.181
Env. (realmap_a),CNN-DDQN+Duel,9,278,23,184,38,1.0,9.5163,5.4,0.169645,0.23486,0.0,0,0.23486,2,9.634,0.667
Env. (realmap_a),CNN-DDQN+Duel,10,304,43,386,22,0.0,8.4131,9.75,0.217341,0.73524,0.0,0,0.73524,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,11,77,15,153,41,1.0,8.2725,4.8,0.16182,0.20498,0.0,0,0.20498,3,8.375,0.539
Env. (realmap_a),CNN-DDQN+Duel,12,83,19,177,26,1.0,9.5163,5.4,0.158065,0.23545,0.0,0,0.23545,4,9.634,0.667
Env. (realmap_a),CNN-DDQN+Duel,13,191,37,58,39,1.0,13.2413,7.3,0.14415,0.28079,0.0,0,0.28079,3,13.382,0.667
Env. (realmap_a),CNN-DDQN+Duel,14,273,24,182,16,1.0,9.0675,5.2,0.131357,0.22267,0.0,0,0.22267,2,9.179,0.507
Env. (realmap_a),CNN-DDQN+Duel,15,357,116,401,38,0.0,9.8731,10.4,0.232243,0.77044,0.0,2,0.77044,180,inf,inf
