Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,389,121,376,53,1.0,6.7613,4.05,0.030274,0.3882,0.0,0,0.3882,1,6.955,0.667
Env. (realmap_a),CNN-DDQN+Duel,1,380,91,283,31,1.0,13.5894,7.45,0.273005,0.31657,0.0,0,0.31657,5,13.748,0.481
Env. (realmap_a),CNN-DDQN+Duel,2,246,38,151,20,1.0,9.6031,5.55,0.173104,0.28987,0.0,0,0.28987,2,9.748,0.22
Env. (realmap_a),CNN-DDQN+Duel,3,369,55,390,122,0.0,6.6188,5.5,0.08289,0.38532,0.0,0,0.38532,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,4,234,40,103,45,1.0,13.0856,7.25,0.119474,0.28407,0.0,0,0.28407,2,13.228,0.443
Env. (realmap_a),CNN-DDQN+Duel,5,65,43,152,40,1.0,8.5706,4.95,0.176717,0.21109,0.0,0,0.21109,5,8.676,0.344
Env. (realmap_a),CNN-DDQN+Duel,6,274,22,366,22,1.0,8.99,6.85,0.099057,0.28743,0.0,0,0.28743,1,9.134,0.335
Env. (realmap_a),CNN-DDQN+Duel,7,133,36,212,28,1.0,8.2706,4.85,0.324579,0.23241,0.0,0,0.23241,5,8.387,0.527
Env. (realmap_a),CNN-DDQN+Duel,8,95,19,26,23,1.0,6.6163,3.95,0.0,0.17616,0.0,0,0.17616,0,6.704,0.425
Env. (realmap_a),CNN-DDQN+Duel,9,278,23,184,38,1.0,9.5163,5.4,0.169645,0.23184,0.0,0,0.23184,2,9.632,0.0
Env. (realmap_a),CNN-DDQN+Duel,10,304,43,386,22,0.0,8.4131,9.75,0.217341,0.72864,0.0,0,0.72864,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,11,77,15,153,41,1.0,8.2725,4.8,0.16182,0.20376,0.0,0,0.20376,3,8.374,0.391
Env. (realmap_a),CNN-DDQN+Duel,12,83,19,177,26,1.0,9.5163,5.4,0.158065,0.22838,0.0,0,0.22838,4,9.63,0.667
Env. (realmap_a),CNN-DDQN+Duel,13,191,37,58,39,1.0,13.2413,7.3,0.14415,0.27672,0.0,0,0.27672,3,13.38,0.145
Env. (realmap_a),CNN-DDQN+Duel,14,273,24,182,16,1.0,9.0675,5.2,0.131357,0.22602,0.0,0,0.22602,2,9.181,0.136
Env. (realmap_a),CNN-DDQN+Duel,15,357,116,401,38,0.0,9.8731,10.4,0.232243,0.75472,0.0,2,0.75472,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,16,242,37,321,20,0.0,8.9331,7.65,0.485703,0.57443,0.0,1,0.57443,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,17,371,112,348,22,1.0,10.0144,5.65,0.209582,0.23299,0.0,0,0.23299,4,10.131,0.667
Env. (realmap_a),CNN-DDQN+Duel,18,129,40,31,52,1.0,10.2244,5.85,0.167566,0.24183,0.0,0,0.24183,4,10.345,0.51
Env. (realmap_a),CNN-DDQN+Duel,19,29,48,86,45,0.0,10.5313,7.75,0.371642,0.65173,0.0,0,0.65173,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,20,84,38,17,35,1.0,6.4781,3.9,0.115206,0.18158,0.0,0,0.18158,4,6.569,0.275
Env. (realmap_a),CNN-DDQN+Duel,21,140,33,30,55,1.0,11.73,6.7,0.165611,0.29992,0.0,0,0.29992,4,11.88,0.667
Env. (realmap_a),CNN-DDQN+Duel,22,105,19,191,9,0.0,8.8725,8.4,0.07908,0.92663,0.0,0,0.92663,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,23,256,21,360,60,0.0,5.2275,9.0,0.293329,0.65329,0.0,0,0.65329,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,24,145,38,74,11,1.0,7.6125,4.45,0.248497,0.20464,0.0,0,0.20464,4,7.715,0.385
Env. (realmap_a),CNN-DDQN+Duel,25,109,43,33,56,0.0,8.665,7.75,0.217691,0.56426,0.0,2,0.56426,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,26,229,15,357,41,1.0,13.14,7.25,0.158341,0.27617,0.0,0,0.27617,4,13.278,0.664
Env. (realmap_a),CNN-DDQN+Duel,27,103,12,29,31,1.0,7.5162,4.4,0.204231,0.19137,0.0,0,0.19137,3,7.612,0.267
Env. (realmap_a),CNN-DDQN+Duel,28,299,36,361,30,1.0,6.3906,3.85,0.231381,0.17298,0.0,0,0.17298,5,6.477,0.42
Env. (realmap_a),CNN-DDQN+Duel,29,279,20,212,39,0.0,1.2956,5.85,0.276521,0.80358,0.0,0,0.80358,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,30,57,38,136,17,1.0,8.6325,5.0,0.349843,0.21705,0.0,0,0.21705,5,8.741,0.554
Env. (realmap_a),CNN-DDQN+Duel,31,284,40,382,86,0.0,0.495,5.4,0.413137,0.56952,0.0,0,0.56952,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,32,30,20,143,14,1.0,11.2125,6.25,0.074596,0.25463,0.0,0,0.25463,2,11.34,0.355
Env. (realmap_a),CNN-DDQN+Duel,33,364,93,355,23,1.0,7.1419,4.3,0.189809,0.20268,0.0,0,0.20268,3,7.243,0.321
Env. (realmap_a),CNN-DDQN+Duel,34,79,21,185,22,1.0,10.4062,5.95,0.102875,0.2602,0.0,0,0.2602,3,10.536,0.546
Env. (realmap_a),CNN-DDQN+Duel,35,382,82,306,38,1.0,9.6875,5.5,0.229672,0.22611,0.0,0,0.22611,4,9.801,0.435
Env. (realmap_a),CNN-DDQN+Duel,36,316,39,223,42,1.0,9.3319,5.45,0.198049,0.23625,0.0,0,0.23625,3,9.45,0.461
Env. (realmap_a),CNN-DDQN+Duel,37,249,35,364,64,0.0,0.9206,5.15,0.054462,0.52959,0.0,0,0.52959,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,38,382,35,286,33,1.0,9.7025,5.5,0.19876,0.22298,0.0,0,0.22298,5,9.814,0.641
Env. (realmap_a),CNN-DDQN+Duel,39,381,66,302,22,1.0,9.8112,5.6,0.357377,0.26203,0.0,0,0.26203,5,9.942,0.667
Env. (realmap_a),CNN-DDQN+Duel,40,389,90,367,36,1.0,5.5744,3.6,0.042901,0.17415,0.0,0,0.17415,1,5.661,0.324
Env. (realmap_a),CNN-DDQN+Duel,41,236,21,142,31,1.0,9.8419,5.8,0.215072,0.25685,0.0,0,0.25685,3,9.97,0.48
Env. (realmap_a),CNN-DDQN+Duel,42,189,31,133,34,0.0,1.1081,4.2,2.30806,0.52579,0.0,1,0.52579,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,43,42,20,137,18,1.0,9.2663,5.3,0.107592,0.21711,0.0,0,0.21711,5,9.375,0.568
Env. (realmap_a),CNN-DDQN+Duel,44,104,41,50,23,1.0,6.3387,3.85,0.277332,0.19908,0.0,0,0.19908,5,6.438,0.325
Env. (realmap_a),CNN-DDQN+Duel,45,360,26,384,108,1.0,8.6162,4.95,0.116462,0.2085,0.0,0,0.2085,2,8.721,0.342
Env. (realmap_a),CNN-DDQN+Duel,46,173,42,60,44,0.0,5.4563,4.95,0.409729,0.31656,0.0,1,0.31656,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,47,368,113,386,38,0.0,8.0719,6.15,0.106991,0.42709,0.0,1,0.42709,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,48,151,22,58,16,1.0,9.0675,5.2,0.089212,0.2235,0.0,0,0.2235,3,9.179,0.422
Env. (realmap_a),CNN-DDQN+Duel,49,332,43,199,38,1.0,13.3938,7.5,0.214318,0.30724,0.0,0,0.30724,3,13.547,0.552
Env. (realmap_a),Hybrid A*,0,389,121,376,53,1.0,7.9942,3.9971,0.383947,0.3117,0.0,1,0.3117,176,8.15,0.905
Env. (realmap_a),Hybrid A*,1,380,91,283,31,0.0,0.0,0.0,0.0,10.00009,0.0,0,10.00009,0,inf,inf
Env. (realmap_a),Hybrid A*,2,246,38,151,20,1.0,11.7616,5.8808,0.470396,10.28675,0.0,1,10.28675,177,16.905,1.0
Env. (realmap_a),Hybrid A*,3,369,55,390,122,0.0,0.0,0.0,0.0,10.00005,0.0,0,10.00005,0,inf,inf
Env. (realmap_a),Hybrid A*,4,234,40,103,45,0.0,0.0,0.0,0.0,10.00044,0.0,0,10.00044,0,inf,inf
Env. (realmap_a),Hybrid A*,5,65,43,152,40,1.0,8.8334,4.4167,0.237431,2.37159,0.0,2,2.37159,178,10.019,0.481
Env. (realmap_a),Hybrid A*,6,274,22,366,22,1.0,8.9997,4.4999,0.094575,4.44451,0.0,0,4.44451,5,11.222,0.333
Env. (realmap_a),Hybrid A*,7,133,36,212,28,1.0,8.178,4.089,0.221176,1.24391,0.0,0,1.24391,5,8.8,0.333
Env. (realmap_a),Hybrid A*,8,95,19,26,23,1.0,8.2548,4.1274,0.599297,0.28818,0.0,1,0.28818,175,8.399,1.0
Env. (realmap_a),Hybrid A*,9,278,23,184,38,1.0,11.0286,5.5143,0.571873,2.87276,0.0,1,2.87276,175,12.465,0.513
Env. (realmap_a),Hybrid A*,10,304,43,386,22,0.0,0.0,0.0,0.0,10.00099,0.0,0,10.00099,0,inf,inf
Env. (realmap_a),Hybrid A*,11,77,15,153,41,1.0,8.2514,4.1257,0.167118,0.77175,0.0,0,0.77175,5,8.637,0.34
Env. (realmap_a),Hybrid A*,12,83,19,177,26,0.0,0.0,0.0,0.0,10.00114,0.0,0,10.00114,0,inf,inf
Env. (realmap_a),Hybrid A*,13,191,37,58,39,1.0,16.0151,8.0075,0.346926,0.97904,0.0,1,0.97904,178,16.505,0.975
Env. (realmap_a),Hybrid A*,14,273,24,182,16,1.0,11.8278,5.9139,0.45621,1.16375,0.0,1,1.16375,178,12.41,0.703
Env. (realmap_a),Hybrid A*,15,357,116,401,38,0.0,0.0,0.0,0.0,10.00074,0.0,0,10.00074,0,inf,inf
Env. (realmap_a),Hybrid A*,16,242,37,321,20,1.0,8.0993,4.0496,0.275404,5.20263,0.0,0,5.20263,5,10.701,0.529
Env. (realmap_a),Hybrid A*,17,371,112,348,22,0.0,0.0,0.0,0.0,10.00002,0.0,0,10.00002,0,inf,inf
Env. (realmap_a),Hybrid A*,18,129,40,31,52,0.0,0.0,0.0,0.0,10.00047,0.0,0,10.00047,0,inf,inf
Env. (realmap_a),Hybrid A*,19,29,48,86,45,1.0,5.9992,2.9996,0.36491,3.28057,0.0,0,3.28057,5,7.64,0.553
Env. (realmap_a),Hybrid A*,20,84,38,17,35,1.0,8.3596,4.1798,0.586592,0.45463,0.0,1,0.45463,176,8.587,1.0
Env. (realmap_a),Hybrid A*,21,140,33,30,55,0.0,0.0,0.0,0.0,10.00039,0.0,0,10.00039,0,inf,inf
Env. (realmap_a),Hybrid A*,22,105,19,191,9,1.0,8.9027,4.4513,0.252663,2.13104,0.0,0,2.13104,5,9.968,0.588
Env. (realmap_a),Hybrid A*,23,256,21,360,60,0.0,0.0,0.0,0.0,10.00098,0.0,0,10.00098,0,inf,inf
Env. (realmap_a),Hybrid A*,24,145,38,74,11,0.0,0.0,0.0,0.0,10.00109,0.0,0,10.00109,0,inf,inf
Env. (realmap_a),Hybrid A*,25,109,43,33,56,0.0,0.0,0.0,0.0,10.00152,0.0,0,10.00152,0,inf,inf
Env. (realmap_a),Hybrid A*,26,229,15,357,41,1.0,13.2561,6.628,0.159497,1.37883,0.0,0,1.37883,5,13.945,0.676
Env. (realmap_a),Hybrid A*,27,103,12,29,31,1.0,9.0788,4.5394,0.71123,4.00672,0.0,1,4.00672,175,11.082,1.0
Env. (realmap_a),Hybrid A*,28,299,36,361,30,1.0,6.2996,3.1498,0.164336,10.86306,0.0,0,10.86306,5,11.731,0.333
Env. (realmap_a),Hybrid A*,29,279,20,212,39,1.0,8.681,4.3405,0.716972,6.71238,0.0,1,6.71238,175,12.037,0.73
Env. (realmap_a),Hybrid A*,30,57,38,136,17,1.0,8.6635,4.3317,0.223625,1.09701,0.0,0,1.09701,5,9.212,0.333
Env. (realmap_a),Hybrid A*,31,284,40,382,86,1.0,12.8292,6.4146,0.29816,8.13559,0.0,2,8.13559,178,16.897,0.6
Env. (realmap_a),Hybrid A*,32,30,20,143,14,1.0,11.3963,5.6982,0.155097,2.17449,0.0,0,2.17449,5,12.484,0.667
Env. (realmap_a),Hybrid A*,33,364,93,355,23,1.0,8.6474,4.3237,0.515479,4.99267,0.0,1,4.99267,176,11.144,1.0
Env. (realmap_a),Hybrid A*,34,79,21,185,22,1.0,10.6264,5.3132,0.06104,1.40374,0.0,0,1.40374,5,11.328,0.378
Env. (realmap_a),Hybrid A*,35,382,82,306,38,0.0,0.0,0.0,0.0,10.00035,0.0,0,10.00035,0,inf,inf
Env. (realmap_a),Hybrid A*,36,316,39,223,42,0.0,0.0,0.0,0.0,10.00002,0.0,0,10.00002,0,inf,inf
Env. (realmap_a),Hybrid A*,37,249,35,364,64,0.0,0.0,0.0,0.0,10.00337,0.0,0,10.00337,0,inf,inf
Env. (realmap_a),Hybrid A*,38,382,35,286,33,0.0,0.0,0.0,0.0,10.00025,0.0,0,10.00025,0,inf,inf
Env. (realmap_a),Hybrid A*,39,381,66,302,22,0.0,0.0,0.0,0.0,10.00058,0.0,0,10.00058,0,inf,inf
Env. (realmap_a),Hybrid A*,40,389,90,367,36,1.0,7.2654,3.6327,0.531741,9.82299,0.0,1,9.82299,176,12.177,1.0
Env. (realmap_a),Hybrid A*,41,236,21,142,31,1.0,11.0012,5.5006,0.488141,9.8966,0.0,1,9.8966,175,15.949,0.973
Env. (realmap_a),Hybrid A*,42,189,31,133,34,1.0,7.0636,3.5318,0.749175,0.80675,0.0,1,0.80675,175,7.467,0.534
