Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,100,24,302,22,1.0,20.0887,10.95,0.101146,1.26341,0.0,0,1.26341,1,20.72,0.0
Env. (realmap_a),CNN-DDQN+Duel,1,306,40,33,21,1.0,27.5606,14.6,0.08349,0.55206,0.0,0,0.55206,2,27.837,0.0
Env. (realmap_a),CNN-DDQN+Duel,2,36,36,352,62,0.0,35.4181,20.0,0.162507,0.82053,0.0,1,0.82053,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,3,120,19,382,101,1.0,30.5019,15.95,0.135425,0.58241,0.0,0,0.58241,5,30.793,0.0
Env. (realmap_a),CNN-DDQN+Duel,4,392,116,23,14,1.0,42.7175,24.15,0.142451,1.10025,0.0,2,1.10025,180,43.268,0.0
Env. (realmap_a),CNN-DDQN+Duel,5,64,13,370,66,1.0,32.4162,16.85,0.119749,0.76659,0.0,0,0.76659,4,32.8,0.0
Env. (realmap_a),CNN-DDQN+Duel,6,6,37,226,23,1.0,22.4306,11.95,0.17662,0.70542,0.0,0,0.70542,4,22.783,0.0
Env. (realmap_a),CNN-DDQN+Duel,7,382,37,158,41,1.0,22.4981,11.95,0.108198,0.71579,0.0,0,0.71579,4,22.856,0.0
Env. (realmap_a),CNN-DDQN+Duel,8,40,24,315,33,1.0,27.9069,14.6,0.124761,0.48137,0.0,0,0.48137,4,28.148,0.0
Env. (realmap_a),CNN-DDQN+Duel,9,102,20,311,37,1.0,21.2606,11.35,0.132043,0.38266,0.0,0,0.38266,5,21.452,0.0
Env. (realmap_a),CNN-DDQN+Duel,10,36,21,366,64,1.0,34.9975,18.15,0.12659,0.52852,0.0,0,0.52852,5,35.262,0.0
Env. (realmap_a),CNN-DDQN+Duel,11,246,29,17,33,1.0,23.1556,12.35,0.147849,0.40202,0.0,0,0.40202,4,23.357,0.0
Env. (realmap_a),CNN-DDQN+Duel,12,373,87,222,41,0.0,19.1063,11.65,0.431856,0.57826,0.0,1,0.57826,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,13,243,42,59,58,0.0,19.9144,12.35,0.27421,0.61733,0.0,1,0.61733,180,inf,inf
