Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,184,37,302,22,1.0,11.9156,6.8,0.096161,0.97014,0.0,0,0.97014,1,12.401,0.0
Env. (realmap_a),CNN-DDQN+Duel,1,160,20,101,35,0.0,6.8894,5.8,0.384812,0.83272,0.0,1,0.83272,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,2,286,40,352,62,0.0,10.1925,9.3,0.341521,1.77458,0.0,0,1.77458,5,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,3,152,18,77,11,1.0,7.9575,4.75,0.362107,0.46713,0.0,0,0.46713,5,8.191,0.0
Env. (realmap_a),CNN-DDQN+Duel,4,379,108,312,36,1.0,12.0162,6.65,0.224146,0.57505,0.0,0,0.57505,4,12.304,0.0
Env. (realmap_a),CNN-DDQN+Duel,5,306,37,353,69,0.0,9.0431,10.05,0.400668,2.62356,0.0,0,2.62356,5,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,6,127,45,23,14,1.0,11.1162,6.2,0.223378,0.44026,0.0,0,0.44026,5,11.336,0.0
Env. (realmap_a),CNN-DDQN+Duel,7,275,44,385,68,0.0,13.4738,29.65,0.2926,3.62756,0.0,0,3.62756,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,8,256,43,142,14,1.0,12.3112,7.05,0.286848,0.63089,0.0,0,0.63089,4,12.627,0.0
Env. (realmap_a),CNN-DDQN+Duel,9,353,21,226,23,0.0,1.1325,7.0,0.69838,1.51302,0.0,0,1.51302,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,10,106,19,158,41,1.0,5.5894,3.45,0.16449,0.57014,0.0,0,0.57014,1,5.874,0.0
Env. (realmap_a),CNN-DDQN+Duel,11,278,26,374,65,1.0,10.91,6.2,0.239854,0.53117,0.0,0,0.53117,5,11.176,0.0
Env. (realmap_a),CNN-DDQN+Duel,12,209,40,315,33,1.0,10.7456,6.2,0.203271,0.53619,0.0,0,0.53619,5,11.014,0.0
Env. (realmap_a),CNN-DDQN+Duel,13,172,45,52,58,1.0,12.8738,7.2,0.261275,0.54189,0.0,0,0.54189,3,13.145,0.0
Env. (realmap_a),CNN-DDQN+Duel,14,214,35,105,14,1.0,11.0794,6.25,0.156729,0.50398,0.0,0,0.50398,5,11.331,0.0
Env. (realmap_a),CNN-DDQN+Duel,15,93,19,17,33,1.0,7.6163,4.45,0.172514,0.42384,0.0,0,0.42384,5,7.828,0.0
Env. (realmap_a),CNN-DDQN+Duel,16,99,35,222,41,1.0,12.3469,6.85,0.190184,0.65715,0.0,0,0.65715,2,12.675,0.0
Env. (realmap_a),CNN-DDQN+Duel,17,114,37,30,20,1.0,8.8163,5.05,0.257299,0.43779,0.0,0,0.43779,4,9.035,0.0
Env. (realmap_a),CNN-DDQN+Duel,18,133,28,59,58,0.0,9.2231,6.9,0.294111,0.9095,0.0,1,0.9095,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,19,280,42,379,52,1.0,9.9619,5.65,0.138463,0.40819,0.0,0,0.40819,3,10.166,0.0
Env. (realmap_a),CNN-DDQN+Duel,20,249,20,358,39,1.0,11.1163,6.2,0.136066,0.41486,0.0,0,0.41486,4,11.324,0.0
Env. (realmap_a),CNN-DDQN+Duel,21,256,36,150,13,1.0,11.0456,6.3,0.283965,0.33276,0.0,0,0.33276,4,11.212,0.0
Env. (realmap_a),CNN-DDQN+Duel,22,384,105,379,39,1.0,6.4338,3.9,0.134216,0.3919,0.0,0,0.3919,4,6.63,0.0
Env. (realmap_a),CNN-DDQN+Duel,23,53,14,134,39,0.0,7.8744,10.4,0.356049,1.44805,0.0,7,1.44805,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,24,220,32,130,17,1.0,9.0031,5.3,0.179947,0.23774,0.0,0,0.23774,4,9.122,0.0
Env. (realmap_a),CNN-DDQN+Duel,25,179,11,236,21,1.0,6.3206,4.05,0.426091,0.31732,0.0,0,0.31732,5,6.479,0.0
Env. (realmap_a),CNN-DDQN+Duel,26,142,32,37,25,1.0,10.6162,5.95,0.14714,0.36606,0.0,0,0.36606,2,10.799,0.0
Env. (realmap_a),CNN-DDQN+Duel,27,20,34,100,35,1.0,7.9987,4.65,0.173688,0.49158,0.0,0,0.49158,2,8.245,0.0
Env. (realmap_a),CNN-DDQN+Duel,28,254,40,199,27,0.0,1.5525,6.85,0.506454,1.52611,0.0,0,1.52611,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,29,288,43,183,27,1.0,11.2538,6.3,0.205775,0.21379,0.0,0,0.21379,3,11.361,0.0
Env. (realmap_a),CNN-DDQN+Duel,30,283,21,373,38,0.0,0.6844,2.95,0.458943,0.98786,0.0,0,0.98786,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,31,185,23,97,24,1.0,8.6119,5.0,0.127202,0.37021,0.0,0,0.37021,3,8.797,0.0
Env. (realmap_a),CNN-DDQN+Duel,32,312,34,374,88,1.0,9.465,5.4,0.294051,0.50795,0.0,0,0.50795,5,9.719,0.0
Env. (realmap_a),CNN-DDQN+Duel,33,352,61,381,122,0.0,8.3231,9.2,0.514449,1.92283,0.0,0,1.92283,5,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,34,361,119,380,45,1.0,7.6162,4.45,0.166041,0.40649,0.0,0,0.40649,3,7.819,0.0
