Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN,0,100,24,302,22,0.0,21.105,13.8,0.175488,1.42277,0.0,0,1.42277,4,inf,inf
Env. (realmap_a),CNN-DDQN,1,306,40,33,21,1.0,27.5231,14.5,0.076701,0.64567,0.0,0,0.64567,2,27.846,0.0
Env. (realmap_a),CNN-DDQN,2,36,36,352,62,0.0,36.3587,22.15,0.194443,1.36099,0.0,2,1.36099,180,inf,inf
Env. (realmap_a),CNN-DDQN,3,120,19,382,101,1.0,30.6194,16.1,0.134852,0.72518,0.0,0,0.72518,4,30.982,0.0
Env. (realmap_a),CNN-DDQN,4,392,116,23,14,1.0,42.275,21.95,0.129737,0.80629,0.0,0,0.80629,3,42.678,0.0
Env. (realmap_a),CNN-DDQN,5,64,13,370,66,1.0,32.3862,16.9,0.115516,0.64555,0.0,0,0.64555,5,32.709,0.0
Env. (realmap_a),CNN-DDQN,6,6,37,226,23,1.0,22.6181,12.05,0.128354,0.53739,0.0,0,0.53739,3,22.887,0.0
Env. (realmap_a),CNN-DDQN,7,382,37,158,41,1.0,22.4919,11.9,0.123673,0.52612,0.0,0,0.52612,5,22.755,0.0
Env. (realmap_a),CNN-DDQN,8,40,24,315,33,1.0,28.1281,15.2,0.117891,0.7198,0.0,0,0.7198,5,28.488,0.0
Env. (realmap_a),CNN-DDQN,9,102,20,311,37,1.0,21.1881,11.25,0.113699,0.4895,0.0,0,0.4895,3,21.433,0.0
Env. (realmap_a),CNN-DDQN,10,36,21,366,64,1.0,34.8919,18.25,0.137708,0.70562,0.0,0,0.70562,4,35.245,0.0
Env. (realmap_a),CNN-DDQN,11,246,29,17,33,1.0,23.0888,12.45,0.13126,0.51153,0.0,0,0.51153,3,23.345,0.0
Env. (realmap_a),CNN-DDQN,12,373,87,222,41,1.0,18.9062,10.2,0.272081,0.50989,0.0,0,0.50989,4,19.161,0.0
Env. (realmap_a),CNN-DDQN,13,243,42,59,58,0.0,20.0531,12.2,0.181543,0.7532,0.0,0,0.7532,3,inf,inf
Env. (realmap_a),CNN-DDQN,14,19,35,379,52,1.0,37.0769,19.2,0.127921,0.71843,0.0,0,0.71843,5,37.436,0.0
