Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,100,24,302,22,1.0,20.04,11.1,0.083184,1.04,0.0,0,1.04,1,20.56,0.0
Env. (realmap_a),CNN-DDQN+Duel,1,306,40,33,21,1.0,27.5662,14.55,0.08198,0.98586,0.0,0,0.98586,2,28.059,0.0
Env. (realmap_a),CNN-DDQN+Duel,2,36,36,352,62,0.0,36.1888,22.15,0.192567,1.6084,0.0,2,1.6084,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,3,120,19,382,101,1.0,30.615,16.0,0.140968,0.91029,0.0,0,0.91029,5,31.07,0.0
Env. (realmap_a),CNN-DDQN+Duel,4,392,116,23,14,1.0,43.8806,26.05,0.158647,1.20671,0.0,0,1.20671,4,44.484,0.0
Env. (realmap_a),CNN-DDQN+Duel,5,64,13,370,66,1.0,32.5163,16.9,0.118223,0.70623,0.0,0,0.70623,4,32.869,0.0
Env. (realmap_a),CNN-DDQN+Duel,6,6,37,226,23,1.0,22.4144,11.85,0.121451,0.49783,0.0,0,0.49783,3,22.663,0.0
Env. (realmap_a),CNN-DDQN+Duel,7,382,37,158,41,1.0,22.4256,12.0,0.112504,0.51804,0.0,0,0.51804,4,22.685,0.0
Env. (realmap_a),CNN-DDQN+Duel,8,40,24,315,33,1.0,28.0644,14.75,0.138288,0.57436,0.0,0,0.57436,5,28.352,0.0
Env. (realmap_a),CNN-DDQN+Duel,9,102,20,311,37,1.0,21.1762,11.4,0.129443,0.61116,0.0,0,0.61116,5,21.482,0.0
Env. (realmap_a),CNN-DDQN+Duel,10,36,21,366,64,1.0,34.8144,18.05,0.115227,0.87004,0.0,0,0.87004,5,35.249,0.0
Env. (realmap_a),CNN-DDQN+Duel,11,246,29,17,33,0.0,0.4931,4.0,0.333012,0.62032,0.0,0,0.62032,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,12,373,87,222,41,1.0,18.7319,10.05,0.255049,0.3741,0.0,0,0.3741,5,18.919,0.0
Env. (realmap_a),CNN-DDQN+Duel,13,243,42,59,58,0.0,19.4894,13.8,0.201361,1.07815,0.0,2,1.07815,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,14,19,35,379,52,1.0,36.2319,18.8,0.109484,0.77381,0.0,0,0.77381,2,36.619,0.0
Env. (realmap_a),CNN-DDQN+Duel,15,366,86,150,13,1.0,26.2325,13.85,0.224662,0.88871,0.0,0,0.88871,5,26.677,0.0
Env. (realmap_a),CNN-DDQN+Duel,16,90,38,379,39,1.0,28.9444,15.25,0.120239,1.47423,0.0,0,1.47423,3,29.681,0.0
Env. (realmap_a),CNN-DDQN+Duel,17,125,18,369,18,1.0,24.375,13.9,0.099137,2.28647,0.0,0,2.28647,3,25.518,0.0
Env. (realmap_a),CNN-DDQN+Duel,18,377,109,199,27,1.0,23.5163,12.4,0.199066,1.12335,0.0,0,1.12335,4,24.078,0.0
Env. (realmap_a),CNN-DDQN+Duel,19,44,22,260,22,1.0,21.49,11.4,0.076411,1.01091,0.0,0,1.01091,2,21.995,0.0
Env. (realmap_a),CNN-DDQN+Duel,20,368,18,148,31,1.0,22.2788,13.7,0.145739,1.48743,0.0,0,1.48743,3,23.022,0.0
Env. (realmap_a),CNN-DDQN+Duel,21,28,32,369,93,0.0,38.805,21.6,0.153631,2.45386,0.0,1,2.45386,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,22,390,78,189,19,1.0,22.5163,11.9,0.192369,1.12309,0.0,0,1.12309,3,23.078,0.0
Env. (realmap_a),CNN-DDQN+Duel,23,217,32,374,88,1.0,19.1244,10.35,0.218138,1.07008,0.0,0,1.07008,4,19.659,0.0
Env. (realmap_a),CNN-DDQN+Duel,24,392,120,177,25,1.0,27.0163,14.15,0.183436,1.24204,0.0,0,1.24204,4,27.637,0.0
Env. (realmap_a),CNN-DDQN+Duel,25,55,44,381,122,1.0,38.9606,20.2,0.17245,1.8362,0.0,0,1.8362,5,39.879,0.0
Env. (realmap_a),CNN-DDQN+Duel,26,371,52,157,39,0.0,0.3487,4.9,0.380584,1.33696,0.0,0,1.33696,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,27,373,95,151,34,1.0,26.9162,14.25,0.224394,1.29468,0.0,0,1.29468,5,27.564,0.0
Env. (realmap_a),CNN-DDQN+Duel,28,139,20,395,37,1.0,25.7931,13.7,0.110059,1.27062,0.0,0,1.27062,4,26.428,0.0
Env. (realmap_a),CNN-DDQN+Duel,29,29,14,234,13,1.0,20.7038,11.1,0.136349,1.01084,0.0,0,1.01084,3,21.209,0.0
Env. (realmap_a),CNN-DDQN+Duel,30,386,78,74,11,1.0,33.8644,17.85,0.153118,2.13389,0.0,0,2.13389,3,34.931,0.0
Env. (realmap_a),CNN-DDQN+Duel,31,375,48,125,35,1.0,25.3012,13.45,0.159907,1.49871,0.0,0,1.49871,4,26.051,0.0
Env. (realmap_a),CNN-DDQN+Duel,32,394,38,158,24,1.0,23.9131,12.65,0.117058,0.59276,0.0,0,0.59276,5,24.21,0.0
Env. (realmap_a),CNN-DDQN+Duel,33,278,25,36,22,1.0,24.0506,12.8,0.064702,0.69495,0.0,0,0.69495,2,24.398,0.0
Env. (realmap_a),CNN-DDQN+Duel,34,14,35,206,40,1.0,19.3031,10.35,0.128914,0.86036,0.0,0,0.86036,5,19.733,0.0
Env. (realmap_a),CNN-DDQN+Duel,35,107,19,357,107,1.0,32.1431,16.8,0.160423,0.70506,0.0,0,0.70506,5,32.496,0.0
Env. (realmap_a),CNN-DDQN+Duel,36,183,14,366,119,1.0,25.8144,13.55,0.162354,0.53974,0.0,0,0.53974,5,26.084,0.0
Env. (realmap_a),CNN-DDQN+Duel,37,221,33,11,43,1.0,20.9931,11.15,0.129903,0.69517,0.0,0,0.69517,5,21.341,0.0
Env. (realmap_a),CNN-DDQN+Duel,38,371,47,69,12,1.0,30.7025,16.1,0.113325,1.74781,0.0,0,1.74781,2,31.576,0.0
Env. (realmap_a),CNN-DDQN+Duel,39,54,14,328,35,1.0,27.8994,14.6,0.122002,1.43466,0.0,0,1.43466,3,28.617,0.0
Env. (realmap_a),CNN-DDQN+Duel,40,62,40,271,15,1.0,21.4437,11.45,0.140664,1.51992,0.0,0,1.51992,3,22.204,0.0
