Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,184,37,302,22,1.0,11.9112,6.75,0.107401,1.69432,0.0,0,1.69432,2,12.758,0.0
Env. (realmap_a),CNN-DDQN+Duel,1,160,20,101,35,1.0,6.285,3.8,0.274092,0.89983,0.0,0,0.89983,5,6.735,0.0
Env. (realmap_a),CNN-DDQN+Duel,2,286,40,352,62,0.0,9.8438,7.25,0.327638,2.43666,0.0,1,2.43666,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,3,152,18,77,11,0.0,8.2444,6.3,0.24789,2.27386,0.0,0,2.27386,3,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,4,379,108,312,36,1.0,11.9162,6.6,0.275921,1.04361,0.0,0,1.04361,5,12.438,0.0
Env. (realmap_a),CNN-DDQN+Duel,5,306,37,353,69,1.0,8.2781,4.9,0.37196,0.9306,0.0,0,0.9306,5,8.743,0.0
Env. (realmap_a),CNN-DDQN+Duel,6,127,45,23,14,1.0,11.1163,6.2,0.170061,0.91118,0.0,0,0.91118,4,11.572,0.0
Env. (realmap_a),CNN-DDQN+Duel,7,275,44,385,68,1.0,11.9519,6.65,0.205401,1.09808,0.0,0,1.09808,3,12.501,0.0
Env. (realmap_a),CNN-DDQN+Duel,8,256,43,142,14,1.0,12.3862,7.0,0.333278,1.0475,0.0,0,1.0475,5,12.91,0.0
Env. (realmap_a),CNN-DDQN+Duel,9,353,21,226,23,1.0,13.3162,7.3,0.199824,1.18138,0.0,0,1.18138,3,13.907,0.0
Env. (realmap_a),CNN-DDQN+Duel,10,106,19,158,41,1.0,5.985,3.85,0.315626,0.67587,0.0,0,0.67587,5,6.323,0.0
Env. (realmap_a),CNN-DDQN+Duel,11,278,26,374,65,1.0,10.9344,6.15,0.206459,1.00467,0.0,0,1.00467,3,11.437,0.0
Env. (realmap_a),CNN-DDQN+Duel,12,209,40,315,33,1.0,10.8263,6.3,0.281534,0.91073,0.0,0,0.91073,5,11.282,0.0
Env. (realmap_a),CNN-DDQN+Duel,13,172,45,52,58,1.0,12.7144,7.0,0.228592,1.00795,0.0,0,1.00795,5,13.218,0.0
Env. (realmap_a),CNN-DDQN+Duel,14,214,35,105,14,0.0,11.8544,8.15,0.16685,1.69461,0.0,1,1.69461,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,15,93,19,17,33,1.0,7.5163,4.4,0.131533,0.75745,0.0,0,0.75745,4,7.895,0.0
Env. (realmap_a),CNN-DDQN+Duel,16,99,35,222,41,1.0,12.3469,6.85,0.177341,1.08922,0.0,0,1.08922,2,12.891,0.0
Env. (realmap_a),CNN-DDQN+Duel,17,114,37,30,20,1.0,8.67,5.0,0.220714,1.0225,0.0,0,1.0225,2,9.181,0.0
Env. (realmap_a),CNN-DDQN+Duel,18,133,28,59,58,0.0,9.1556,8.7,0.290038,1.90388,0.0,0,1.90388,3,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,19,280,42,379,52,1.0,9.8625,5.6,0.113323,1.03588,0.0,0,1.03588,2,10.38,0.0
Env. (realmap_a),CNN-DDQN+Duel,20,249,20,358,39,1.0,11.29,6.3,0.199422,1.08188,0.0,0,1.08188,4,11.831,0.0
Env. (realmap_a),CNN-DDQN+Duel,21,256,36,150,13,1.0,11.0494,6.25,0.245851,0.85311,0.0,0,0.85311,3,11.476,0.0
Env. (realmap_a),CNN-DDQN+Duel,22,384,105,379,39,1.0,6.4875,3.9,0.119135,0.73547,0.0,0,0.73547,5,6.855,0.0
Env. (realmap_a),CNN-DDQN+Duel,23,53,14,134,39,0.0,7.4513,8.1,0.292488,2.80454,0.0,0,2.80454,4,inf,inf
