Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN,0,100,24,302,22,1.0,20.0881,10.85,0.08751,0.90247,0.0,0,0.90247,1,20.539,0.0
Env. (realmap_a),CNN-DDQN,1,306,40,33,21,1.0,27.6487,14.5,0.095621,0.54157,0.0,0,0.54157,3,27.92,0.0
Env. (realmap_a),CNN-DDQN,2,36,36,352,62,0.0,36.67,20.45,0.192745,0.96597,0.0,1,0.96597,180,inf,inf
Env. (realmap_a),CNN-DDQN,3,120,19,382,101,1.0,30.7381,16.05,0.140264,0.57076,0.0,0,0.57076,5,31.024,0.0
Env. (realmap_a),CNN-DDQN,4,392,116,23,14,0.0,6.87,7.3,0.264053,0.97851,0.0,2,0.97851,180,inf,inf
Env. (realmap_a),CNN-DDQN,5,64,13,370,66,1.0,32.6638,17.0,0.124004,0.68162,0.0,0,0.68162,5,33.005,0.0
Env. (realmap_a),CNN-DDQN,6,6,37,226,23,1.0,22.3012,12.75,0.107463,0.53836,0.0,0,0.53836,2,22.57,0.0
Env. (realmap_a),CNN-DDQN,7,382,37,158,41,1.0,23.06,12.2,0.109505,0.57192,0.0,0,0.57192,3,23.346,0.0
Env. (realmap_a),CNN-DDQN,8,40,24,315,33,1.0,28.1137,14.7,0.129965,0.90441,0.0,0,0.90441,4,28.566,0.0
Env. (realmap_a),CNN-DDQN,9,102,20,311,37,1.0,21.5312,11.55,0.145275,0.71178,0.0,0,0.71178,5,21.887,0.0
Env. (realmap_a),CNN-DDQN,10,36,21,366,64,1.0,35.0525,18.2,0.132306,1.5544,0.0,0,1.5544,5,35.83,0.0
Env. (realmap_a),CNN-DDQN,11,246,29,17,33,1.0,23.2806,12.55,0.170453,0.53335,0.0,0,0.53335,5,23.547,0.0
Env. (realmap_a),CNN-DDQN,12,373,87,222,41,0.0,19.2181,11.9,0.346713,0.80292,0.0,1,0.80292,180,inf,inf
Env. (realmap_a),CNN-DDQN,13,243,42,59,58,0.0,19.3887,13.6,0.194664,0.93256,0.0,2,0.93256,180,inf,inf
Env. (realmap_a),CNN-DDQN,14,19,35,379,52,1.0,36.7525,19.1,0.15785,0.82227,0.0,0,0.82227,4,37.164,0.0
Env. (realmap_a),CNN-DDQN,15,366,86,150,13,1.0,28.1619,15.35,0.213995,0.77937,0.0,0,0.77937,5,28.552,0.0
Env. (realmap_a),CNN-DDQN,16,90,38,379,39,1.0,28.8206,15.1,0.095553,0.60163,0.0,0,0.60163,2,29.121,0.0
Env. (realmap_a),CNN-DDQN,17,125,18,369,18,1.0,24.3463,14.0,0.11803,0.64172,0.0,0,0.64172,5,24.667,0.0
Env. (realmap_a),CNN-DDQN,18,377,109,199,27,1.0,23.5162,12.4,0.219633,0.46394,0.0,0,0.46394,5,23.748,0.0
Env. (realmap_a),CNN-DDQN,19,44,22,260,22,0.0,25.285,21.2,0.208062,1.54757,0.0,2,1.54757,180,inf,inf
Env. (realmap_a),CNN-DDQN,20,368,18,148,31,1.0,22.6488,12.0,0.188731,0.61453,0.0,0,0.61453,4,22.956,0.0
Env. (realmap_a),CNN-DDQN,21,28,32,369,93,1.0,38.9637,20.15,0.14963,1.13504,0.0,0,1.13504,5,39.531,0.0
Env. (realmap_a),CNN-DDQN,22,390,78,189,19,1.0,22.6162,11.95,0.225248,0.74128,0.0,0,0.74128,5,22.987,0.0
Env. (realmap_a),CNN-DDQN,23,217,32,374,88,1.0,19.1537,10.3,0.184454,0.55328,0.0,0,0.55328,5,19.43,0.0
Env. (realmap_a),CNN-DDQN,24,392,120,177,25,0.0,7.16,5.8,0.28981,0.60266,0.0,1,0.60266,180,inf,inf
Env. (realmap_a),CNN-DDQN,25,55,44,381,122,0.0,39.2963,21.9,0.174397,1.25843,0.0,1,1.25843,180,inf,inf
Env. (realmap_a),CNN-DDQN,26,371,52,157,39,0.0,0.4256,4.4,0.231527,0.86276,0.0,0,0.86276,0,inf,inf
Env. (realmap_a),CNN-DDQN,27,373,95,151,34,1.0,27.0812,14.25,0.236494,0.77433,0.0,0,0.77433,5,27.468,0.0
Env. (realmap_a),CNN-DDQN,28,139,20,395,37,1.0,26.1125,13.9,0.134421,0.71491,0.0,0,0.71491,3,26.47,0.0
Env. (realmap_a),CNN-DDQN,29,29,14,234,13,1.0,20.6338,11.05,0.139578,0.5518,0.0,0,0.5518,4,20.91,0.0
Env. (realmap_a),CNN-DDQN,30,386,78,74,11,1.0,33.7419,17.6,0.150274,0.78463,0.0,0,0.78463,5,34.134,0.0
Env. (realmap_a),CNN-DDQN,31,375,48,125,35,1.0,25.8162,13.55,0.179265,0.65662,0.0,0,0.65662,5,26.145,0.0
Env. (realmap_a),CNN-DDQN,32,394,38,158,24,1.0,25.3162,13.3,0.152979,0.66011,0.0,0,0.66011,5,25.646,0.0
Env. (realmap_a),CNN-DDQN,33,278,25,36,22,1.0,24.1944,12.85,0.109513,0.62431,0.0,0,0.62431,3,24.507,0.0
Env. (realmap_a),CNN-DDQN,34,14,35,206,40,1.0,19.8163,10.55,0.099325,0.50303,0.0,0,0.50303,1,20.068,0.0
Env. (realmap_a),CNN-DDQN,35,107,19,357,107,1.0,32.3306,16.85,0.162867,0.76077,0.0,0,0.76077,5,32.711,0.0
Env. (realmap_a),CNN-DDQN,36,183,14,366,119,1.0,26.0144,13.65,0.178302,0.64365,0.0,0,0.64365,5,26.336,0.0
Env. (realmap_a),CNN-DDQN,37,221,33,11,43,0.0,20.6731,16.75,0.163629,1.60626,0.0,2,1.60626,180,inf,inf
Env. (realmap_a),CNN-DDQN,38,371,47,69,12,1.0,30.7856,16.15,0.108659,0.76072,0.0,0,0.76072,3,31.166,0.0
Env. (realmap_a),CNN-DDQN,39,54,14,328,35,1.0,27.9037,14.7,0.124539,0.67166,0.0,0,0.67166,3,28.24,0.0
Env. (realmap_a),CNN-DDQN,40,62,40,271,15,0.0,21.8438,13.1,0.124777,0.936,0.0,1,0.936,180,inf,inf
Env. (realmap_a),CNN-DDQN,41,24,22,333,21,1.0,30.7981,16.8,0.069396,0.84581,0.0,0,0.84581,2,31.221,0.0
Env. (realmap_a),CNN-DDQN,42,186,17,391,43,1.0,21.1525,11.25,0.180567,0.55887,0.0,0,0.55887,3,21.432,0.0
Env. (realmap_a),CNN-DDQN,43,380,65,198,33,1.0,20.2012,10.75,0.255647,0.49516,0.0,0,0.49516,4,20.449,0.0
Env. (realmap_a),CNN-DDQN,44,7,34,180,24,1.0,18.3006,9.9,0.199935,0.50163,0.0,0,0.50163,4,18.551,0.0
Env. (realmap_a),CNN-DDQN,45,52,55,376,53,0.0,0.6975,5.8,0.796889,0.85666,0.0,0,0.85666,1,inf,inf
Env. (realmap_a),CNN-DDQN,46,53,52,356,74,0.0,2.4975,7.85,0.62855,1.12587,0.0,0,1.12587,2,inf,inf
Env. (realmap_a),CNN-DDQN,47,351,17,107,42,1.0,24.7531,15.05,0.153171,0.73162,0.0,0,0.73162,3,25.119,0.0
Env. (realmap_a),CNN-DDQN,48,388,95,151,20,1.0,27.3356,14.35,0.160932,0.63534,0.0,0,0.63534,3,27.653,0.0
Env. (realmap_a),CNN-DDQN,49,176,39,390,122,0.0,0.7444,5.65,0.598261,0.7924,0.0,0,0.7924,1,inf,inf
