Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN,0,184,37,302,22,1.0,11.76,6.65,0.112138,0.77946,0.0,0,0.77946,2,12.15,0.0
Env. (realmap_a),CNN-DDQN,1,160,20,101,35,1.0,7.2231,4.35,0.503883,0.2895,0.0,0,0.2895,5,7.368,0.0
Env. (realmap_a),CNN-DDQN,2,286,40,352,62,0.0,11.0963,20.5,0.373615,3.90239,0.0,2,3.90239,180,inf,inf
Env. (realmap_a),CNN-DDQN,3,152,18,77,11,1.0,7.7069,4.5,0.304171,0.40025,0.0,0,0.40025,5,7.907,0.0
Env. (realmap_a),CNN-DDQN,4,379,108,312,36,1.0,11.67,6.5,0.280288,0.52705,0.0,0,0.52705,5,11.934,0.0
Env. (realmap_a),CNN-DDQN,5,306,37,353,69,1.0,8.2725,4.8,0.364619,0.39502,0.0,0,0.39502,5,8.47,0.0
Env. (realmap_a),CNN-DDQN,6,127,45,23,14,1.0,11.1925,6.25,0.193219,0.50285,0.0,0,0.50285,3,11.444,0.0
Env. (realmap_a),CNN-DDQN,7,275,44,385,68,1.0,12.1162,6.7,0.233117,0.51479,0.0,0,0.51479,4,12.374,0.0
Env. (realmap_a),CNN-DDQN,8,256,43,142,14,1.0,12.2394,6.8,0.287494,0.54232,0.0,0,0.54232,5,12.511,0.0
Env. (realmap_a),CNN-DDQN,9,353,21,226,23,1.0,12.5475,8.4,0.10114,0.7321,0.0,0,0.7321,1,12.914,0.0
Env. (realmap_a),CNN-DDQN,10,106,19,158,41,1.0,5.59,3.45,0.239901,0.33907,0.0,0,0.33907,5,5.76,0.0
Env. (realmap_a),CNN-DDQN,11,278,26,374,65,1.0,11.0444,6.2,0.222711,0.48711,0.0,0,0.48711,5,11.288,0.0
Env. (realmap_a),CNN-DDQN,12,209,40,315,33,1.0,10.6638,6.05,0.193693,0.49167,0.0,0,0.49167,5,10.91,0.0
Env. (realmap_a),CNN-DDQN,13,172,45,52,58,1.0,12.8006,7.05,0.270946,0.60913,0.0,0,0.60913,3,13.105,0.0
Env. (realmap_a),CNN-DDQN,14,214,35,105,14,1.0,11.245,6.35,0.167698,0.48412,0.0,0,0.48412,5,11.487,0.0
Env. (realmap_a),CNN-DDQN,15,93,19,17,33,1.0,7.6969,4.55,0.221021,0.42495,0.0,0,0.42495,5,7.909,0.0
Env. (realmap_a),CNN-DDQN,16,99,35,222,41,0.0,0.9056,5.6,0.637843,2.10998,0.0,0,2.10998,1,inf,inf
Env. (realmap_a),CNN-DDQN,17,114,37,30,20,1.0,8.8231,5.15,0.250558,0.48602,0.0,0,0.48602,3,9.066,0.0
Env. (realmap_a),CNN-DDQN,18,133,28,59,58,0.0,9.275,6.9,0.309416,1.28028,0.0,1,1.28028,180,inf,inf
Env. (realmap_a),CNN-DDQN,19,280,42,379,52,1.0,10.0994,5.7,0.136607,0.76389,0.0,0,0.76389,5,10.481,0.0
Env. (realmap_a),CNN-DDQN,20,249,20,358,39,1.0,11.0144,6.15,0.123487,0.47335,0.0,0,0.47335,4,11.251,0.0
Env. (realmap_a),CNN-DDQN,21,256,36,150,13,1.0,11.2738,6.35,0.242669,0.55497,0.0,0,0.55497,4,11.551,0.0
Env. (realmap_a),CNN-DDQN,22,384,105,379,39,1.0,6.5887,3.95,0.135469,0.34431,0.0,0,0.34431,3,6.761,0.0
Env. (realmap_a),CNN-DDQN,23,53,14,134,39,1.0,9.0163,5.15,0.208107,0.44247,0.0,0,0.44247,5,9.237,0.0
Env. (realmap_a),CNN-DDQN,24,220,32,130,17,1.0,9.2562,5.45,0.223472,0.49638,0.0,0,0.49638,5,9.504,0.0
Env. (realmap_a),CNN-DDQN,25,179,11,236,21,0.0,6.535,5.5,0.393301,0.94808,0.0,1,0.94808,180,inf,inf
Env. (realmap_a),CNN-DDQN,26,142,32,37,25,1.0,10.9719,6.2,0.199508,0.49173,0.0,0,0.49173,3,11.218,0.0
Env. (realmap_a),CNN-DDQN,27,20,34,100,35,1.0,8.0681,4.8,0.138792,0.45946,0.0,0,0.45946,4,8.298,0.0
Env. (realmap_a),CNN-DDQN,28,254,40,199,27,1.0,5.7969,3.7,0.214209,0.41506,0.0,0,0.41506,2,6.004,0.0
Env. (realmap_a),CNN-DDQN,29,288,43,183,27,0.0,0.8644,2.45,2.746296,0.89067,0.0,1,0.89067,180,inf,inf
Env. (realmap_a),CNN-DDQN,30,283,21,373,38,0.0,2.0737,4.05,0.319632,0.93085,0.0,0,0.93085,1,inf,inf
Env. (realmap_a),CNN-DDQN,31,185,23,97,24,1.0,8.6762,5.0,0.127746,0.38645,0.0,0,0.38645,1,8.869,0.0
Env. (realmap_a),CNN-DDQN,32,312,34,374,88,1.0,9.5163,5.4,0.251479,0.58701,0.0,0,0.58701,4,9.81,0.0
Env. (realmap_a),CNN-DDQN,33,352,61,381,122,0.0,4.3775,4.35,0.403688,0.64687,0.0,1,0.64687,180,inf,inf
Env. (realmap_a),CNN-DDQN,34,361,119,380,45,1.0,7.5038,4.45,0.103881,0.3991,0.0,0,0.3991,2,7.703,0.0
Env. (realmap_a),CNN-DDQN,35,151,19,47,34,0.0,12.495,9.65,0.2221,1.34838,0.0,1,1.34838,180,inf,inf
Env. (realmap_a),CNN-DDQN,36,228,38,151,34,1.0,8.0681,4.7,0.440545,0.89912,0.0,0,0.89912,5,8.518,0.0
Env. (realmap_a),CNN-DDQN,37,294,23,214,31,1.0,8.2512,5.25,0.247325,0.83548,0.0,0,0.83548,5,8.669,0.0
Env. (realmap_a),CNN-DDQN,38,149,12,234,13,1.0,8.7362,5.5,0.278137,0.48727,0.0,0,0.48727,4,8.98,0.0
Env. (realmap_a),CNN-DDQN,39,145,38,74,11,1.0,8.17,4.8,0.335832,0.42652,0.0,0,0.42652,5,8.383,0.0
Env. (realmap_a),CNN-DDQN,40,268,30,376,61,1.0,11.7588,6.55,0.147901,0.51419,0.0,0,0.51419,5,12.016,0.0
Env. (realmap_a),CNN-DDQN,41,353,64,376,117,1.0,7.4731,4.45,0.433515,0.40178,0.0,0,0.40178,4,7.674,0.0
Env. (realmap_a),CNN-DDQN,42,12,43,89,38,1.0,7.7137,4.55,0.10716,0.39299,0.0,0,0.39299,2,7.91,0.0
Env. (realmap_a),CNN-DDQN,43,264,19,158,24,0.0,11.5031,7.95,0.21299,1.15747,0.0,1,1.15747,180,inf,inf
Env. (realmap_a),CNN-DDQN,44,184,15,286,26,0.0,0.8306,6.25,2.833806,1.71629,0.0,1,1.71629,180,inf,inf
Env. (realmap_a),CNN-DDQN,45,130,17,36,22,1.0,9.3025,5.3,0.120393,0.67927,0.0,0,0.67927,3,9.642,0.0
Env. (realmap_a),CNN-DDQN,46,258,18,206,40,1.0,5.6419,3.7,0.203846,0.26665,0.0,0,0.26665,3,5.775,0.0
Env. (realmap_a),CNN-DDQN,47,344,25,357,107,1.0,11.4031,7.35,0.482844,0.45837,0.0,1,0.45837,180,11.632,0.0
Env. (realmap_a),CNN-DDQN,48,154,43,82,21,0.0,8.9131,7.0,0.411863,1.70115,0.0,1,1.70115,180,inf,inf
Env. (realmap_a),CNN-DDQN,49,353,37,264,34,1.0,8.7056,5.05,0.115084,0.66828,0.0,0,0.66828,3,9.04,0.0
