Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN,0,184,37,302,22,1.0,11.9494,7.05,0.1572,1.60966,0.0,0,1.60966,2,12.754,0.0
Env. (realmap_a),CNN-DDQN,1,160,20,101,35,1.0,6.2031,3.75,0.308739,0.55809,0.0,0,0.55809,5,6.482,0.0
Env. (realmap_a),CNN-DDQN,2,286,40,352,62,0.0,10.5444,10.05,0.458824,2.72062,0.0,2,2.72062,180,inf,inf
Env. (realmap_a),CNN-DDQN,3,152,18,77,11,1.0,7.6162,4.45,0.194195,0.62997,0.0,0,0.62997,5,7.931,0.0
Env. (realmap_a),CNN-DDQN,4,379,108,312,36,1.0,11.7144,6.5,0.281573,0.88595,0.0,0,0.88595,5,12.157,0.0
Env. (realmap_a),CNN-DDQN,5,306,37,353,69,1.0,8.2656,4.8,0.380737,0.74759,0.0,0,0.74759,5,8.639,0.0
Env. (realmap_a),CNN-DDQN,6,127,45,23,14,1.0,11.1163,6.2,0.19034,1.23576,0.0,0,1.23576,2,11.734,0.0
Env. (realmap_a),CNN-DDQN,7,275,44,385,68,0.0,12.5069,8.75,0.218166,2.0396,0.0,1,2.0396,180,inf,inf
Env. (realmap_a),CNN-DDQN,8,256,43,142,14,1.0,11.7031,6.55,0.119881,0.78672,0.0,0,0.78672,1,12.096,0.0
Env. (realmap_a),CNN-DDQN,9,353,21,226,23,1.0,12.715,7.3,0.100297,1.01433,0.0,0,1.01433,1,13.222,0.0
Env. (realmap_a),CNN-DDQN,10,106,19,158,41,1.0,6.0163,3.65,0.381431,0.57008,0.0,0,0.57008,4,6.301,0.0
Env. (realmap_a),CNN-DDQN,11,278,26,374,65,1.0,10.9775,6.2,0.244867,0.8833,0.0,0,0.8833,5,11.419,0.0
Env. (realmap_a),CNN-DDQN,12,209,40,315,33,1.0,11.0887,6.25,0.250028,1.26928,0.0,0,1.26928,5,11.723,0.0
