Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN+Duel,0,100,24,302,22,1.0,20.1381,10.8,0.085608,1.31721,0.0,0,1.31721,2,20.797,0.0
Env. (realmap_a),CNN-DQN+Duel,1,306,40,33,21,1.0,27.6225,14.5,0.083083,1.01397,0.0,0,1.01397,3,28.129,0.0
Env. (realmap_a),CNN-DQN+Duel,2,36,36,352,62,0.0,35.2363,22.1,0.18692,2.45679,0.0,2,2.45679,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,3,120,19,382,101,1.0,30.69,16.05,0.135883,1.10696,0.0,0,1.10696,4,31.243,0.0
Env. (realmap_a),CNN-DQN+Duel,4,392,116,23,14,1.0,42.5719,22.0,0.151578,1.54726,0.0,0,1.54726,5,43.346,0.0
Env. (realmap_a),CNN-DQN+Duel,5,64,13,370,66,1.0,32.8006,17.15,0.124453,1.11471,0.0,0,1.11471,4,33.358,0.0
Env. (realmap_a),CNN-DQN+Duel,6,6,37,226,23,1.0,22.6106,11.95,0.14804,0.77037,0.0,0,0.77037,4,22.996,0.0
Env. (realmap_a),CNN-DQN+Duel,7,382,37,158,41,1.0,22.4569,12.0,0.10044,0.80707,0.0,0,0.80707,3,22.86,0.0
Env. (realmap_a),CNN-DQN+Duel,8,40,24,315,33,0.0,31.0619,18.3,0.130763,1.83881,0.0,1,1.83881,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,9,102,20,311,37,1.0,21.2756,11.35,0.131935,0.95838,0.0,0,0.95838,5,21.755,0.0
Env. (realmap_a),CNN-DQN+Duel,10,36,21,366,64,1.0,35.1087,18.2,0.121728,0.77476,0.0,0,0.77476,4,35.496,0.0
Env. (realmap_a),CNN-DQN+Duel,11,246,29,17,33,0.0,0.6487,5.7,0.552194,0.67116,0.0,0,0.67116,0,inf,inf
Env. (realmap_a),CNN-DQN+Duel,12,373,87,222,41,1.0,19.01,10.7,0.260044,0.56792,0.0,0,0.56792,5,19.294,0.0
Env. (realmap_a),CNN-DQN+Duel,13,243,42,59,58,0.0,19.8856,12.1,0.168353,0.62722,0.0,1,0.62722,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,14,19,35,379,52,1.0,36.89,19.15,0.11374,0.60036,0.0,0,0.60036,4,37.19,0.0
Env. (realmap_a),CNN-DQN+Duel,15,366,86,150,13,1.0,26.3544,13.85,0.251818,0.44622,0.0,0,0.44622,5,26.577,0.0
Env. (realmap_a),CNN-DQN+Duel,16,90,38,379,39,1.0,28.8981,15.15,0.117172,0.4894,0.0,0,0.4894,2,29.143,0.0
Env. (realmap_a),CNN-DQN+Duel,17,125,18,369,18,1.0,24.3975,14.6,0.116868,0.66838,0.0,0,0.66838,4,24.732,0.0
Env. (realmap_a),CNN-DQN+Duel,18,377,109,199,27,1.0,23.5162,12.4,0.194273,0.40226,0.0,0,0.40226,4,23.717,0.0
Env. (realmap_a),CNN-DQN+Duel,19,44,22,260,22,1.0,21.6069,11.45,0.077906,0.37763,0.0,0,0.37763,2,21.796,0.0
Env. (realmap_a),CNN-DQN+Duel,20,368,18,148,31,1.0,22.335,12.55,0.106299,0.46516,0.0,0,0.46516,5,22.568,0.0
Env. (realmap_a),CNN-DQN+Duel,21,28,32,369,93,1.0,39.1162,20.2,0.142879,0.64376,0.0,0,0.64376,4,39.438,0.0
Env. (realmap_a),CNN-DQN+Duel,22,390,78,189,19,1.0,22.7125,12.0,0.181855,0.44988,0.0,0,0.44988,5,22.937,0.0
Env. (realmap_a),CNN-DQN+Duel,23,217,32,374,88,1.0,19.2206,10.35,0.209425,0.37351,0.0,0,0.37351,5,19.407,0.0
Env. (realmap_a),CNN-DQN+Duel,24,392,120,177,25,1.0,27.2475,14.4,0.166644,0.47614,0.0,0,0.47614,3,27.486,0.0
Env. (realmap_a),CNN-DQN+Duel,25,55,44,381,122,0.0,39.2131,21.85,0.161959,0.9315,0.0,1,0.9315,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,26,371,52,157,39,0.0,0.5306,5.7,0.538138,0.63478,0.0,0,0.63478,0,inf,inf
Env. (realmap_a),CNN-DQN+Duel,27,373,95,151,34,1.0,28.075,14.7,0.224756,0.46706,0.0,0,0.46706,5,28.309,0.0
Env. (realmap_a),CNN-DQN+Duel,28,139,20,395,37,1.0,25.8906,13.65,0.125448,0.73965,0.0,0,0.73965,5,26.26,0.0
Env. (realmap_a),CNN-DQN+Duel,29,29,14,234,13,1.0,20.6544,11.05,0.128479,0.42194,0.0,0,0.42194,3,20.865,0.0
Env. (realmap_a),CNN-DQN+Duel,30,386,78,74,11,1.0,33.7756,17.6,0.155848,0.56668,0.0,0,0.56668,5,34.059,0.0
Env. (realmap_a),CNN-DQN+Duel,31,375,48,125,35,1.0,25.9144,13.6,0.158036,0.51527,0.0,0,0.51527,3,26.172,0.0
Env. (realmap_a),CNN-DQN+Duel,32,394,38,158,24,1.0,23.8794,12.65,0.106534,0.62154,0.0,0,0.62154,3,24.19,0.0
Env. (realmap_a),CNN-DQN+Duel,33,278,25,36,22,1.0,24.1225,12.75,0.084011,0.63941,0.0,0,0.63941,3,24.442,0.0
Env. (realmap_a),CNN-DQN+Duel,34,14,35,206,40,1.0,19.9731,10.65,0.131447,0.38352,0.0,0,0.38352,2,20.165,0.0
Env. (realmap_a),CNN-DQN+Duel,35,107,19,357,107,1.0,32.2956,16.8,0.169149,0.55312,0.0,0,0.55312,5,32.572,0.0
Env. (realmap_a),CNN-DQN+Duel,36,183,14,366,119,1.0,26.4556,13.95,0.202931,0.47563,0.0,0,0.47563,5,26.693,0.0
Env. (realmap_a),CNN-DQN+Duel,37,221,33,11,43,1.0,20.9244,11.15,0.093811,0.37996,0.0,0,0.37996,2,21.114,0.0
Env. (realmap_a),CNN-DQN+Duel,38,371,47,69,12,1.0,30.8212,16.2,0.11953,0.48461,0.0,0,0.48461,5,31.064,0.0
Env. (realmap_a),CNN-DQN+Duel,39,54,14,328,35,1.0,27.9019,14.65,0.113253,0.47646,0.0,0,0.47646,3,28.14,0.0
Env. (realmap_a),CNN-DQN+Duel,40,62,40,271,15,0.0,22.0356,13.25,0.158465,0.76114,0.0,1,0.76114,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,41,24,22,333,21,1.0,30.7794,16.7,0.080659,0.59971,0.0,0,0.59971,3,31.079,0.0
Env. (realmap_a),CNN-DQN+Duel,42,186,17,391,43,1.0,20.9019,11.1,0.137719,0.40878,0.0,0,0.40878,2,21.106,0.0
Env. (realmap_a),CNN-DQN+Duel,43,380,65,198,33,1.0,20.0162,10.65,0.225064,0.37301,0.0,0,0.37301,4,20.203,0.0
Env. (realmap_a),CNN-DQN+Duel,44,7,34,180,24,1.0,19.4144,10.35,0.240889,0.36288,0.0,0,0.36288,5,19.596,0.0
Env. (realmap_a),CNN-DQN+Duel,45,52,55,376,53,0.0,0.6806,5.6,0.73636,1.12764,0.0,0,1.12764,1,inf,inf
Env. (realmap_a),CNN-DQN+Duel,46,53,52,356,74,0.0,0.5494,3.0,4.464832,0.31149,0.0,1,0.31149,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,47,351,17,107,42,1.0,24.825,14.15,0.131178,0.8487,0.0,0,0.8487,3,25.249,0.0
Env. (realmap_a),CNN-DQN+Duel,48,388,95,151,20,1.0,27.5075,14.45,0.183502,0.58763,0.0,0,0.58763,5,27.801,0.0
Env. (realmap_a),CNN-DQN+Duel,49,176,39,390,122,0.0,27.065,18.3,0.200106,2.4123,0.0,2,2.4123,180,inf,inf
