Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN+Duel,0,184,37,302,22,1.0,11.8725,7.05,0.126839,1.85438,0.0,0,1.85438,2,12.8,0.0
Env. (realmap_a),CNN-DQN+Duel,1,160,20,101,35,1.0,6.2413,3.85,0.248323,0.66061,0.0,0,0.66061,3,6.572,0.0
Env. (realmap_a),CNN-DQN+Duel,2,286,40,352,62,0.0,10.0862,9.55,0.313327,2.84799,0.0,2,2.84799,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,3,152,18,77,11,1.0,7.6038,4.45,0.265524,0.5341,0.0,0,0.5341,4,7.871,0.0
Env. (realmap_a),CNN-DQN+Duel,4,379,108,312,36,1.0,11.9387,6.7,0.250835,0.81913,0.0,0,0.81913,3,12.348,0.0
Env. (realmap_a),CNN-DQN+Duel,5,306,37,353,69,1.0,8.6544,5.0,0.374283,0.64735,0.0,0,0.64735,5,8.978,0.0
Env. (realmap_a),CNN-DQN+Duel,6,127,45,23,14,1.0,11.1162,6.2,0.168126,0.77439,0.0,0,0.77439,2,11.503,0.0
Env. (realmap_a),CNN-DQN+Duel,7,275,44,385,68,0.0,13.1075,10.55,0.239986,3.58254,0.0,2,3.58254,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,8,256,43,142,14,1.0,11.6412,6.75,0.128668,0.97259,0.0,0,0.97259,3,12.128,0.0
Env. (realmap_a),CNN-DQN+Duel,9,353,21,226,23,1.0,12.7594,8.1,0.113051,1.21433,0.0,0,1.21433,5,13.367,0.0
Env. (realmap_a),CNN-DQN+Duel,10,106,19,158,41,0.0,5.7581,5.8,0.164462,1.69821,0.0,0,1.69821,1,inf,inf
Env. (realmap_a),CNN-DQN+Duel,11,278,26,374,65,1.0,11.1075,6.25,0.214578,0.75327,0.0,0,0.75327,4,11.484,0.0
Env. (realmap_a),CNN-DQN+Duel,12,209,40,315,33,1.0,10.7531,6.1,0.223968,0.73896,0.0,0,0.73896,5,11.123,0.0
Env. (realmap_a),CNN-DQN+Duel,13,172,45,52,58,1.0,12.6263,7.0,0.21406,0.92883,0.0,0,0.92883,3,13.091,0.0
Env. (realmap_a),CNN-DQN+Duel,14,214,35,105,14,1.0,11.0794,6.25,0.147872,0.84628,0.0,0,0.84628,5,11.503,0.0
Env. (realmap_a),CNN-DQN+Duel,15,93,19,17,33,1.0,7.5163,4.4,0.091123,0.65932,0.0,0,0.65932,2,7.846,0.0
Env. (realmap_a),CNN-DQN+Duel,16,99,35,222,41,0.0,13.3581,9.5,0.169137,1.74641,0.0,2,1.74641,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,17,114,37,30,20,1.0,8.9156,5.4,0.20878,0.81204,0.0,0,0.81204,4,9.322,0.0
Env. (realmap_a),CNN-DQN+Duel,18,133,28,59,58,0.0,9.0725,6.8,0.278064,1.28303,0.0,1,1.28303,180,inf,inf
Env. (realmap_a),CNN-DQN+Duel,19,280,42,379,52,1.0,10.0163,5.65,0.14634,0.61978,0.0,0,0.61978,5,10.326,0.0
Env. (realmap_a),CNN-DQN+Duel,20,249,20,358,39,1.0,11.0144,6.15,0.132081,0.65552,0.0,0,0.65552,4,11.342,0.0
