Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN,0,100,24,302,22,1.0,19.9837,10.75,0.070128,0.63072,0.0,0,0.63072,1,20.299,0.0
Env. (realmap_a),CNN-DQN,1,306,40,33,21,1.0,27.57,14.45,0.082146,0.39447,0.0,0,0.39447,3,27.767,0.0
Env. (realmap_a),CNN-DQN,2,36,36,352,62,0.0,36.1944,22.7,0.158813,0.9748,0.0,2,0.9748,180,inf,inf
Env. (realmap_a),CNN-DQN,3,120,19,382,101,1.0,30.5831,16.0,0.16671,0.44409,0.0,0,0.44409,5,30.805,0.0
Env. (realmap_a),CNN-DQN,4,392,116,23,14,1.0,42.3638,21.9,0.145143,0.55018,0.0,0,0.55018,5,42.639,0.0
Env. (realmap_a),CNN-DQN,5,64,13,370,66,1.0,32.3906,17.0,0.124647,0.57241,0.0,0,0.57241,4,32.677,0.0
Env. (realmap_a),CNN-DQN,6,6,37,226,23,1.0,22.7819,12.3,0.194284,0.89535,0.0,0,0.89535,5,23.23,0.0
Env. (realmap_a),CNN-DQN,7,382,37,158,41,1.0,22.5637,12.05,0.135214,0.36131,0.0,0,0.36131,5,22.744,0.0
Env. (realmap_a),CNN-DQN,8,40,24,315,33,0.0,27.835,18.75,0.097151,1.47268,0.0,2,1.47268,180,inf,inf
Env. (realmap_a),CNN-DQN,9,102,20,311,37,1.0,21.2594,11.35,0.154354,0.46083,0.0,0,0.46083,5,21.49,0.0
Env. (realmap_a),CNN-DQN,10,36,21,366,64,1.0,34.9881,18.15,0.12992,0.68246,0.0,0,0.68246,5,35.329,0.0
Env. (realmap_a),CNN-DQN,11,246,29,17,33,0.0,0.525,5.25,0.429883,0.96991,0.0,0,0.96991,0,inf,inf
Env. (realmap_a),CNN-DQN,12,373,87,222,41,1.0,18.8019,10.25,0.259262,0.37958,0.0,0,0.37958,5,18.992,0.0
Env. (realmap_a),CNN-DQN,13,243,42,59,58,0.0,19.885,12.1,0.163621,0.94457,0.0,1,0.94457,180,inf,inf
Env. (realmap_a),CNN-DQN,14,19,35,379,52,1.0,36.3737,18.9,0.116661,0.79286,0.0,0,0.79286,4,36.77,0.0
Env. (realmap_a),CNN-DQN,15,366,86,150,13,1.0,26.3581,13.85,0.215251,0.64521,0.0,0,0.64521,5,26.681,0.0
Env. (realmap_a),CNN-DQN,16,90,38,379,39,1.0,28.9131,15.15,0.123202,0.58038,0.0,0,0.58038,3,29.203,0.0
Env. (realmap_a),CNN-DQN,17,125,18,369,18,1.0,24.5494,14.5,0.153846,0.75339,0.0,0,0.75339,3,24.926,0.0
Env. (realmap_a),CNN-DQN,18,377,109,199,27,1.0,23.5587,12.5,0.251824,0.58755,0.0,0,0.58755,5,23.853,0.0
Env. (realmap_a),CNN-DQN,19,44,22,260,22,1.0,21.4262,11.4,0.065078,0.50663,0.0,0,0.50663,3,21.68,0.0
Env. (realmap_a),CNN-DQN,20,368,18,148,31,0.0,19.7606,14.85,0.248982,0.94786,0.0,1,0.94786,180,inf,inf
Env. (realmap_a),CNN-DQN,21,28,32,369,93,1.0,38.6294,20.0,0.172682,0.68792,0.0,0,0.68792,5,38.973,0.0
Env. (realmap_a),CNN-DQN,22,390,78,189,19,1.0,22.6163,11.95,0.210879,0.36297,0.0,0,0.36297,4,22.798,0.0
Env. (realmap_a),CNN-DQN,23,217,32,374,88,1.0,19.0675,10.3,0.20101,0.31695,0.0,0,0.31695,5,19.226,0.0
Env. (realmap_a),CNN-DQN,24,392,120,177,25,1.0,27.0319,14.2,0.189815,0.45342,0.0,0,0.45342,5,27.259,0.0
Env. (realmap_a),CNN-DQN,25,55,44,381,122,0.0,39.2919,21.85,0.176826,0.81363,0.0,1,0.81363,180,inf,inf
Env. (realmap_a),CNN-DQN,26,371,52,157,39,0.0,0.3994,4.15,5.208557,0.68022,0.0,1,0.68022,180,inf,inf
Env. (realmap_a),CNN-DQN,27,373,95,151,34,1.0,27.0844,14.35,0.273296,0.63567,0.0,0,0.63567,5,27.402,0.0
Env. (realmap_a),CNN-DQN,28,139,20,395,37,1.0,26.4544,14.25,0.166278,0.51251,0.0,0,0.51251,5,26.711,0.0
Env. (realmap_a),CNN-DQN,29,29,14,234,13,1.0,20.8525,11.2,0.135528,0.41795,0.0,0,0.41795,5,21.061,0.0
Env. (realmap_a),CNN-DQN,30,386,78,74,11,1.0,33.9963,17.7,0.157697,0.82903,0.0,0,0.82903,5,34.411,0.0
Env. (realmap_a),CNN-DQN,31,375,48,125,35,0.0,20.6294,14.25,0.169826,1.21541,0.0,2,1.21541,180,inf,inf
Env. (realmap_a),CNN-DQN,32,394,38,158,24,1.0,24.1669,12.85,0.134941,0.53771,0.0,0,0.53771,5,24.436,0.0
Env. (realmap_a),CNN-DQN,33,278,25,36,22,1.0,24.1538,12.85,0.078361,0.40381,0.0,0,0.40381,2,24.356,0.0
Env. (realmap_a),CNN-DQN,34,14,35,206,40,1.0,19.2031,10.25,0.185243,0.55957,0.0,0,0.55957,5,19.483,0.0
Env. (realmap_a),CNN-DQN,35,107,19,357,107,1.0,32.1931,16.75,0.163557,0.65144,0.0,0,0.65144,5,32.519,0.0
Env. (realmap_a),CNN-DQN,36,183,14,366,119,1.0,26.1162,13.7,0.173011,0.49258,0.0,0,0.49258,4,26.363,0.0
Env. (realmap_a),CNN-DQN,37,221,33,11,43,1.0,21.1856,11.3,0.195341,0.56691,0.0,0,0.56691,5,21.469,0.0
Env. (realmap_a),CNN-DQN,38,371,47,69,12,1.0,30.7556,16.2,0.115048,0.73531,0.0,0,0.73531,4,31.123,0.0
Env. (realmap_a),CNN-DQN,39,54,14,328,35,1.0,27.7937,14.7,0.108583,0.68038,0.0,0,0.68038,3,28.134,0.0
Env. (realmap_a),CNN-DQN,40,62,40,271,15,0.0,22.8325,15.45,0.166037,1.37212,0.0,2,1.37212,180,inf,inf
Env. (realmap_a),CNN-DQN,41,24,22,333,21,0.0,28.2125,17.05,0.073019,0.72104,0.0,1,0.72104,180,inf,inf
Env. (realmap_a),CNN-DQN,42,186,17,391,43,1.0,20.9769,11.15,0.155639,0.35655,0.0,0,0.35655,4,21.155,0.0
Env. (realmap_a),CNN-DQN,43,380,65,198,33,1.0,19.4794,10.45,0.21848,0.37329,0.0,0,0.37329,5,19.666,0.0
Env. (realmap_a),CNN-DQN,44,7,34,180,24,1.0,17.7581,9.7,0.178806,0.36175,0.0,0,0.36175,4,17.939,0.0
Env. (realmap_a),CNN-DQN,45,52,55,376,53,0.0,0.69,5.75,0.766836,0.47704,0.0,0,0.47704,1,inf,inf
Env. (realmap_a),CNN-DQN,46,53,52,356,74,0.0,0.6562,5.2,0.713855,0.5517,0.0,0,0.5517,1,inf,inf
Env. (realmap_a),CNN-DQN,47,351,17,107,42,1.0,24.7444,15.45,0.151272,0.54825,0.0,0,0.54825,4,25.019,0.0
Env. (realmap_a),CNN-DQN,48,388,95,151,20,1.0,27.3262,14.35,0.161731,0.52318,0.0,0,0.52318,3,27.588,0.0
Env. (realmap_a),CNN-DQN,49,176,39,390,122,0.0,26.8425,15.7,0.182936,0.65133,0.0,1,0.65133,180,inf,inf
