Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN+Duel,0,100,24,302,22,1.0,20.125,10.9,0.085048,0.96439,0.0,0,0.96439,1,20.607,0.0
Env. (realmap_a),CNN-DQN+Duel,1,306,40,33,21,1.0,27.6356,14.6,0.083021,1.14472,0.0,0,1.14472,2,28.208,0.0
Env. (realmap_a),CNN-DQN+Duel,2,36,36,352,62,0.0,35.4581,20.1,0.185221,1.57135,0.0,0,1.57135,5,inf,inf
Env. (realmap_a),CNN-DQN+Duel,3,120,19,382,101,1.0,30.6637,16.1,0.125803,0.88712,0.0,0,0.88712,4,31.107,0.0
Env. (realmap_a),CNN-DQN+Duel,4,392,116,23,14,1.0,42.3081,21.9,0.137684,1.29025,0.0,0,1.29025,4,42.953,0.0
Env. (realmap_a),CNN-DQN+Duel,5,64,13,370,66,1.0,32.5912,17.05,0.122384,0.74419,0.0,0,0.74419,3,32.963,0.0
Env. (realmap_a),CNN-DQN+Duel,6,6,37,226,23,1.0,22.2162,11.75,0.110723,0.54618,0.0,0,0.54618,5,22.489,0.0
Env. (realmap_a),CNN-DQN+Duel,7,382,37,158,41,1.0,22.5856,12.05,0.135207,0.59146,0.0,0,0.59146,5,22.881,0.0
Env. (realmap_a),CNN-DQN+Duel,8,40,24,315,33,1.0,28.3781,15.3,0.163332,0.76418,0.0,0,0.76418,5,28.76,0.0
Env. (realmap_a),CNN-DQN+Duel,9,102,20,311,37,1.0,21.315,11.4,0.117472,0.72794,0.0,0,0.72794,3,21.679,0.0
Env. (realmap_a),CNN-DQN+Duel,10,36,21,366,64,1.0,35.2631,18.4,0.122402,0.73084,0.0,0,0.73084,3,35.629,0.0
Env. (realmap_a),CNN-DQN+Duel,11,246,29,17,33,1.0,23.2519,12.6,0.150347,0.5999,0.0,0,0.5999,4,23.552,0.0
Env. (realmap_a),CNN-DQN+Duel,12,373,87,222,41,1.0,19.0037,10.2,0.320415,0.50856,0.0,0,0.50856,5,19.258,0.0
