Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN+Duel,0,184,37,302,22,1.0,11.8294,6.9,0.107377,2.28781,0.0,0,2.28781,3,12.973,0.0
Env. (realmap_a),CNN-DQN+Duel,1,160,20,101,35,1.0,6.2106,3.75,0.265661,1.05501,0.0,0,1.05501,4,6.738,0.0
Env. (realmap_a),CNN-DQN+Duel,2,286,40,352,62,0.0,10.215,7.25,0.316289,1.7633,0.0,0,1.7633,5,inf,inf
Env. (realmap_a),CNN-DQN+Duel,3,152,18,77,11,1.0,7.6163,4.45,0.22139,0.30328,0.0,0,0.30328,4,7.768,0.0
Env. (realmap_a),CNN-DQN+Duel,4,379,108,312,36,1.0,11.6163,6.45,0.247579,0.43431,0.0,0,0.43431,4,11.833,0.0
Env. (realmap_a),CNN-DQN+Duel,5,306,37,353,69,1.0,8.3231,4.85,0.373584,0.47374,0.0,0,0.47374,5,8.56,0.0
Env. (realmap_a),CNN-DQN+Duel,6,127,45,23,14,1.0,11.8594,6.7,0.186826,0.66101,0.0,0,0.66101,4,12.19,0.0
Env. (realmap_a),CNN-DQN+Duel,7,275,44,385,68,1.0,11.94,6.65,0.210794,0.65973,0.0,0,0.65973,4,12.27,0.0
Env. (realmap_a),CNN-DQN+Duel,8,256,43,142,14,1.0,11.7806,6.8,0.117796,0.45661,0.0,0,0.45661,2,12.009,0.0
Env. (realmap_a),CNN-DQN+Duel,9,353,21,226,23,1.0,12.8244,8.95,0.143299,1.11612,0.0,0,1.11612,2,13.382,0.0
Env. (realmap_a),CNN-DQN+Duel,10,106,19,158,41,0.0,6.6037,5.45,0.278523,1.01221,0.0,0,1.01221,4,inf,inf
Env. (realmap_a),CNN-DQN+Duel,11,278,26,374,65,1.0,10.9837,6.2,0.186428,0.80541,0.0,0,0.80541,3,11.386,0.0
Env. (realmap_a),CNN-DQN+Duel,12,209,40,315,33,1.0,10.7381,6.1,0.188876,0.6184,0.0,0,0.6184,5,11.047,0.0
Env. (realmap_a),CNN-DQN+Duel,13,172,45,52,58,1.0,12.8437,7.1,0.258511,0.61751,0.0,0,0.61751,3,13.153,0.0
Env. (realmap_a),CNN-DQN+Duel,14,214,35,105,14,1.0,11.1725,6.35,0.144965,0.78122,0.0,0,0.78122,4,11.563,0.0
Env. (realmap_a),CNN-DQN+Duel,15,93,19,17,33,1.0,7.5769,4.45,0.104713,0.48458,0.0,0,0.48458,2,7.819,0.0
Env. (realmap_a),CNN-DQN+Duel,16,99,35,222,41,1.0,12.2512,6.95,0.233538,0.73848,0.0,0,0.73848,3,12.62,0.0
Env. (realmap_a),CNN-DQN+Duel,17,114,37,30,20,1.0,8.785,5.05,0.222668,0.57921,0.0,0,0.57921,3,9.075,0.0
Env. (realmap_a),CNN-DQN+Duel,18,133,28,59,58,0.0,1.5,3.7,0.477611,1.00776,0.0,0,1.00776,3,inf,inf
Env. (realmap_a),CNN-DQN+Duel,19,280,42,379,52,1.0,9.9619,5.65,0.11052,0.55786,0.0,0,0.55786,2,10.241,0.0
Env. (realmap_a),CNN-DQN+Duel,20,249,20,358,39,1.0,11.1544,6.25,0.149148,0.66954,0.0,0,0.66954,4,11.489,0.0
Env. (realmap_a),CNN-DQN+Duel,21,256,36,150,13,1.0,10.9544,6.15,0.243002,0.67001,0.0,0,0.67001,4,11.289,0.0
Env. (realmap_a),CNN-DQN+Duel,22,384,105,379,39,1.0,6.4162,3.85,0.011953,0.5479,0.0,0,0.5479,2,6.69,0.0
Env. (realmap_a),CNN-DQN+Duel,23,53,14,134,39,0.0,7.2881,8.4,0.280642,2.75651,0.0,0,2.75651,4,inf,inf
Env. (realmap_a),CNN-DQN+Duel,24,220,32,130,17,1.0,8.9981,5.2,0.11787,0.51273,0.0,0,0.51273,5,9.254,0.0
Env. (realmap_a),CNN-DQN+Duel,25,179,11,236,21,1.0,5.9131,3.6,0.35334,0.61144,0.0,0,0.61144,5,6.219,0.0
Env. (realmap_a),CNN-DQN+Duel,26,142,32,37,25,1.0,10.7419,6.05,0.177081,0.57479,0.0,0,0.57479,3,11.029,0.0
Env. (realmap_a),CNN-DQN+Duel,27,20,34,100,35,1.0,7.9144,4.6,0.187376,0.48344,0.0,0,0.48344,4,8.156,0.0
Env. (realmap_a),CNN-DQN+Duel,28,254,40,199,27,0.0,6.9769,5.7,0.499025,0.63407,0.0,1,0.63407,180,inf,inf
