Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN,0,100,24,302,22,1.0,20.0431,10.7,0.069524,0.72614,0.0,0,0.72614,1,20.406,0.0
Env. (realmap_a),CNN-DQN,1,306,40,33,21,1.0,27.7494,14.6,0.111864,0.6088,0.0,0,0.6088,4,28.054,0.0
Env. (realmap_a),CNN-DQN,2,36,36,352,62,0.0,35.4562,19.95,0.174709,0.96776,0.0,1,0.96776,180,inf,inf
Env. (realmap_a),CNN-DQN,3,120,19,382,101,1.0,30.8069,16.05,0.141339,0.56818,0.0,0,0.56818,5,31.091,0.0
Env. (realmap_a),CNN-DQN,4,392,116,23,14,1.0,42.3269,21.9,0.136455,0.98699,0.0,0,0.98699,4,42.82,0.0
Env. (realmap_a),CNN-DQN,5,64,13,370,66,1.0,32.4681,16.95,0.120583,0.7295,0.0,0,0.7295,5,32.833,0.0
Env. (realmap_a),CNN-DQN,6,6,37,226,23,1.0,22.115,11.75,0.076586,0.49043,0.0,0,0.49043,1,22.36,0.0
Env. (realmap_a),CNN-DQN,7,382,37,158,41,1.0,22.4262,11.9,0.126118,0.48229,0.0,0,0.48229,5,22.667,0.0
Env. (realmap_a),CNN-DQN,8,40,24,315,33,1.0,27.8619,14.6,0.086911,0.55462,0.0,0,0.55462,2,28.139,0.0
Env. (realmap_a),CNN-DQN,9,102,20,311,37,1.0,21.09,11.2,0.105717,0.44243,0.0,0,0.44243,3,21.311,0.0
Env. (realmap_a),CNN-DQN,10,36,21,366,64,1.0,34.8969,18.2,0.114423,0.75028,0.0,0,0.75028,5,35.272,0.0
Env. (realmap_a),CNN-DQN,11,246,29,17,33,0.0,0.6319,5.55,0.379697,0.75349,0.0,0,0.75349,0,inf,inf
Env. (realmap_a),CNN-DQN,12,373,87,222,41,1.0,18.8831,10.15,0.268085,0.53243,0.0,0,0.53243,5,19.149,0.0
Env. (realmap_a),CNN-DQN,13,243,42,59,58,0.0,20.0544,12.25,0.207822,1.21809,0.0,1,1.21809,180,inf,inf
Env. (realmap_a),CNN-DQN,14,19,35,379,52,1.0,36.8206,19.1,0.112794,0.92483,0.0,0,0.92483,5,37.283,0.0
Env. (realmap_a),CNN-DQN,15,366,86,150,13,1.0,26.3281,14.05,0.305955,0.67864,0.0,1,0.67864,180,26.667,0.0
Env. (realmap_a),CNN-DQN,16,90,38,379,39,1.0,28.9488,15.15,0.12903,0.75775,0.0,0,0.75775,4,29.328,0.0
Env. (realmap_a),CNN-DQN,17,125,18,369,18,1.0,24.3337,13.9,0.097396,0.73329,0.0,0,0.73329,5,24.7,0.0
Env. (realmap_a),CNN-DQN,18,377,109,199,27,1.0,23.5162,12.4,0.200649,0.67563,0.0,0,0.67563,4,23.854,0.0
Env. (realmap_a),CNN-DQN,19,44,22,260,22,1.0,21.5163,11.4,0.076401,0.56213,0.0,0,0.56213,3,21.797,0.0
Env. (realmap_a),CNN-DQN,20,368,18,148,31,0.0,5.6569,7.8,0.190574,0.73447,0.0,1,0.73447,180,inf,inf
Env. (realmap_a),CNN-DQN,21,28,32,369,93,1.0,39.0225,20.2,0.144694,0.89125,0.0,0,0.89125,5,39.468,0.0
