Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN,0,184,37,302,22,0.0,10.1506,13.3,0.451054,8.85357,0.0,2,8.85357,180,inf,inf
Env. (realmap_a),CNN-DQN,1,160,20,101,35,1.0,6.825,4.1,0.432428,0.94016,0.0,0,0.94016,5,7.295,0.0
Env. (realmap_a),CNN-DQN,2,286,40,352,62,0.0,10.3194,7.2,0.328172,1.95861,0.0,1,1.95861,180,inf,inf
Env. (realmap_a),CNN-DQN,3,152,18,77,11,1.0,7.5769,4.45,0.192354,1.00781,0.0,0,1.00781,4,8.081,0.0
Env. (realmap_a),CNN-DQN,4,379,108,312,36,1.0,11.6163,6.45,0.267054,0.95589,0.0,0,0.95589,5,12.094,0.0
Env. (realmap_a),CNN-DQN,5,306,37,353,69,0.0,8.735,6.55,0.421182,2.08593,0.0,1,2.08593,180,inf,inf
Env. (realmap_a),CNN-DQN,6,127,45,23,14,1.0,11.1181,6.25,0.206985,0.96244,0.0,0,0.96244,5,11.599,0.0
Env. (realmap_a),CNN-DQN,7,275,44,385,68,1.0,11.9163,6.6,0.194444,1.15722,0.0,0,1.15722,4,12.495,0.0
Env. (realmap_a),CNN-DQN,8,256,43,142,14,1.0,11.6062,6.5,0.101131,1.18648,0.0,0,1.18648,3,12.199,0.0
Env. (realmap_a),CNN-DQN,9,353,21,226,23,1.0,12.5662,7.9,0.126155,1.21583,0.0,0,1.21583,4,13.174,0.0
Env. (realmap_a),CNN-DQN,10,106,19,158,41,1.0,5.6962,3.6,0.296345,0.59753,0.0,0,0.59753,5,5.995,0.0
Env. (realmap_a),CNN-DQN,11,278,26,374,65,1.0,10.9894,6.2,0.198657,0.96815,0.0,0,0.96815,5,11.473,0.0
Env. (realmap_a),CNN-DQN,12,209,40,315,33,1.0,10.6713,6.0,0.16173,0.91394,0.0,0,0.91394,3,11.128,0.0
Env. (realmap_a),CNN-DQN,13,172,45,52,58,1.0,12.7162,7.0,0.232776,1.07685,0.0,0,1.07685,3,13.255,0.0
Env. (realmap_a),CNN-DQN,14,214,35,105,14,1.0,11.1825,6.3,0.149145,0.90091,0.0,0,0.90091,4,11.633,0.0
