Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DQN,0,184,37,302,22,1.0,11.995,7.05,0.144635,0.85859,0.0,0,0.85859,2,12.424,0.0
Env. (realmap_a),CNN-DQN,1,160,20,101,35,1.0,6.1856,3.75,0.233134,0.32729,0.0,0,0.32729,4,6.349,0.0
Env. (realmap_a),CNN-DQN,2,286,40,352,62,0.0,10.1081,9.65,0.3458,1.74945,0.0,0,1.74945,5,inf,inf
Env. (realmap_a),CNN-DQN,3,152,18,77,11,1.0,7.5769,4.45,0.197463,0.32618,0.0,0,0.32618,5,7.74,0.0
Env. (realmap_a),CNN-DQN,4,379,108,312,36,0.0,12.4013,10.85,0.35204,1.42577,0.0,0,1.42577,5,inf,inf
Env. (realmap_a),CNN-DQN,5,306,37,353,69,1.0,8.3719,4.85,0.364171,0.36436,0.0,0,0.36436,5,8.554,0.0
Env. (realmap_a),CNN-DQN,6,127,45,23,14,1.0,11.1962,6.25,0.210684,0.40496,0.0,0,0.40496,5,11.399,0.0
Env. (realmap_a),CNN-DQN,7,275,44,385,68,0.0,12.4406,8.4,0.24101,0.79995,0.0,1,0.79995,180,inf,inf
Env. (realmap_a),CNN-DQN,8,256,43,142,14,1.0,11.6737,6.8,0.156317,0.51629,0.0,0,0.51629,3,11.932,0.0
Env. (realmap_a),CNN-DQN,9,353,21,226,23,1.0,14.1912,7.95,0.348092,0.5403,0.0,0,0.5403,5,14.461,0.0
Env. (realmap_a),CNN-DQN,10,106,19,158,41,1.0,5.7881,3.55,0.286613,0.2941,0.0,0,0.2941,3,5.935,0.0
Env. (realmap_a),CNN-DQN,11,278,26,374,65,1.0,10.9738,6.25,0.241664,0.23604,0.0,0,0.23604,5,11.092,0.0
Env. (realmap_a),CNN-DQN,12,209,40,315,33,1.0,10.8263,6.15,0.213362,0.46102,0.0,0,0.46102,4,11.057,0.0
Env. (realmap_a),CNN-DQN,13,172,45,52,58,1.0,12.59,6.95,0.220643,0.35586,0.0,0,0.35586,3,12.768,0.0
