Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),MLP-DQN,0,100,24,302,22,0.0,18.8719,11.95,0.109875,0.52012,0.0,0,0.52012,2,inf,inf
Env. (realmap_a),MLP-DQN,1,306,40,33,21,1.0,27.6881,14.95,0.128575,0.26048,0.0,0,0.26048,4,27.818,0.667
Env. (realmap_a),MLP-DQN,2,36,36,352,62,0.0,35.0388,19.95,0.185049,0.42143,0.0,1,0.42143,180,inf,inf
Env. (realmap_a),MLP-DQN,3,120,19,382,101,1.0,30.8419,16.3,0.147384,0.33461,0.0,0,0.33461,4,31.009,1.0
Env. (realmap_a),MLP-DQN,4,392,116,23,14,1.0,42.3606,22.2,0.140041,0.41243,0.0,0,0.41243,4,42.567,1.0
Env. (realmap_a),MLP-DQN,5,64,13,370,66,1.0,32.7825,17.8,0.136685,0.29664,0.0,0,0.29664,4,32.931,0.667
Env. (realmap_a),MLP-DQN,6,6,37,226,23,1.0,22.2375,12.0,0.121231,0.22468,0.0,0,0.22468,4,22.35,1.0
Env. (realmap_a),MLP-DQN,7,382,37,158,41,0.0,14.5519,9.85,0.162727,0.39876,0.0,0,0.39876,4,inf,inf
Env. (realmap_a),MLP-DQN,8,40,24,315,33,1.0,27.9838,14.7,0.130106,0.29543,0.0,0,0.29543,5,28.131,0.333
Env. (realmap_a),MLP-DQN,9,102,20,311,37,1.0,21.2606,11.4,0.135396,0.23194,0.0,0,0.23194,5,21.377,0.333
Env. (realmap_a),MLP-DQN,10,36,21,366,64,0.0,35.5144,20.3,0.125003,0.56954,0.0,0,0.56954,5,inf,inf
Env. (realmap_a),MLP-DQN,11,246,29,17,33,0.0,0.6694,5.95,3.669368,0.36186,0.0,1,0.36186,180,inf,inf
Env. (realmap_a),MLP-DQN,12,373,87,222,41,1.0,19.1544,10.4,0.338825,0.23401,0.0,0,0.23401,5,19.271,0.667
Env. (realmap_a),MLP-DQN,13,243,42,59,58,0.0,20.0231,14.85,0.177219,0.76492,0.0,0,0.76492,3,inf,inf
Env. (realmap_a),MLP-DQN,14,19,35,379,52,0.0,37.2688,20.95,0.184238,0.7044,0.0,1,0.7044,180,inf,inf
Env. (realmap_a),MLP-DQN,15,366,86,150,13,1.0,26.5538,14.55,0.271389,0.31953,0.0,0,0.31953,5,26.714,1.0
Env. (realmap_a),MLP-DQN,16,90,38,379,39,0.0,30.0313,17.3,0.187078,0.56667,0.0,1,0.56667,180,inf,inf
Env. (realmap_a),MLP-DQN,17,125,18,369,18,0.0,24.0019,20.0,0.141174,0.7862,0.0,0,0.7862,4,inf,inf
Env. (realmap_a),MLP-DQN,18,377,109,199,27,1.0,23.6794,12.7,0.184816,0.25053,0.0,0,0.25053,5,23.805,0.667
Env. (realmap_a),MLP-DQN,19,44,22,260,22,1.0,21.5006,11.7,0.075955,0.23524,0.0,0,0.23524,4,21.618,0.667
Env. (realmap_a),MLP-DQN,20,368,18,148,31,1.0,22.465,13.15,0.148446,0.34691,0.0,0,0.34691,5,22.638,0.667
Env. (realmap_a),MLP-DQN,21,28,32,369,93,1.0,39.0269,20.25,0.140818,0.36945,0.0,0,0.36945,5,39.212,0.0
Env. (realmap_a),MLP-DQN,22,390,78,189,19,1.0,22.4987,12.05,0.205783,0.24832,0.0,0,0.24832,5,22.623,1.0
Env. (realmap_a),MLP-DQN,23,217,32,374,88,1.0,19.2806,10.6,0.219667,0.24482,0.0,0,0.24482,4,19.403,1.0
Env. (realmap_a),MLP-DQN,24,392,120,177,25,0.0,28.8662,17.15,0.162327,0.54159,0.0,1,0.54159,180,inf,inf
Env. (realmap_a),MLP-DQN,25,55,44,381,122,0.0,40.2081,24.65,0.175208,1.0159,0.0,2,1.0159,180,inf,inf
Env. (realmap_a),MLP-DQN,26,371,52,157,39,0.0,0.5475,5.4,0.29317,0.53542,0.0,0,0.53542,0,inf,inf
Env. (realmap_a),MLP-DQN,27,373,95,151,34,1.0,27.1406,14.55,0.255803,0.32059,0.0,0,0.32059,5,27.301,1.0
Env. (realmap_a),MLP-DQN,28,139,20,395,37,1.0,26.0944,14.0,0.149932,0.29668,0.0,0,0.29668,5,26.243,1.0
Env. (realmap_a),MLP-DQN,29,29,14,234,13,1.0,20.9281,11.2,0.15573,0.25964,0.0,0,0.25964,5,21.058,0.333
Env. (realmap_a),MLP-DQN,30,386,78,74,11,1.0,33.9225,18.05,0.169162,0.32609,0.0,0,0.32609,5,34.086,0.333
Env. (realmap_a),MLP-DQN,31,375,48,125,35,1.0,25.6931,13.75,0.218704,0.26433,0.0,0,0.26433,5,25.825,0.667
Env. (realmap_a),MLP-DQN,32,394,38,158,24,1.0,24.1738,13.1,0.108508,0.26659,0.0,0,0.26659,4,24.307,1.0
Env. (realmap_a),MLP-DQN,33,278,25,36,22,1.0,24.1612,13.35,0.096254,0.25094,0.0,0,0.25094,2,24.287,1.0
Env. (realmap_a),MLP-DQN,34,14,35,206,40,1.0,19.2469,10.3,0.164682,0.22895,0.0,0,0.22895,5,19.361,0.667
Env. (realmap_a),MLP-DQN,35,107,19,357,107,1.0,32.7619,17.4,0.176482,0.38242,0.0,0,0.38242,5,32.953,1.0
Env. (realmap_a),MLP-DQN,36,183,14,366,119,1.0,26.1162,13.7,0.193576,0.2698,0.0,0,0.2698,5,26.251,0.333
