Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),MLP-DQN,0,184,37,302,22,0.0,8.7281,6.65,0.310029,1.25458,0.0,0,1.25458,4,inf,inf
Env. (realmap_a),MLP-DQN,1,160,20,101,35,1.0,6.6544,4.2,0.313487,0.36409,0.0,0,0.36409,3,6.836,1.0
Env. (realmap_a),MLP-DQN,2,286,40,352,62,0.0,10.4287,10.05,0.387228,1.50735,0.0,0,1.50735,5,inf,inf
Env. (realmap_a),MLP-DQN,3,152,18,77,11,0.0,5.85,7.9,0.274269,1.57351,0.0,0,1.57351,3,inf,inf
Env. (realmap_a),MLP-DQN,4,379,108,312,36,1.0,11.5137,6.45,0.251722,0.48063,0.0,0,0.48063,5,11.754,0.333
Env. (realmap_a),MLP-DQN,5,306,37,353,69,1.0,8.3269,4.9,0.370907,0.4784,0.0,0,0.4784,4,8.566,0.667
Env. (realmap_a),MLP-DQN,6,127,45,23,14,1.0,11.2044,6.35,0.153605,0.45521,0.0,0,0.45521,4,11.432,0.333
Env. (realmap_a),MLP-DQN,7,275,44,385,68,0.0,12.7237,13.1,0.230452,2.55416,0.0,0,2.55416,5,inf,inf
Env. (realmap_a),MLP-DQN,8,256,43,142,14,1.0,11.8406,7.15,0.230175,0.42687,0.0,0,0.42687,4,12.054,1.0
Env. (realmap_a),MLP-DQN,9,353,21,226,23,1.0,12.6088,8.0,0.143738,0.58826,0.0,0,0.58826,5,12.903,0.333
Env. (realmap_a),MLP-DQN,10,106,19,158,41,1.0,5.7163,3.55,0.266121,0.32276,0.0,0,0.32276,5,5.878,0.667
Env. (realmap_a),MLP-DQN,11,278,26,374,65,1.0,11.3088,6.3,0.25511,0.37584,0.0,0,0.37584,5,11.497,1.0
Env. (realmap_a),MLP-DQN,12,209,40,315,33,1.0,10.635,6.2,0.262352,0.47017,0.0,0,0.47017,5,10.87,1.0
Env. (realmap_a),MLP-DQN,13,172,45,52,58,1.0,13.0144,7.3,0.237318,0.51573,0.0,0,0.51573,4,13.272,0.333
Env. (realmap_a),MLP-DQN,14,214,35,105,14,1.0,11.1637,6.55,0.160442,0.28508,0.0,0,0.28508,5,11.306,0.333
Env. (realmap_a),MLP-DQN,15,93,19,17,33,0.0,7.6125,5.95,0.339775,0.39155,0.0,1,0.39155,180,inf,inf
Env. (realmap_a),MLP-DQN,16,99,35,222,41,0.0,7.8319,6.7,0.436061,0.60348,0.0,1,0.60348,180,inf,inf
Env. (realmap_a),MLP-DQN,17,114,37,30,20,1.0,8.8631,6.3,0.296261,0.44977,0.0,0,0.44977,5,9.088,1.0
Env. (realmap_a),MLP-DQN,18,133,28,59,58,0.0,9.0319,6.85,0.486412,1.14889,0.0,1,1.14889,180,inf,inf
Env. (realmap_a),MLP-DQN,19,280,42,379,52,0.0,10.5319,7.45,0.193035,1.12547,0.0,0,1.12547,5,inf,inf
Env. (realmap_a),MLP-DQN,20,249,20,358,39,1.0,11.1638,6.35,0.169814,0.3968,0.0,0,0.3968,5,11.362,1.0
Env. (realmap_a),MLP-DQN,21,256,36,150,13,1.0,11.2519,6.7,0.357089,0.75498,0.0,0,0.75498,5,11.629,1.0
Env. (realmap_a),MLP-DQN,22,384,105,379,39,1.0,6.3844,4.15,0.093092,0.33166,0.0,0,0.33166,3,6.55,0.667
Env. (realmap_a),MLP-DQN,23,53,14,134,39,1.0,8.8162,5.05,0.20955,0.34146,0.0,0,0.34146,5,8.987,0.667
Env. (realmap_a),MLP-DQN,24,220,32,130,17,1.0,8.9569,5.25,0.15307,0.47987,0.0,0,0.47987,3,9.197,1.0
Env. (realmap_a),MLP-DQN,25,179,11,236,21,1.0,6.0694,4.45,0.460405,0.33186,0.0,0,0.33186,4,6.235,0.333
Env. (realmap_a),MLP-DQN,26,142,32,37,25,1.0,10.6406,6.0,0.183224,0.44452,0.0,0,0.44452,3,10.863,0.333
Env. (realmap_a),MLP-DQN,27,20,34,100,35,1.0,9.4444,5.55,0.358651,0.43872,0.0,0,0.43872,5,9.664,1.0
Env. (realmap_a),MLP-DQN,28,254,40,199,27,0.0,6.5362,5.45,0.23934,1.19352,0.0,0,1.19352,4,inf,inf
Env. (realmap_a),MLP-DQN,29,288,43,183,27,1.0,11.3319,6.35,0.23473,0.49309,0.0,0,0.49309,5,11.578,1.0
Env. (realmap_a),MLP-DQN,30,283,21,373,38,0.0,2.1619,7.25,1.324149,2.76947,0.0,1,2.76947,180,inf,inf
Env. (realmap_a),MLP-DQN,31,185,23,97,24,1.0,8.6738,5.3,0.165133,0.99342,0.0,0,0.99342,3,9.17,1.0
Env. (realmap_a),MLP-DQN,32,312,34,374,88,1.0,9.6581,5.6,0.303604,0.36078,0.0,0,0.36078,5,9.839,0.667
Env. (realmap_a),MLP-DQN,33,352,61,381,122,0.0,6.7706,7.65,0.088368,2.00394,0.0,0,2.00394,1,inf,inf
Env. (realmap_a),MLP-DQN,34,361,119,380,45,1.0,7.56,4.65,0.162685,0.36274,0.0,0,0.36274,4,7.741,1.0
Env. (realmap_a),MLP-DQN,35,151,19,47,34,1.0,10.95,6.25,0.187353,0.42866,0.0,0,0.42866,5,11.164,0.0
Env. (realmap_a),MLP-DQN,36,228,38,151,34,1.0,7.7575,4.6,0.233848,0.33948,0.0,0,0.33948,5,7.927,0.0
Env. (realmap_a),MLP-DQN,37,294,23,214,31,1.0,8.5662,5.05,0.191106,0.55456,0.0,0,0.55456,4,8.844,0.667
Env. (realmap_a),MLP-DQN,38,149,12,234,13,0.0,4.59,4.7,0.378649,0.7974,0.0,0,0.7974,2,inf,inf
Env. (realmap_a),MLP-DQN,39,145,38,74,11,0.0,6.7625,5.85,0.437101,1.11678,0.0,1,1.11678,180,inf,inf
Env. (realmap_a),MLP-DQN,40,268,30,376,61,0.0,9.3806,11.9,0.335345,1.75372,0.0,2,1.75372,180,inf,inf
Env. (realmap_a),MLP-DQN,41,353,64,376,117,0.0,5.7938,8.75,0.611511,1.51575,0.0,1,1.51575,180,inf,inf
Env. (realmap_a),MLP-DQN,42,12,43,89,38,0.0,10.7269,8.55,0.378579,1.33454,0.0,0,1.33454,4,inf,inf
Env. (realmap_a),MLP-DQN,43,264,19,158,24,1.0,10.5375,6.15,0.106316,0.399,0.0,0,0.399,5,10.737,0.0
Env. (realmap_a),MLP-DQN,44,184,15,286,26,1.0,10.4163,5.85,0.195286,0.38543,0.0,0,0.38543,3,10.609,0.333
Env. (realmap_a),MLP-DQN,45,130,17,36,22,1.0,9.24,5.45,0.119863,0.3612,0.0,0,0.3612,3,9.421,1.0
Env. (realmap_a),MLP-DQN,46,258,18,206,40,0.0,6.6563,5.85,0.339221,0.88191,0.0,0,0.88191,3,inf,inf
Env. (realmap_a),MLP-DQN,47,344,25,357,107,0.0,1.7588,5.6,0.564631,1.89293,0.0,0,1.89293,2,inf,inf
Env. (realmap_a),MLP-DQN,48,154,43,82,21,0.0,7.6181,6.15,0.431136,0.68969,0.0,1,0.68969,180,inf,inf
Env. (realmap_a),MLP-DQN,49,353,37,264,34,0.0,12.4106,9.55,0.284322,1.64569,0.0,0,1.64569,5,inf,inf
Env. (realmap_a),MLP-DDQN,0,184,37,302,22,0.0,13.9194,11.05,0.28402,0.91073,0.0,2,0.91073,180,inf,inf
Env. (realmap_a),MLP-DDQN,1,160,20,101,35,1.0,6.1537,3.75,0.257408,0.13999,0.0,0,0.13999,5,6.224,0.0
Env. (realmap_a),MLP-DDQN,2,286,40,352,62,0.0,10.4944,10.45,0.336636,0.79593,0.0,0,0.79593,5,inf,inf
Env. (realmap_a),MLP-DDQN,3,152,18,77,11,0.0,2.775,6.5,0.989427,0.64155,0.0,1,0.64155,180,inf,inf
Env. (realmap_a),MLP-DDQN,4,379,108,312,36,1.0,11.5894,6.55,0.298019,0.21238,0.0,0,0.21238,5,11.696,0.667
Env. (realmap_a),MLP-DDQN,5,306,37,353,69,1.0,8.1581,4.75,0.380812,0.26443,0.0,0,0.26443,5,8.29,0.333
Env. (realmap_a),MLP-DDQN,6,127,45,23,14,1.0,11.415,6.45,0.20309,0.21885,0.0,0,0.21885,4,11.524,0.667
Env. (realmap_a),MLP-DDQN,7,275,44,385,68,1.0,12.0162,6.65,0.215685,0.18251,0.0,0,0.18251,4,12.108,0.0
Env. (realmap_a),MLP-DDQN,8,256,43,142,14,1.0,11.7181,7.1,0.196706,0.38852,0.0,0,0.38852,2,11.912,0.0
Env. (realmap_a),MLP-DDQN,9,353,21,226,23,1.0,12.7688,12.0,0.137349,0.75275,0.0,0,0.75275,3,13.145,0.667
Env. (realmap_a),MLP-DDQN,10,106,19,158,41,1.0,5.4562,3.6,0.152023,0.12472,0.0,0,0.12472,2,5.519,0.333
Env. (realmap_a),MLP-DDQN,11,278,26,374,65,1.0,11.0662,6.25,0.233547,0.29599,0.0,0,0.29599,4,11.214,0.0
Env. (realmap_a),MLP-DDQN,12,209,40,315,33,1.0,10.59,6.05,0.209708,0.18067,0.0,0,0.18067,5,10.68,0.0
Env. (realmap_a),MLP-DDQN,13,172,45,52,58,1.0,12.7687,7.35,0.256806,0.24668,0.0,0,0.24668,4,12.892,0.667
Env. (realmap_a),MLP-DDQN,14,214,35,105,14,1.0,11.3044,6.75,0.210827,0.18643,0.0,0,0.18643,4,11.398,0.667
Env. (realmap_a),MLP-DDQN,15,93,19,17,33,1.0,7.5713,4.45,0.155502,0.17596,0.0,0,0.17596,3,7.659,0.0
Env. (realmap_a),MLP-DDQN,16,99,35,222,41,1.0,12.2381,6.95,0.239499,0.30939,0.0,0,0.30939,5,12.393,0.333
Env. (realmap_a),MLP-DDQN,17,114,37,30,20,1.0,8.6588,5.0,0.210969,0.30646,0.0,0,0.30646,2,8.812,0.0
Env. (realmap_a),MLP-DDQN,18,133,28,59,58,0.0,9.5831,9.55,0.484247,0.67604,0.0,1,0.67604,180,inf,inf
Env. (realmap_a),MLP-DDQN,19,280,42,379,52,1.0,9.91,5.6,0.119186,0.27772,0.0,0,0.27772,2,10.049,0.0
Env. (realmap_a),MLP-DDQN,20,249,20,358,39,1.0,11.0625,6.25,0.102058,0.27447,0.0,0,0.27447,1,11.2,0.0
Env. (realmap_a),MLP-DDQN,21,256,36,150,13,1.0,10.935,6.25,0.2385,0.30393,0.0,0,0.30393,3,11.087,0.0
Env. (realmap_a),MLP-DDQN,22,384,105,379,39,1.0,6.6394,4.0,0.199532,0.21437,0.0,0,0.21437,4,6.747,0.333
Env. (realmap_a),MLP-DDQN,23,53,14,134,39,1.0,8.8012,5.05,0.206134,0.14722,0.0,0,0.14722,5,8.875,0.0
