Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),MLP-DDQN,0,100,24,302,22,1.0,20.0944,11.1,0.095937,0.38479,0.0,0,0.38479,2,20.287,0.0
Env. (realmap_a),MLP-DDQN,1,306,40,33,21,1.0,27.5469,14.45,0.088551,0.30001,0.0,0,0.30001,3,27.697,0.0
Env. (realmap_a),MLP-DDQN,2,36,36,352,62,0.0,35.185,20.8,0.165157,0.96024,0.0,2,0.96024,180,inf,inf
Env. (realmap_a),MLP-DDQN,3,120,19,382,101,0.0,31.1219,17.8,0.150993,0.50045,0.0,1,0.50045,180,inf,inf
Env. (realmap_a),MLP-DDQN,4,392,116,23,14,1.0,42.4625,21.95,0.136839,0.38368,0.0,0,0.38368,4,42.654,0.0
Env. (realmap_a),MLP-DDQN,5,64,13,370,66,1.0,32.4987,17.0,0.125727,0.33113,0.0,0,0.33113,5,32.664,0.0
Env. (realmap_a),MLP-DDQN,6,6,37,226,23,0.0,21.9625,13.25,0.121952,0.46718,0.0,1,0.46718,180,inf,inf
Env. (realmap_a),MLP-DDQN,7,382,37,158,41,1.0,22.5287,12.0,0.097649,0.26399,0.0,0,0.26399,3,22.661,0.0
Env. (realmap_a),MLP-DDQN,8,40,24,315,33,1.0,27.9588,14.75,0.125652,0.29477,0.0,0,0.29477,5,28.106,0.0
Env. (realmap_a),MLP-DDQN,9,102,20,311,37,1.0,21.1312,11.3,0.103551,0.24142,0.0,0,0.24142,3,21.252,0.0
Env. (realmap_a),MLP-DDQN,10,36,21,366,64,1.0,34.8725,18.1,0.134167,0.32144,0.0,0,0.32144,5,35.033,0.0
Env. (realmap_a),MLP-DDQN,11,246,29,17,33,1.0,23.2519,12.6,0.151481,0.24799,0.0,0,0.24799,3,23.376,0.0
Env. (realmap_a),MLP-DDQN,12,373,87,222,41,1.0,18.7875,10.15,0.25728,0.21903,0.0,0,0.21903,5,18.897,0.0
Env. (realmap_a),MLP-DDQN,13,243,42,59,58,0.0,20.2494,13.3,0.160762,0.50539,0.0,2,0.50539,180,inf,inf
Env. (realmap_a),MLP-DDQN,14,19,35,379,52,1.0,36.3319,18.85,0.111314,0.37336,0.0,0,0.37336,3,36.519,0.0
Env. (realmap_a),MLP-DDQN,15,366,86,150,13,0.0,5.6919,7.3,0.555141,0.45511,0.0,2,0.45511,180,inf,inf
Env. (realmap_a),MLP-DDQN,16,90,38,379,39,1.0,29.015,15.2,0.137867,0.2897,0.0,0,0.2897,4,29.16,0.0
Env. (realmap_a),MLP-DDQN,17,125,18,369,18,0.0,16.3431,10.45,0.105156,0.25208,0.0,1,0.25208,180,inf,inf
