Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),MLP-DDQN,0,184,37,302,22,1.0,11.8362,6.8,0.1018,0.66469,0.0,0,0.66469,3,12.169,0.0
Env. (realmap_a),MLP-DDQN,1,160,20,101,35,1.0,6.3088,3.8,0.289192,0.29698,0.0,0,0.29698,5,6.457,0.0
Env. (realmap_a),MLP-DDQN,2,286,40,352,62,0.0,10.6856,13.05,0.362569,7.03622,0.0,0,7.03622,5,inf,inf
Env. (realmap_a),MLP-DDQN,3,152,18,77,11,1.0,7.4738,4.4,0.157897,0.3577,0.0,0,0.3577,5,7.653,0.0
Env. (realmap_a),MLP-DDQN,4,379,108,312,36,1.0,11.4163,6.35,0.203076,0.45636,0.0,0,0.45636,5,11.644,0.0
Env. (realmap_a),MLP-DDQN,5,306,37,353,69,1.0,8.235,4.95,0.374262,0.38288,0.0,0,0.38288,5,8.426,0.0
Env. (realmap_a),MLP-DDQN,6,127,45,23,14,0.0,12.3956,11.7,0.269847,2.43157,0.0,3,2.43157,180,inf,inf
Env. (realmap_a),MLP-DDQN,7,275,44,385,68,0.0,13.425,11.1,0.264587,3.69564,0.0,2,3.69564,180,inf,inf
Env. (realmap_a),MLP-DDQN,8,256,43,142,14,1.0,11.595,6.55,0.135453,0.44982,0.0,0,0.44982,2,11.82,0.0
Env. (realmap_a),MLP-DDQN,9,353,21,226,23,0.0,5.2012,10.1,0.297799,1.82318,0.0,0,1.82318,2,inf,inf
Env. (realmap_a),MLP-DDQN,10,106,19,158,41,1.0,5.6162,3.45,0.282028,0.35152,0.0,0,0.35152,5,5.792,0.0
Env. (realmap_a),MLP-DDQN,11,278,26,374,65,1.0,10.8863,6.15,0.228871,0.34095,0.0,0,0.34095,4,11.057,0.0
Env. (realmap_a),MLP-DDQN,12,209,40,315,33,1.0,10.6938,6.35,0.219583,0.47471,0.0,0,0.47471,4,10.931,0.0
Env. (realmap_a),MLP-DDQN,13,172,45,52,58,1.0,12.7037,7.0,0.229175,0.38056,0.0,0,0.38056,3,12.894,0.0
Env. (realmap_a),MLP-DDQN,14,214,35,105,14,1.0,11.0725,6.3,0.143239,0.46082,0.0,0,0.46082,5,11.303,0.0
Env. (realmap_a),MLP-DDQN,15,93,19,17,33,1.0,7.6106,4.45,0.157354,0.32938,0.0,0,0.32938,5,7.775,0.0
Env. (realmap_a),MLP-DDQN,16,99,35,222,41,0.0,0.9563,6.15,0.446836,1.75712,0.0,0,1.75712,1,inf,inf
Env. (realmap_a),MLP-DDQN,17,114,37,30,20,1.0,9.0144,5.15,0.257837,0.39269,0.0,0,0.39269,3,9.211,0.0
