Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,356,74,332,18,0.0,1.0369,3.85,4.177832,0.74132,0.0,2,0.74132,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,1,295,21,215,22,1.0,7.875,4.6,0.117041,0.20532,0.0,0,0.20532,4,7.978,0.0
Env. (realmap_a),CNN-DDQN+Duel,2,103,36,195,23,0.0,10.1388,7.3,0.315379,0.5115,0.0,1,0.5115,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,3,378,39,317,27,0.0,6.7294,5.75,0.117991,0.51233,0.0,0,0.51233,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,4,250,42,380,40,1.0,13.3087,7.35,0.208496,0.31919,0.0,0,0.31919,4,13.468,0.0
Env. (realmap_a),CNN-DDQN+Duel,5,33,26,136,27,1.0,10.3594,5.85,0.189862,0.24864,0.0,0,0.24864,5,10.484,0.0
Env. (realmap_a),CNN-DDQN+Duel,6,140,32,26,25,1.0,11.5906,6.5,0.18605,0.28654,0.0,0,0.28654,4,11.734,0.0
Env. (realmap_a),CNN-DDQN+Duel,7,143,36,28,48,0.0,12.3244,10.65,0.168643,0.82748,0.0,0,0.82748,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,8,158,30,32,46,1.0,12.6362,7.15,0.107758,0.32459,0.0,0,0.32459,4,12.799,0.0
Env. (realmap_a),CNN-DDQN+Duel,9,49,38,177,21,1.0,13.2244,7.6,0.208293,0.34305,0.0,0,0.34305,3,13.396,0.0
Env. (realmap_a),CNN-DDQN+Duel,10,350,19,230,14,0.0,4.8525,8.8,0.529665,0.73599,0.0,1,0.73599,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,11,236,15,121,42,1.0,11.9162,6.6,0.140738,0.29214,0.0,0,0.29214,2,12.062,0.0
Env. (realmap_a),CNN-DDQN+Duel,12,383,40,258,20,1.0,12.9162,7.1,0.107084,0.29083,0.0,0,0.29083,3,13.062,0.0
Env. (realmap_a),CNN-DDQN+Duel,13,108,36,51,62,1.0,6.795,4.15,0.295374,0.25696,0.0,0,0.25696,5,6.923,0.0
Env. (realmap_a),CNN-DDQN+Duel,14,131,27,210,28,1.0,7.875,4.6,0.198435,0.21545,0.0,0,0.21545,2,7.983,0.0
Env. (realmap_a),CNN-DDQN+Duel,15,336,20,217,26,1.0,12.0,9.45,0.177916,0.43818,0.0,0,0.43818,5,12.219,0.0
Env. (realmap_a),CNN-DDQN+Duel,16,388,103,373,38,0.0,7.6844,6.05,0.316859,0.48664,0.0,1,0.48664,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,17,66,42,179,14,1.0,12.0306,6.8,0.278534,0.32745,0.0,0,0.32745,4,12.194,0.0
Env. (realmap_a),CNN-DDQN+Duel,18,291,37,183,40,1.0,11.3787,6.35,0.211618,0.27481,0.0,0,0.27481,4,11.516,0.0
Env. (realmap_a),CNN-DDQN+Duel,19,158,40,96,16,1.0,6.445,3.9,0.103411,0.19234,0.0,0,0.19234,1,6.541,0.0
Env. (realmap_a),CNN-DDQN+Duel,20,182,17,249,24,0.0,1.0519,5.85,2.408922,0.80187,0.0,1,0.80187,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,21,90,39,10,44,1.0,8.0738,4.7,0.125495,0.22631,0.0,0,0.22631,5,8.187,0.0
Env. (realmap_a),CNN-DDQN+Duel,22,100,32,221,33,0.0,1.3181,12.5,0.430939,1.37012,0.0,0,1.37012,1,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,23,153,38,257,16,1.0,10.7344,6.1,0.228097,0.26967,0.0,0,0.26967,5,10.869,0.0
Env. (realmap_a),CNN-DDQN+Duel,24,177,44,83,40,1.0,9.3094,5.35,0.146443,0.24885,0.0,0,0.24885,4,9.434,0.0
Env. (realmap_a),CNN-DDQN+Duel,25,26,25,98,39,0.0,8.9212,6.6,0.233913,0.43758,0.0,0,0.43758,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,26,163,45,113,24,1.0,5.4525,3.4,0.18524,0.18268,0.0,0,0.18268,5,5.544,0.0
Env. (realmap_a),CNN-DDQN+Duel,27,195,11,78,16,1.0,11.6813,6.55,0.151229,0.26926,0.0,0,0.26926,2,11.816,0.0
Env. (realmap_a),CNN-DDQN+Duel,28,275,24,167,51,1.0,12.1581,6.85,0.272783,0.30394,0.0,0,0.30394,5,12.31,0.0
Env. (realmap_a),CNN-DDQN+Duel,29,123,23,57,22,1.0,6.5775,6.45,0.244108,0.31042,0.0,0,0.31042,4,6.733,0.0
Env. (realmap_a),CNN-DDQN+Duel,30,144,30,33,24,1.0,11.2275,6.3,0.144855,0.27058,0.0,0,0.27058,3,11.363,0.0
Env. (realmap_a),CNN-DDQN+Duel,31,301,40,196,19,1.0,10.9062,6.1,0.153917,0.25481,0.0,0,0.25481,5,11.034,0.0
Env. (realmap_a),CNN-DDQN+Duel,32,372,40,275,19,1.0,10.8644,6.15,0.183753,0.30823,0.0,0,0.30823,4,11.018,0.0
Env. (realmap_a),CNN-DDQN+Duel,33,275,21,215,41,0.0,5.0581,4.85,0.448128,0.3582,0.0,1,0.3582,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,34,317,34,195,24,1.0,12.5363,6.95,0.209542,0.27522,0.0,0,0.27522,3,12.674,0.0
Env. (realmap_a),CNN-DDQN+Duel,35,191,33,92,22,1.0,10.1144,5.7,0.229192,0.2672,0.0,0,0.2672,3,10.248,0.0
Env. (realmap_a),CNN-DDQN+Duel,36,152,26,241,25,0.0,0.5437,5.8,0.563701,0.56845,0.0,0,0.56845,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,37,362,19,376,106,1.0,8.9806,5.15,0.158652,0.23496,0.0,0,0.23496,4,9.098,0.0
Env. (realmap_a),CNN-DDQN+Duel,38,40,24,157,45,1.0,12.3225,7.05,0.153657,0.30184,0.0,0,0.30184,2,12.473,0.0
Env. (realmap_a),CNN-DDQN+Duel,39,351,118,342,18,1.0,11.525,6.5,0.345249,0.34037,0.0,0,0.34037,5,11.695,0.0
