Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN+Duel,0,10,35,332,18,0.0,15.0487,11.85,0.137292,1.15998,0.0,2,1.15998,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,1,391,40,215,22,0.0,17.4825,11.6,0.307928,0.75506,0.0,0,0.75506,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,2,364,82,155,26,0.0,5.4394,7.3,0.568254,0.75061,0.0,2,0.75061,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,3,204,30,380,40,0.0,4.455,10.1,0.332327,1.48266,0.0,2,1.48266,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,4,386,47,136,27,1.0,25.4306,13.65,0.139948,0.57569,0.0,0,0.57569,3,25.718,0.0
Env. (realmap_a),CNN-DDQN+Duel,5,156,39,369,61,0.0,23.9175,14.55,0.238593,0.83338,0.0,1,0.83338,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,6,377,53,26,25,0.0,10.7606,7.6,0.170916,0.55847,0.0,1,0.55847,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,7,172,46,384,88,0.0,27.7475,16.35,0.410476,0.96404,0.0,1,0.96404,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,8,375,96,177,21,0.0,4.0725,4.25,0.340284,0.37465,0.0,0,0.37465,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,9,42,33,268,33,0.0,23.3437,16.25,0.22769,1.00506,0.0,2,1.00506,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,10,342,26,121,42,0.0,0.6394,5.75,0.571494,0.56745,0.0,0,0.56745,0,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,11,97,21,283,36,1.0,19.5144,10.55,0.123236,0.42436,0.0,0,0.42436,4,19.727,0.0
Env. (realmap_a),CNN-DDQN+Duel,12,56,49,258,20,0.0,17.1469,11.0,0.266502,0.66349,0.0,1,0.66349,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,13,398,37,217,26,1.0,18.9975,10.5,0.209334,0.52486,0.0,0,0.52486,5,19.26,0.0
Env. (realmap_a),CNN-DDQN+Duel,14,186,37,373,38,1.0,18.5944,10.25,0.120386,0.42275,0.0,0,0.42275,2,18.806,0.0
Env. (realmap_a),CNN-DDQN+Duel,15,370,111,179,14,0.0,5.2613,4.8,0.367125,0.43238,0.0,0,0.43238,3,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,16,375,96,183,40,0.0,6.8394,7.6,0.411765,0.75507,0.0,2,0.75507,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,17,381,85,96,16,0.0,3.6981,3.95,0.309645,0.43419,0.0,1,0.43419,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,18,37,19,249,24,0.0,4.0969,4.5,0.82467,0.44158,0.0,1,0.44158,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,19,371,75,10,44,0.0,1.9744,5.05,0.370665,0.59525,0.0,0,0.59525,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,20,380,79,221,33,0.0,19.1044,11.85,0.337902,0.6534,0.0,1,0.6534,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,21,30,45,257,16,0.0,17.7512,11.5,0.265483,0.7795,0.0,1,0.7795,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,22,354,39,98,39,0.0,10.8337,7.85,0.188336,0.63466,0.0,0,0.63466,4,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,23,31,17,399,30,0.0,33.8494,20.2,0.108305,1.07172,0.0,0,1.07172,2,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,24,64,19,363,32,0.0,9.3019,6.9,0.117846,0.48518,0.0,1,0.48518,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,25,285,19,78,16,0.0,22.0788,16.1,0.164478,0.97379,0.0,2,0.97379,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,26,383,57,167,51,0.0,14.3162,11.2,0.183585,0.94257,0.0,2,0.94257,180,inf,inf
Env. (realmap_a),CNN-DDQN+Duel,27,343,37,57,22,1.0,29.5137,15.55,0.16467,0.61377,0.0,0,0.61377,4,29.821,0.0
Env. (realmap_a),CNN-DDQN+Duel,28,213,45,33,24,0.0,5.1731,6.55,0.424144,0.61851,0.0,2,0.61851,180,inf,inf
